 time            v(pkd)          v(agc)         
 0.00000000e+00  8.02074628e-01  1.49647459e+00 
 1.00000000e-11  8.02075395e-01  1.49647459e+00 
 2.00000000e-11  8.02075395e-01  1.49647459e+00 
 4.00000000e-11  8.02075394e-01  1.49647458e+00 
 8.00000000e-11  8.02075394e-01  1.49647458e+00 
 1.60000000e-10  8.02075392e-01  1.49647458e+00 
 3.20000000e-10  8.02075389e-01  1.49647457e+00 
 6.40000000e-10  8.02075384e-01  1.49647456e+00 
 1.28000000e-09  8.02075372e-01  1.49647453e+00 
 2.28000000e-09  8.02075355e-01  1.49647449e+00 
 3.28000000e-09  8.02075338e-01  1.49647445e+00 
 4.28000000e-09  8.02075322e-01  1.49647441e+00 
 5.28000000e-09  8.02075306e-01  1.49647438e+00 
 6.28000000e-09  8.02075290e-01  1.49647435e+00 
 7.28000000e-09  8.02075275e-01  1.49647433e+00 
 8.28000000e-09  8.02075260e-01  1.49647431e+00 
 9.28000000e-09  8.02075246e-01  1.49647430e+00 
 1.02800000e-08  8.02075231e-01  1.49647429e+00 
 1.12800000e-08  8.02075218e-01  1.49647429e+00 
 1.22800000e-08  8.02075204e-01  1.49647428e+00 
 1.32800000e-08  8.02075191e-01  1.49647428e+00 
 1.42800000e-08  8.02075178e-01  1.49647429e+00 
 1.52800000e-08  8.02075166e-01  1.49647429e+00 
 1.62800000e-08  8.02075154e-01  1.49647430e+00 
 1.72800000e-08  8.02075142e-01  1.49647430e+00 
 1.82800000e-08  8.02075130e-01  1.49647431e+00 
 1.92800000e-08  8.02075119e-01  1.49647431e+00 
 2.02800000e-08  8.02075108e-01  1.49647432e+00 
 2.12800000e-08  8.02075097e-01  1.49647433e+00 
 2.22800000e-08  8.02075086e-01  1.49647434e+00 
 2.32800000e-08  8.02075076e-01  1.49647434e+00 
 2.42800000e-08  8.02075066e-01  1.49647435e+00 
 2.52800000e-08  8.02075056e-01  1.49647436e+00 
 2.62800000e-08  8.02075046e-01  1.49647436e+00 
 2.72800000e-08  8.02075037e-01  1.49647437e+00 
 2.82800000e-08  8.02075028e-01  1.49647437e+00 
 2.92800000e-08  8.02075019e-01  1.49647438e+00 
 3.02800000e-08  8.02075010e-01  1.49647438e+00 
 3.12800000e-08  8.02075002e-01  1.49647439e+00 
 3.22800000e-08  8.02074993e-01  1.49647439e+00 
 3.32800000e-08  8.02074985e-01  1.49647440e+00 
 3.42800000e-08  8.02074977e-01  1.49647440e+00 
 3.52800000e-08  8.02074970e-01  1.49647441e+00 
 3.62800000e-08  8.02074962e-01  1.49647441e+00 
 3.72800000e-08  8.02074955e-01  1.49647442e+00 
 3.82800000e-08  8.02074947e-01  1.49647442e+00 
 3.92800000e-08  8.02074940e-01  1.49647442e+00 
 4.02800000e-08  8.02074933e-01  1.49647443e+00 
 4.12800000e-08  8.02074927e-01  1.49647443e+00 
 4.22800000e-08  8.02074920e-01  1.49647443e+00 
 4.32800000e-08  8.02074914e-01  1.49647444e+00 
 4.42800000e-08  8.02074908e-01  1.49647444e+00 
 4.52800000e-08  8.02074902e-01  1.49647444e+00 
 4.62800000e-08  8.02074896e-01  1.49647445e+00 
 4.72800000e-08  8.02074890e-01  1.49647445e+00 
 4.82800000e-08  8.02074884e-01  1.49647445e+00 
 4.92800000e-08  8.02074879e-01  1.49647446e+00 
 5.02800000e-08  8.02074873e-01  1.49647446e+00 
 5.12800000e-08  8.02074868e-01  1.49647446e+00 
 5.22800000e-08  8.02074863e-01  1.49647446e+00 
 5.32800000e-08  8.02074858e-01  1.49647447e+00 
 5.42800000e-08  8.02074853e-01  1.49647447e+00 
 5.52800000e-08  8.02074848e-01  1.49647447e+00 
 5.62800000e-08  8.02074843e-01  1.49647447e+00 
 5.72800000e-08  8.02074839e-01  1.49647448e+00 
 5.82800000e-08  8.02074834e-01  1.49647448e+00 
 5.92800000e-08  8.02074830e-01  1.49647448e+00 
 6.02800000e-08  8.02074826e-01  1.49647448e+00 
 6.12800000e-08  8.02074822e-01  1.49647449e+00 
 6.22800000e-08  8.02074818e-01  1.49647449e+00 
 6.32800000e-08  8.02074814e-01  1.49647449e+00 
 6.42800000e-08  8.02074810e-01  1.49647449e+00 
 6.52800000e-08  8.02074806e-01  1.49647449e+00 
 6.62800000e-08  8.02074802e-01  1.49647450e+00 
 6.72800000e-08  8.02074799e-01  1.49647450e+00 
 6.82800000e-08  8.02074795e-01  1.49647450e+00 
 6.92800000e-08  8.02074792e-01  1.49647450e+00 
 7.02800000e-08  8.02074788e-01  1.49647450e+00 
 7.12800000e-08  8.02074785e-01  1.49647450e+00 
 7.22800000e-08  8.02074782e-01  1.49647451e+00 
 7.32800000e-08  8.02074779e-01  1.49647451e+00 
 7.42800000e-08  8.02074776e-01  1.49647451e+00 
 7.52800000e-08  8.02074773e-01  1.49647451e+00 
 7.62800000e-08  8.02074770e-01  1.49647451e+00 
 7.72800000e-08  8.02074767e-01  1.49647451e+00 
 7.82800000e-08  8.02074764e-01  1.49647452e+00 
 7.92800000e-08  8.02074762e-01  1.49647452e+00 
 8.02800000e-08  8.02074759e-01  1.49647452e+00 
 8.12800000e-08  8.02074756e-01  1.49647452e+00 
 8.22800000e-08  8.02074754e-01  1.49647452e+00 
 8.32800000e-08  8.02074751e-01  1.49647452e+00 
 8.42800000e-08  8.02074749e-01  1.49647452e+00 
 8.52800000e-08  8.02074747e-01  1.49647452e+00 
 8.62800000e-08  8.02074744e-01  1.49647453e+00 
 8.72800000e-08  8.02074742e-01  1.49647453e+00 
 8.82800000e-08  8.02074740e-01  1.49647453e+00 
 8.92800000e-08  8.02074738e-01  1.49647453e+00 
 9.02800000e-08  8.02074736e-01  1.49647453e+00 
 9.12800000e-08  8.02074734e-01  1.49647453e+00 
 9.22800000e-08  8.02074732e-01  1.49647453e+00 
 9.32800000e-08  8.02074730e-01  1.49647453e+00 
 9.42800000e-08  8.02074728e-01  1.49647453e+00 
 9.52800000e-08  8.02074726e-01  1.49647454e+00 
 9.62800000e-08  8.02074724e-01  1.49647454e+00 
 9.72800000e-08  8.02074723e-01  1.49647454e+00 
 9.82800000e-08  8.02074721e-01  1.49647454e+00 
 9.92800000e-08  8.02074719e-01  1.49647454e+00 
 1.00280000e-07  8.02074718e-01  1.49647454e+00 
 1.01280000e-07  8.02074716e-01  1.49647454e+00 
 1.02280000e-07  8.02074715e-01  1.49647454e+00 
 1.03280000e-07  8.02074713e-01  1.49647454e+00 
 1.04280000e-07  8.02074712e-01  1.49647454e+00 
 1.05280000e-07  8.02074710e-01  1.49647454e+00 
 1.06280000e-07  8.02074709e-01  1.49647454e+00 
 1.07280000e-07  8.02074707e-01  1.49647455e+00 
 1.08280000e-07  8.02074706e-01  1.49647455e+00 
 1.09280000e-07  8.02074705e-01  1.49647455e+00 
