 time            v(vinp)         v(vout)        
 0.00000000e+00  7.50000000e-01  7.50927810e-01 
 2.50000000e-13  7.50000000e-01  7.50927810e-01 
 5.00000000e-13  7.50000000e-01  7.50927810e-01 
 1.00000000e-12  7.50000000e-01  7.50927810e-01 
 2.00000000e-12  7.50000000e-01  7.50927810e-01 
 4.00000000e-12  7.50000000e-01  7.50927810e-01 
 8.00000000e-12  7.50000000e-01  7.50927810e-01 
 1.60000000e-11  7.50000000e-01  7.50927810e-01 
 3.20000000e-11  7.50000000e-01  7.50927810e-01 
 5.70000000e-11  7.50000000e-01  7.50927810e-01 
 8.20000000e-11  7.50000000e-01  7.50927810e-01 
 1.07000000e-10  7.50000000e-01  7.50927810e-01 
 1.32000000e-10  7.50000000e-01  7.50927810e-01 
 1.57000000e-10  7.50000000e-01  7.50927810e-01 
 1.82000000e-10  7.50000000e-01  7.50927810e-01 
 2.07000000e-10  7.50000000e-01  7.50927810e-01 
 2.32000000e-10  7.50000000e-01  7.50927810e-01 
 2.57000000e-10  7.50000000e-01  7.50927810e-01 
 2.82000000e-10  7.50000000e-01  7.50927810e-01 
 3.07000000e-10  7.50000000e-01  7.50927810e-01 
 3.32000000e-10  7.50000000e-01  7.50927810e-01 
 3.57000000e-10  7.50000000e-01  7.50927810e-01 
 3.82000000e-10  7.50000000e-01  7.50927810e-01 
 4.07000000e-10  7.50000000e-01  7.50927810e-01 
 4.32000000e-10  7.50000000e-01  7.50927810e-01 
 4.57000000e-10  7.50000000e-01  7.50927810e-01 
 4.82000000e-10  7.50000000e-01  7.50927810e-01 
 5.07000000e-10  7.50000000e-01  7.50927810e-01 
 5.32000000e-10  7.50000000e-01  7.50927810e-01 
 5.57000000e-10  7.50000000e-01  7.50927810e-01 
 5.82000000e-10  7.50000000e-01  7.50927810e-01 
 6.07000000e-10  7.50000000e-01  7.50927810e-01 
 6.32000000e-10  7.50000000e-01  7.50927810e-01 
 6.57000000e-10  7.50000000e-01  7.50927810e-01 
 6.82000000e-10  7.50000000e-01  7.50927810e-01 
 7.07000000e-10  7.50000000e-01  7.50927810e-01 
 7.32000000e-10  7.50000000e-01  7.50927810e-01 
 7.57000000e-10  7.50000000e-01  7.50927810e-01 
 7.82000000e-10  7.50000000e-01  7.50927810e-01 
 8.07000000e-10  7.50000000e-01  7.50927810e-01 
 8.32000000e-10  7.50000000e-01  7.50927810e-01 
 8.57000000e-10  7.50000000e-01  7.50927810e-01 
