 time            v(vinp)         v(vout)        
 0.00000000e+00  7.50000000e-01  7.48659914e-01 
 2.50000000e-13  7.50000000e-01  7.48659914e-01 
 5.00000000e-13  7.50000000e-01  7.48659914e-01 
 1.00000000e-12  7.50000000e-01  7.48659913e-01 
 2.00000000e-12  7.50000000e-01  7.48659912e-01 
 4.00000000e-12  7.50000000e-01  7.48659909e-01 
 8.00000000e-12  7.50000000e-01  7.48659902e-01 
 1.60000000e-11  7.50000000e-01  7.48659889e-01 
 3.20000000e-11  7.50000000e-01  7.48659862e-01 
 5.70000000e-11  7.50000000e-01  7.48659824e-01 
 8.20000000e-11  7.50000000e-01  7.48659788e-01 
 1.07000000e-10  7.50000000e-01  7.48659753e-01 
 1.32000000e-10  7.50000000e-01  7.48659717e-01 
 1.57000000e-10  7.50000000e-01  7.48659681e-01 
 1.82000000e-10  7.50000000e-01  7.48659643e-01 
 2.07000000e-10  7.50000000e-01  7.48659604e-01 
 2.32000000e-10  7.50000000e-01  7.48659562e-01 
 2.57000000e-10  7.50000000e-01  7.48659519e-01 
 2.82000000e-10  7.50000000e-01  7.48659474e-01 
 3.07000000e-10  7.50000000e-01  7.48659426e-01 
 3.32000000e-10  7.50000000e-01  7.48659377e-01 
 3.57000000e-10  7.50000000e-01  7.48659326e-01 
 3.82000000e-10  7.50000000e-01  7.48659273e-01 
 4.07000000e-10  7.50000000e-01  7.48659218e-01 
 4.32000000e-10  7.50000000e-01  7.48659162e-01 
 4.57000000e-10  7.50000000e-01  7.48659105e-01 
 4.82000000e-10  7.50000000e-01  7.48659046e-01 
 5.07000000e-10  7.50000000e-01  7.48658987e-01 
 5.32000000e-10  7.50000000e-01  7.48658927e-01 
 5.57000000e-10  7.50000000e-01  7.48658865e-01 
 5.82000000e-10  7.50000000e-01  7.48658804e-01 
 6.07000000e-10  7.50000000e-01  7.48658742e-01 
 6.32000000e-10  7.50000000e-01  7.48658680e-01 
 6.57000000e-10  7.50000000e-01  7.48658617e-01 
