 frequency       v(finalp,finaln) v(finalp,finaln)
 1.00000000e+06 -1.72253692e+03 -3.22971851e+01 
 1.02329299e+06 -1.72256464e+03 -3.15358428e+01 
 1.04712855e+06 -1.72259108e+03 -3.07911748e+01 
 1.07151931e+06 -1.72261628e+03 -3.00627897e+01 
 1.09647820e+06 -1.72264030e+03 -2.93503042e+01 
 1.12201845e+06 -1.72266319e+03 -2.86533434e+01 
 1.14815362e+06 -1.72268500e+03 -2.79715404e+01 
 1.17489755e+06 -1.72270577e+03 -2.73045361e+01 
 1.20226443e+06 -1.72272555e+03 -2.66519793e+01 
 1.23026877e+06 -1.72274438e+03 -2.60135261e+01 
 1.25892541e+06 -1.72276230e+03 -2.53888402e+01 
 1.28824955e+06 -1.72277936e+03 -2.47775921e+01 
 1.31825674e+06 -1.72279557e+03 -2.41794597e+01 
 1.34896288e+06 -1.72281099e+03 -2.35941274e+01 
 1.38038426e+06 -1.72282563e+03 -2.30212867e+01 
 1.41253754e+06 -1.72283954e+03 -2.24606353e+01 
 1.44543977e+06 -1.72285274e+03 -2.19118773e+01 
 1.47910839e+06 -1.72286526e+03 -2.13747233e+01 
 1.51356125e+06 -1.72287713e+03 -2.08488896e+01 
 1.54881662e+06 -1.72288837e+03 -2.03340988e+01 
 1.58489319e+06 -1.72289900e+03 -1.98300792e+01 
 1.62181010e+06 -1.72290905e+03 -1.93365645e+01 
 1.65958691e+06 -1.72291855e+03 -1.88532943e+01 
 1.69824365e+06 -1.72292750e+03 -1.83800134e+01 
 1.73780083e+06 -1.72293593e+03 -1.79164719e+01 
 1.77827941e+06 -1.72294386e+03 -1.74624250e+01 
 1.81970086e+06 -1.72295130e+03 -1.70176329e+01 
 1.86208714e+06 -1.72295827e+03 -1.65818608e+01 
 1.90546072e+06 -1.72296478e+03 -1.61548786e+01 
 1.94984460e+06 -1.72297085e+03 -1.57364608e+01 
 1.99526231e+06 -1.72297649e+03 -1.53263865e+01 
 2.04173794e+06 -1.72298172e+03 -1.49244392e+01 
 2.08929613e+06 -1.72298653e+03 -1.45304067e+01 
 2.13796209e+06 -1.72299096e+03 -1.41440811e+01 
 2.18776162e+06 -1.72299499e+03 -1.37652584e+01 
 2.23872114e+06 -1.72299865e+03 -1.33937388e+01 
 2.29086765e+06 -1.72300194e+03 -1.30293262e+01 
 2.34422882e+06 -1.72300486e+03 -1.26718285e+01 
 2.39883292e+06 -1.72300743e+03 -1.23210572e+01 
 2.45470892e+06 -1.72300965e+03 -1.19768274e+01 
 2.51188643e+06 -1.72301152e+03 -1.16389577e+01 
 2.57039578e+06 -1.72301304e+03 -1.13072700e+01 
 2.63026799e+06 -1.72301423e+03 -1.09815899e+01 
 2.69153480e+06 -1.72301508e+03 -1.06617458e+01 
 2.75422870e+06 -1.72301560e+03 -1.03475695e+01 
 2.81838293e+06 -1.72301578e+03 -1.00388958e+01 
 2.88403150e+06 -1.72301564e+03 -9.73556268e+00 
 2.95120923e+06 -1.72301515e+03 -9.43741073e+00 
 3.01995172e+06 -1.72301434e+03 -9.14428357e+00 
 3.09029543e+06 -1.72301319e+03 -8.85602754e+00 
 3.16227766e+06 -1.72301170e+03 -8.57249165e+00 
 3.23593657e+06 -1.72300987e+03 -8.29352756e+00 
 3.31131121e+06 -1.72300770e+03 -8.01898945e+00 
 3.38844156e+06 -1.72300518e+03 -7.74873400e+00 
 3.46736850e+06 -1.72300231e+03 -7.48262028e+00 
 3.54813389e+06 -1.72299908e+03 -7.22050974e+00 
 3.63078055e+06 -1.72299548e+03 -6.96226609e+00 
 3.71535229e+06 -1.72299151e+03 -6.70775528e+00 
 3.80189396e+06 -1.72298715e+03 -6.45684544e+00 
 3.89045145e+06 -1.72298241e+03 -6.20940680e+00 
 3.98107171e+06 -1.72297727e+03 -5.96531166e+00 
 4.07380278e+06 -1.72297173e+03 -5.72443432e+00 
 4.16869383e+06 -1.72296576e+03 -5.48665104e+00 
 4.26579519e+06 -1.72295936e+03 -5.25183999e+00 
 4.36515832e+06 -1.72295251e+03 -5.01988122e+00 
 4.46683592e+06 -1.72294521e+03 -4.79065656e+00 
 4.57088190e+06 -1.72293743e+03 -4.56404968e+00 
 4.67735141e+06 -1.72292916e+03 -4.33994593e+00 
 4.78630092e+06 -1.72292039e+03 -4.11823242e+00 
 4.89778819e+06 -1.72291110e+03 -3.89879788e+00 
 5.01187234e+06 -1.72290127e+03 -3.68153271e+00 
 5.12861384e+06 -1.72289088e+03 -3.46632891e+00 
 5.24807460e+06 -1.72287990e+03 -3.25308008e+00 
 5.37031796e+06 -1.72286833e+03 -3.04168134e+00 
 5.49540874e+06 -1.72285613e+03 -2.83202940e+00 
 5.62341325e+06 -1.72284328e+03 -2.62402246e+00 
 5.75439937e+06 -1.72282976e+03 -2.41756023e+00 
 5.88843655e+06 -1.72281555e+03 -2.21254393e+00 
 6.02559586e+06 -1.72280060e+03 -2.00887625e+00 
 6.16595002e+06 -1.72278491e+03 -1.80646138e+00 
 6.30957344e+06 -1.72276842e+03 -1.60520500e+00 
 6.45654229e+06 -1.72275113e+03 -1.40501424e+00 
 6.60693448e+06 -1.72273298e+03 -1.20579777e+00 
 6.76082975e+06 -1.72271395e+03 -1.00746573e+00 
 6.91830971e+06 -1.72269401e+03 -8.09929789e-01 
 7.07945784e+06 -1.72267311e+03 -6.13103160e-01 
 7.24435960e+06 -1.72265121e+03 -4.16900615e-01 
 7.41310241e+06 -1.72262829e+03 -2.21238517e-01 
 7.58577575e+06 -1.72260429e+03 -2.60348526e-02 
 7.76247117e+06 -1.72257917e+03  1.68790725e-01 
 7.94328235e+06 -1.72255289e+03  3.63316855e-01 
 8.12830516e+06 -1.72252539e+03  5.57620422e-01 
 8.31763771e+06 -1.72249664e+03  7.51776497e-01 
 8.51138038e+06 -1.72246659e+03  9.45858280e-01 
 8.70963590e+06 -1.72243517e+03  1.13993703e+00 
 8.91250938e+06 -1.72240234e+03  1.33408199e+00 
 9.12010839e+06 -1.72236804e+03  1.52836033e+00 
 9.33254301e+06 -1.72233221e+03  1.72283703e+00 
 9.54992586e+06 -1.72229479e+03  1.91757480e+00 
 9.77237221e+06 -1.72225573e+03  2.11263400e+00 
 1.00000000e+07 -1.72221495e+03  2.30807252e+00 
 1.02329299e+07 -1.72217240e+03  2.50394565e+00 
 1.04712855e+07 -1.72212801e+03  2.70030601e+00 
 1.07151931e+07 -1.72208170e+03  2.89720339e+00 
 1.09647820e+07 -1.72203341e+03  3.09468462e+00 
 1.12201845e+07 -1.72198306e+03  3.29279345e+00 
 1.14815362e+07 -1.72193059e+03  3.49157041e+00 
 1.17489755e+07 -1.72187591e+03  3.69105263e+00 
 1.20226443e+07 -1.72181894e+03  3.89127373e+00 
 1.23026877e+07 -1.72175961e+03  4.09226362e+00 
 1.25892541e+07 -1.72169784e+03  4.29404837e+00 
 1.28824955e+07 -1.72163354e+03  4.49665001e+00 
 1.31825674e+07 -1.72156663e+03  4.70008638e+00 
 1.34896288e+07 -1.72149702e+03  4.90437097e+00 
 1.38038426e+07 -1.72142464e+03  5.10951271e+00 
 1.41253754e+07 -1.72134938e+03  5.31551580e+00 
 1.44543977e+07 -1.72127117e+03  5.52237957e+00 
 1.47910839e+07 -1.72118992e+03  5.73009825e+00 
 1.51356125e+07 -1.72110553e+03  5.93866085e+00 
 1.54881662e+07 -1.72101793e+03  6.14805096e+00 
 1.58489319e+07 -1.72092701e+03  6.35824659e+00 
 1.62181010e+07 -1.72083270e+03  6.56922004e+00 
 1.65958691e+07 -1.72073490e+03  6.78093773e+00 
 1.69824365e+07 -1.72063353e+03  6.99336010e+00 
 1.73780083e+07 -1.72052851e+03  7.20644144e+00 
 1.77827941e+07 -1.72041975e+03  7.42012986e+00 
 1.81970086e+07 -1.72030717e+03  7.63436713e+00 
 1.86208714e+07 -1.72019070e+03  7.84908870e+00 
 1.90546072e+07 -1.72007025e+03  8.06422359e+00 
 1.94984460e+07 -1.71994576e+03  8.27969442e+00 
 1.99526231e+07 -1.71981717e+03  8.49541744e+00 
 2.04173794e+07 -1.71968439e+03  8.71130255e+00 
 2.08929613e+07 -1.71954739e+03  8.92725340e+00 
 2.13796209e+07 -1.71940610e+03  9.14316754e+00 
 2.18776162e+07 -1.71926049e+03  9.35893655e+00 
 2.23872114e+07 -1.71911050e+03  9.57444626e+00 
 2.29086765e+07 -1.71895611e+03  9.78957702e+00 
 2.34422882e+07 -1.71879728e+03  1.00042040e+01 
 2.39883292e+07 -1.71863401e+03  1.02181975e+01 
 2.45470892e+07 -1.71846629e+03  1.04314234e+01 
 2.51188643e+07 -1.71829411e+03  1.06437437e+01 
 2.57039578e+07 -1.71811748e+03  1.08550167e+01 
 2.63026799e+07 -1.71793644e+03  1.10650980e+01 
 2.69153480e+07 -1.71775099e+03  1.12738409e+01 
 2.75422870e+07 -1.71756120e+03  1.14810968e+01 
 2.81838293e+07 -1.71736711e+03  1.16867166e+01 
 2.88403150e+07 -1.71716879e+03  1.18905506e+01 
 2.95120923e+07 -1.71696631e+03  1.20924501e+01 
 3.01995172e+07 -1.71675977e+03  1.22922676e+01 
 3.09029543e+07 -1.71654926e+03  1.24898582e+01 
