 time            v(bufinp)       v(bufinn)       v(outp)         v(outn)        
 0.00000000e+00  2.23500000e+00  2.23500000e+00  2.78113194e+00  2.78113194e+00 
 2.00000000e-14  2.23501398e+00  2.23498602e+00  2.78114337e+00  2.78112051e+00 
 4.00000000e-14  2.23502796e+00  2.23497204e+00  2.78115336e+00  2.78111052e+00 
 8.00000000e-14  2.23505592e+00  2.23494408e+00  2.78117125e+00  2.78109263e+00 
 1.60000000e-13  2.23511184e+00  2.23488816e+00  2.78120123e+00  2.78106265e+00 
 3.20000000e-13  2.23522368e+00  2.23477632e+00  2.78124401e+00  2.78101987e+00 
 6.40000000e-13  2.23544736e+00  2.23455264e+00  2.78126127e+00  2.78100258e+00 
 1.28000000e-12  2.23589472e+00  2.23410528e+00  2.78106097e+00  2.78120250e+00 
 2.56000000e-12  2.23678937e+00  2.23321063e+00  2.78015143e+00  2.78210882e+00 
 4.56000000e-12  2.23818702e+00  2.23181298e+00  2.77830564e+00  2.78394225e+00 
 6.56000000e-12  2.23958417e+00  2.23041583e+00  2.77637513e+00  2.78585317e+00 
 8.56000000e-12  2.24098059e+00  2.22901941e+00  2.77446822e+00  2.78773581e+00 
 1.05600000e-11  2.24237607e+00  2.22762393e+00  2.77258178e+00  2.78959548e+00 
 1.25600000e-11  2.24377038e+00  2.22622962e+00  2.77070221e+00  2.79144704e+00 
 1.45600000e-11  2.24516331e+00  2.22483669e+00  2.76882437e+00  2.79329626e+00 
 1.65600000e-11  2.24655464e+00  2.22344536e+00  2.76694789e+00  2.79514372e+00 
 1.85600000e-11  2.24794414e+00  2.22205586e+00  2.76507352e+00  2.79698880e+00 
 2.05600000e-11  2.24933159e+00  2.22066841e+00  2.76320190e+00  2.79883088e+00 
 2.25600000e-11  2.25071678e+00  2.21928322e+00  2.76133351e+00  2.80066950e+00 
 2.45600000e-11  2.25209949e+00  2.21790051e+00  2.75946876e+00  2.80250427e+00 
 2.65600000e-11  2.25347950e+00  2.21652050e+00  2.75760804e+00  2.80433477e+00 
 2.85600000e-11  2.25485659e+00  2.21514341e+00  2.75575175e+00  2.80616064e+00 
 3.05600000e-11  2.25623055e+00  2.21376945e+00  2.75390028e+00  2.80798148e+00 
 3.25600000e-11  2.25760115e+00  2.21239885e+00  2.75205402e+00  2.80979690e+00 
 3.45600000e-11  2.25896819e+00  2.21103181e+00  2.75021336e+00  2.81160654e+00 
 3.65600000e-11  2.26033144e+00  2.20966856e+00  2.74837868e+00  2.81341000e+00 
 3.85600000e-11  2.26169069e+00  2.20830931e+00  2.74655036e+00  2.81520692e+00 
 4.05600000e-11  2.26304572e+00  2.20695428e+00  2.74472877e+00  2.81699693e+00 
 4.25600000e-11  2.26439633e+00  2.20560367e+00  2.74291430e+00  2.81877965e+00 
 4.45600000e-11  2.26574229e+00  2.20425771e+00  2.74110732e+00  2.82055474e+00 
 4.65600000e-11  2.26708340e+00  2.20291660e+00  2.73930818e+00  2.82232183e+00 
 4.85600000e-11  2.26841945e+00  2.20158055e+00  2.73751726e+00  2.82408057e+00 
 5.05600000e-11  2.26975021e+00  2.20024979e+00  2.73573491e+00  2.82583059e+00 
 5.25600000e-11  2.27107549e+00  2.19892451e+00  2.73396150e+00  2.82757156e+00 
 5.45600000e-11  2.27239507e+00  2.19760493e+00  2.73219738e+00  2.82930312e+00 
 5.65600000e-11  2.27370875e+00  2.19629125e+00  2.73044289e+00  2.83102495e+00 
 5.85600000e-11  2.27501631e+00  2.19498369e+00  2.72869840e+00  2.83273669e+00 
 6.05600000e-11  2.27631756e+00  2.19368244e+00  2.72696424e+00  2.83443801e+00 
 6.25600000e-11  2.27761228e+00  2.19238772e+00  2.72524076e+00  2.83612860e+00 
 6.45600000e-11  2.27890027e+00  2.19109973e+00  2.72352830e+00  2.83780811e+00 
 6.65600000e-11  2.28018133e+00  2.18981867e+00  2.72182718e+00  2.83947622e+00 
 6.85600000e-11  2.28145525e+00  2.18854475e+00  2.72013774e+00  2.84113263e+00 
 7.05600000e-11  2.28272184e+00  2.18727816e+00  2.71846031e+00  2.84277701e+00 
 7.25600000e-11  2.28398089e+00  2.18601911e+00  2.71679520e+00  2.84440906e+00 
 7.45600000e-11  2.28523221e+00  2.18476779e+00  2.71514274e+00  2.84602847e+00 
 7.65600000e-11  2.28647560e+00  2.18352440e+00  2.71350325e+00  2.84763494e+00 
 7.85600000e-11  2.28771085e+00  2.18228915e+00  2.71187703e+00  2.84922819e+00 
 8.05600000e-11  2.28893779e+00  2.18106221e+00  2.71026439e+00  2.85080791e+00 
 8.25600000e-11  2.29015620e+00  2.17984380e+00  2.70866563e+00  2.85237382e+00 
 8.45600000e-11  2.29136591e+00  2.17863409e+00  2.70708105e+00  2.85392565e+00 
 8.65600000e-11  2.29256672e+00  2.17743328e+00  2.70551094e+00  2.85546311e+00 
 8.85600000e-11  2.29375843e+00  2.17624157e+00  2.70395558e+00  2.85698595e+00 
 9.05600000e-11  2.29494087e+00  2.17505913e+00  2.70241527e+00  2.85849389e+00 
 9.25600000e-11  2.29611384e+00  2.17388616e+00  2.70089028e+00  2.85998669e+00 
 9.45600000e-11  2.29727716e+00  2.17272284e+00  2.69938088e+00  2.86146408e+00 
 9.65600000e-11  2.29843064e+00  2.17156936e+00  2.69788733e+00  2.86292582e+00 
 9.85600000e-11  2.29957411e+00  2.17042589e+00  2.69640990e+00  2.86437168e+00 
 1.00560000e-10  2.30070739e+00  2.16929261e+00  2.69494885e+00  2.86580141e+00 
 1.02560000e-10  2.30183028e+00  2.16816972e+00  2.69350442e+00  2.86721480e+00 
 1.04560000e-10  2.30294263e+00  2.16705737e+00  2.69207686e+00  2.86861163e+00 
 1.06560000e-10  2.30404424e+00  2.16595576e+00  2.69066641e+00  2.86999167e+00 
 1.08560000e-10  2.30513495e+00  2.16486505e+00  2.68927330e+00  2.87135473e+00 
 1.10560000e-10  2.30621459e+00  2.16378541e+00  2.68789775e+00  2.87270061e+00 
 1.12560000e-10  2.30728298e+00  2.16271702e+00  2.68653998e+00  2.87402910e+00 
 1.14560000e-10  2.30833996e+00  2.16166004e+00  2.68520021e+00  2.87534004e+00 
 1.16560000e-10  2.30938535e+00  2.16061465e+00  2.68387864e+00  2.87663323e+00 
 1.18560000e-10  2.31041900e+00  2.15958100e+00  2.68257548e+00  2.87790851e+00 
 1.20560000e-10  2.31144074e+00  2.15855926e+00  2.68129091e+00  2.87916572e+00 
 1.22560000e-10  2.31245041e+00  2.15754959e+00  2.68002511e+00  2.88040470e+00 
 1.24560000e-10  2.31344785e+00  2.15655215e+00  2.67877828e+00  2.88162530e+00 
 1.26560000e-10  2.31443290e+00  2.15556710e+00  2.67755057e+00  2.88282739e+00 
 1.28560000e-10  2.31540541e+00  2.15459459e+00  2.67634215e+00  2.88401082e+00 
 1.30560000e-10  2.31636522e+00  2.15363478e+00  2.67515318e+00  2.88517549e+00 
 1.32560000e-10  2.31731218e+00  2.15268782e+00  2.67398381e+00  2.88632127e+00 
 1.34560000e-10  2.31824614e+00  2.15175386e+00  2.67283417e+00  2.88744806e+00 
 1.36560000e-10  2.31916696e+00  2.15083304e+00  2.67170441e+00  2.88855575e+00 
 1.38560000e-10  2.32007449e+00  2.14992551e+00  2.67059464e+00  2.88964425e+00 
 1.40560000e-10  2.32096858e+00  2.14903142e+00  2.66950498e+00  2.89071349e+00 
 1.42560000e-10  2.32184910e+00  2.14815090e+00  2.66843555e+00  2.89176338e+00 
 1.44560000e-10  2.32271590e+00  2.14728410e+00  2.66738644e+00  2.89279386e+00 
 1.46560000e-10  2.32356885e+00  2.14643115e+00  2.66635775e+00  2.89380486e+00 
 1.48560000e-10  2.32440782e+00  2.14559218e+00  2.66534957e+00  2.89479634e+00 
 1.50560000e-10  2.32523267e+00  2.14476733e+00  2.66436197e+00  2.89576825e+00 
 1.52560000e-10  2.32604327e+00  2.14395673e+00  2.66339503e+00  2.89672056e+00 
 1.54560000e-10  2.32683949e+00  2.14316051e+00  2.66244880e+00  2.89765323e+00 
 1.56560000e-10  2.32762121e+00  2.14237879e+00  2.66152334e+00  2.89856625e+00 
 1.58560000e-10  2.32838830e+00  2.14161170e+00  2.66061870e+00  2.89945961e+00 
 1.60560000e-10  2.32914065e+00  2.14085935e+00  2.65973491e+00  2.90033329e+00 
 1.62560000e-10  2.32987813e+00  2.14012187e+00  2.65887201e+00  2.90118730e+00 
 1.64560000e-10  2.33060062e+00  2.13939938e+00  2.65803002e+00  2.90202165e+00 
 1.66560000e-10  2.33130802e+00  2.13869198e+00  2.65720895e+00  2.90283634e+00 
 1.68560000e-10  2.33200022e+00  2.13799978e+00  2.65640882e+00  2.90363141e+00 
 1.70560000e-10  2.33267709e+00  2.13732291e+00  2.65562962e+00  2.90440688e+00 
 1.72560000e-10  2.33333854e+00  2.13666146e+00  2.65487136e+00  2.90516277e+00 
 1.74560000e-10  2.33398447e+00  2.13601553e+00  2.65413401e+00  2.90589913e+00 
 1.76560000e-10  2.33461476e+00  2.13538524e+00  2.65341756e+00  2.90661601e+00 
 1.78560000e-10  2.33522932e+00  2.13477068e+00  2.65272198e+00  2.90731344e+00 
 1.80560000e-10  2.33582805e+00  2.13417195e+00  2.65204724e+00  2.90799149e+00 
 1.82560000e-10  2.33641087e+00  2.13358913e+00  2.65139330e+00  2.90865022e+00 
 1.84560000e-10  2.33697766e+00  2.13302234e+00  2.65076011e+00  2.90928967e+00 
 1.86560000e-10  2.33752836e+00  2.13247164e+00  2.65014763e+00  2.90990993e+00 
 1.88560000e-10  2.33806286e+00  2.13193714e+00  2.64955581e+00  2.91051105e+00 
