 time            v(detp)         v(detn)        
 0.00000000e+00  2.89648133e+00  2.89648133e+00 
 1.25000000e-15  2.89648133e+00  2.89648133e+00 
 2.50000000e-15  2.89648133e+00  2.89648133e+00 
 5.00000000e-15  2.89648133e+00  2.89648133e+00 
 1.00000000e-14  2.89648133e+00  2.89648133e+00 
 2.00000000e-14  2.89648133e+00  2.89648133e+00 
 2.03125000e-14  2.89648133e+00  2.89648133e+00 
 2.09375000e-14  2.89648133e+00  2.89648133e+00 
 2.21875000e-14  2.89648133e+00  2.89648133e+00 
 2.46875000e-14  2.89648133e+00  2.89648133e+00 
 2.96875000e-14  2.89648133e+00  2.89648133e+00 
 3.96875000e-14  2.89648133e+00  2.89648133e+00 
 5.96875000e-14  2.89648133e+00  2.89648133e+00 
 9.96875000e-14  2.89648133e+00  2.89648133e+00 
 1.79687500e-13  2.89648133e+00  2.89648133e+00 
 3.39687500e-13  2.89648133e+00  2.89648133e+00 
 6.59687500e-13  2.89648133e+00  2.89648133e+00 
 1.29968750e-12  2.89648133e+00  2.89648133e+00 
 2.29968750e-12  2.89648132e+00  2.89648132e+00 
 3.29968750e-12  2.89648129e+00  2.89648133e+00 
 4.29968750e-12  2.89648119e+00  2.89648140e+00 
 5.29968750e-12  2.89648099e+00  2.89648159e+00 
 6.29968750e-12  2.89648062e+00  2.89648199e+00 
 7.29968750e-12  2.89648003e+00  2.89648266e+00 
 8.29968750e-12  2.89647916e+00  2.89648366e+00 
 9.29968750e-12  2.89647799e+00  2.89648504e+00 
 1.02996875e-11  2.89647650e+00  2.89648679e+00 
 1.12996875e-11  2.89647470e+00  2.89648891e+00 
 1.22996875e-11  2.89647261e+00  2.89649133e+00 
 1.32996875e-11  2.89647028e+00  2.89649401e+00 
 1.42996875e-11  2.89646776e+00  2.89649686e+00 
 1.52996875e-11  2.89646512e+00  2.89649979e+00 
 1.62996875e-11  2.89646239e+00  2.89650274e+00 
 1.72996875e-11  2.89645961e+00  2.89650568e+00 
 1.82996875e-11  2.89645678e+00  2.89650863e+00 
 1.92996875e-11  2.89645387e+00  2.89651162e+00 
 2.02996875e-11  2.89645083e+00  2.89651473e+00 
 2.12996875e-11  2.89644763e+00  2.89651803e+00 
 2.22996875e-11  2.89644419e+00  2.89652161e+00 
 2.32996875e-11  2.89644049e+00  2.89652552e+00 
 2.42996875e-11  2.89643647e+00  2.89652980e+00 
 2.52996875e-11  2.89643214e+00  2.89653445e+00 
 2.62996875e-11  2.89642750e+00  2.89653946e+00 
 2.72996875e-11  2.89642258e+00  2.89654478e+00 
 2.82996875e-11  2.89641742e+00  2.89655034e+00 
 2.92996875e-11  2.89641209e+00  2.89655605e+00 
 3.02996875e-11  2.89640664e+00  2.89656184e+00 
 3.12996875e-11  2.89640111e+00  2.89656765e+00 
 3.22996875e-11  2.89639553e+00  2.89657345e+00 
 3.32996875e-11  2.89638990e+00  2.89657924e+00 
 3.42996875e-11  2.89638419e+00  2.89658507e+00 
 3.52996875e-11  2.89637837e+00  2.89659103e+00 
 3.62996875e-11  2.89637237e+00  2.89659718e+00 
 3.72996875e-11  2.89636615e+00  2.89660361e+00 
 3.82996875e-11  2.89635965e+00  2.89661036e+00 
 3.92996875e-11  2.89635285e+00  2.89661748e+00 
 4.02996875e-11  2.89634574e+00  2.89662496e+00 
 4.12996875e-11  2.89633833e+00  2.89663279e+00 
 4.22996875e-11  2.89633064e+00  2.89664092e+00 
 4.32996875e-11  2.89632273e+00  2.89664928e+00 
 4.42996875e-11  2.89631466e+00  2.89665778e+00 
 4.52996875e-11  2.89630647e+00  2.89666635e+00 
 4.62996875e-11  2.89629821e+00  2.89667493e+00 
 4.72996875e-11  2.89628990e+00  2.89668349e+00 
 4.82996875e-11  2.89628155e+00  2.89669205e+00 
 4.92996875e-11  2.89627312e+00  2.89670066e+00 
 5.02996875e-11  2.89626457e+00  2.89670938e+00 
 5.12996875e-11  2.89625584e+00  2.89671831e+00 
 5.22996875e-11  2.89624689e+00  2.89672751e+00 
 5.32996875e-11  2.89623767e+00  2.89673704e+00 
 5.42996875e-11  2.89622814e+00  2.89674693e+00 
 5.52996875e-11  2.89621829e+00  2.89675719e+00 
 5.62996875e-11  2.89620815e+00  2.89676779e+00 
 5.72996875e-11  2.89619775e+00  2.89677868e+00 
 5.82996875e-11  2.89618712e+00  2.89678980e+00 
 5.92996875e-11  2.89617633e+00  2.89680105e+00 
 6.02996875e-11  2.89616544e+00  2.89681236e+00 
 6.12996875e-11  2.89615448e+00  2.89682367e+00 
