 time            v(finalp)       v(finaln)      
 0.00000000e+00  2.78168190e+00  2.78168190e+00 
 1.25000000e-15  2.78168190e+00  2.78168190e+00 
 1.40625000e-15  2.78168190e+00  2.78168190e+00 
 1.44531250e-15  2.78168190e+00  2.78168190e+00 
 1.52343750e-15  2.78168190e+00  2.78168190e+00 
 1.67968750e-15  2.78168190e+00  2.78168190e+00 
 1.99218750e-15  2.78168190e+00  2.78168190e+00 
 2.61718750e-15  2.78168191e+00  2.78168190e+00 
 3.86718750e-15  2.78168191e+00  2.78168191e+00 
 6.36718750e-15  2.78168191e+00  2.78168191e+00 
 1.13671875e-14  2.78168191e+00  2.78168191e+00 
 2.13671875e-14  2.78168191e+00  2.78168191e+00 
 4.13671875e-14  2.78168191e+00  2.78168191e+00 
 8.13671875e-14  2.78168191e+00  2.78168191e+00 
 1.61367187e-13  2.78168190e+00  2.78168190e+00 
 1.81367187e-13  2.78168190e+00  2.78168190e+00 
 2.21367187e-13  2.78168190e+00  2.78168190e+00 
 3.01367187e-13  2.78168190e+00  2.78168190e+00 
 4.61367187e-13  2.78168190e+00  2.78168190e+00 
 7.81367187e-13  2.78168190e+00  2.78168190e+00 
 1.42136719e-12  2.78168189e+00  2.78168189e+00 
 2.42136719e-12  2.78168189e+00  2.78168189e+00 
 3.42136719e-12  2.78168190e+00  2.78168190e+00 
 4.42136719e-12  2.78168190e+00  2.78168190e+00 
 5.42136719e-12  2.78168190e+00  2.78168190e+00 
 6.42136719e-12  2.78168190e+00  2.78168190e+00 
 7.42136719e-12  2.78168190e+00  2.78168190e+00 
 8.42136719e-12  2.78168190e+00  2.78168190e+00 
 9.42136719e-12  2.78168190e+00  2.78168190e+00 
 1.04213672e-11  2.78168190e+00  2.78168190e+00 
 1.14213672e-11  2.78168190e+00  2.78168190e+00 
 1.24213672e-11  2.78168190e+00  2.78168190e+00 
 1.34213672e-11  2.78168190e+00  2.78168190e+00 
 1.44213672e-11  2.78168190e+00  2.78168190e+00 
 1.54213672e-11  2.78168190e+00  2.78168190e+00 
 1.64213672e-11  2.78168190e+00  2.78168190e+00 
 1.74213672e-11  2.78168190e+00  2.78168190e+00 
 1.84213672e-11  2.78168190e+00  2.78168190e+00 
 1.94213672e-11  2.78168190e+00  2.78168190e+00 
 2.04213672e-11  2.78168190e+00  2.78168190e+00 
 2.14213672e-11  2.78168190e+00  2.78168190e+00 
 2.24213672e-11  2.78168190e+00  2.78168190e+00 
 2.34213672e-11  2.78168190e+00  2.78168190e+00 
 2.44213672e-11  2.78168190e+00  2.78168190e+00 
 2.54213672e-11  2.78168190e+00  2.78168190e+00 
 2.64213672e-11  2.78168190e+00  2.78168190e+00 
 2.74213672e-11  2.78168190e+00  2.78168190e+00 
 2.84213672e-11  2.78168190e+00  2.78168190e+00 
 2.94213672e-11  2.78168190e+00  2.78168190e+00 
 3.04213672e-11  2.78168190e+00  2.78168190e+00 
 3.14213672e-11  2.78168190e+00  2.78168190e+00 
 3.24213672e-11  2.78168190e+00  2.78168190e+00 
 3.34213672e-11  2.78168190e+00  2.78168190e+00 
 3.44213672e-11  2.78168190e+00  2.78168190e+00 
 3.54213672e-11  2.78168190e+00  2.78168190e+00 
 3.64213672e-11  2.78168190e+00  2.78168190e+00 
 3.74213672e-11  2.78168190e+00  2.78168190e+00 
 3.82106836e-11  2.78168190e+00  2.78168190e+00 
 3.90000000e-11  2.78168190e+00  2.78168190e+00 
 3.91000000e-11  2.78168190e+00  2.78168190e+00 
 3.93000000e-11  2.78168190e+00  2.78168190e+00 
 3.96500000e-11  2.78168190e+00  2.78168190e+00 
 3.96937500e-11  2.78168190e+00  2.78168190e+00 
 3.97812500e-11  2.78168190e+00  2.78168190e+00 
 3.97949219e-11  2.78168190e+00  2.78168190e+00 
 3.98222656e-11  2.78168190e+00  2.78168190e+00 
 3.98291016e-11  2.78168190e+00  2.78168190e+00 
