 frequency       v(finalp,finaln) v(finalp,finaln)
 1.00000000e+06 -2.85203837e+03 -1.78268734e+03 
 1.02329299e+06 -2.87928706e+03 -1.75227165e+03 
 1.04712855e+06 -2.90550000e+03 -1.72208581e+03 
 1.07151931e+06 -2.93070897e+03 -1.69215471e+03 
 1.09647820e+06 -2.95494547e+03 -1.66250119e+03 
 1.12201845e+06 -2.97824070e+03 -1.63314622e+03 
 1.14815362e+06 -3.00062544e+03 -1.60410890e+03 
 1.17489755e+06 -3.02213006e+03 -1.57540666e+03 
 1.20226443e+06 -3.04278439e+03 -1.54705527e+03 
 1.23026877e+06 -3.06261777e+03 -1.51906895e+03 
 1.25892541e+06 -3.08165894e+03 -1.49146051e+03 
 1.28824955e+06 -3.09993606e+03 -1.46424136e+03 
 1.31825674e+06 -3.11747666e+03 -1.43742164e+03 
 1.34896288e+06 -3.13430762e+03 -1.41101028e+03 
 1.38038426e+06 -3.15045516e+03 -1.38501510e+03 
 1.41253754e+06 -3.16594485e+03 -1.35944285e+03 
 1.44543977e+06 -3.18080156e+03 -1.33429930e+03 
 1.47910839e+06 -3.19504948e+03 -1.30958930e+03 
 1.51356125e+06 -3.20871214e+03 -1.28531685e+03 
 1.54881662e+06 -3.22181236e+03 -1.26148515e+03 
 1.58489319e+06 -3.23437229e+03 -1.23809667e+03 
 1.62181010e+06 -3.24641341e+03 -1.21515321e+03 
 1.65958691e+06 -3.25795651e+03 -1.19265591e+03 
 1.69824365e+06 -3.26902176e+03 -1.17060536e+03 
 1.73780083e+06 -3.27962865e+03 -1.14900161e+03 
 1.77827941e+06 -3.28979603e+03 -1.12784421e+03 
 1.81970086e+06 -3.29954216e+03 -1.10713227e+03 
 1.86208714e+06 -3.30888465e+03 -1.08686448e+03 
 1.90546072e+06 -3.31784054e+03 -1.06703919e+03 
 1.94984460e+06 -3.32642625e+03 -1.04765437e+03 
 1.99526231e+06 -3.33465768e+03 -1.02870771e+03 
 2.04173794e+06 -3.34255013e+03 -1.01019663e+03 
 2.08929613e+06 -3.35011839e+03 -9.92118280e+02 
 2.13796209e+06 -3.35737674e+03 -9.74469617e+02 
 2.18776162e+06 -3.36433891e+03 -9.57247390e+02 
 2.23872114e+06 -3.37101819e+03 -9.40448181e+02 
 2.29086765e+06 -3.37742736e+03 -9.24068420e+02 
 2.34422882e+06 -3.38357878e+03 -9.08104413e+02 
 2.39883292e+06 -3.38948432e+03 -8.92552354e+02 
 2.45470892e+06 -3.39515548e+03 -8.77408347e+02 
 2.51188643e+06 -3.40060332e+03 -8.62668418e+02 
 2.57039578e+06 -3.40583850e+03 -8.48328536e+02 
 2.63026799e+06 -3.41087134e+03 -8.34384621e+02 
 2.69153480e+06 -3.41571175e+03 -8.20832562e+02 
 2.75422870e+06 -3.42036933e+03 -8.07668226e+02 
 2.81838293e+06 -3.42485333e+03 -7.94887471e+02 
 2.88403150e+06 -3.42917269e+03 -7.82486154e+02 
 2.95120923e+06 -3.43333605e+03 -7.70460143e+02 
 3.01995172e+06 -3.43735175e+03 -7.58805323e+02 
 3.09029543e+06 -3.44122787e+03 -7.47517605e+02 
 3.16227766e+06 -3.44497220e+03 -7.36592933e+02 
 3.23593657e+06 -3.44859231e+03 -7.26027293e+02 
 3.31131121e+06 -3.45209552e+03 -7.15816712e+02 
 3.38844156e+06 -3.45548894e+03 -7.05957271e+02 
 3.46736850e+06 -3.45877944e+03 -6.96445104e+02 
 3.54813389e+06 -3.46197372e+03 -6.87276406e+02 
 3.63078055e+06 -3.46507829e+03 -6.78447434e+02 
 3.71535229e+06 -3.46809947e+03 -6.69954511e+02 
 3.80189396e+06 -3.47104342e+03 -6.61794027e+02 
 3.89045145e+06 -3.47391615e+03 -6.53962445e+02 
 3.98107171e+06 -3.47672352e+03 -6.46456300e+02 
 4.07380278e+06 -3.47947129e+03 -6.39272200e+02 
 4.16869383e+06 -3.48216504e+03 -6.32406829e+02 
 4.26579519e+06 -3.48481030e+03 -6.25856945e+02 
 4.36515832e+06 -3.48741245e+03 -6.19619383e+02 
 4.46683592e+06 -3.48997681e+03 -6.13691052e+02 
 4.57088190e+06 -3.49250860e+03 -6.08068937e+02 
 4.67735141e+06 -3.49501298e+03 -6.02750098e+02 
 4.78630092e+06 -3.49749503e+03 -5.97731666e+02 
 4.89778819e+06 -3.49995979e+03 -5.93010845e+02 
 5.01187234e+06 -3.50241224e+03 -5.88584908e+02 
 5.12861384e+06 -3.50485734e+03 -5.84451195e+02 
 5.24807460e+06 -3.50730001e+03 -5.80607112e+02 
 5.37031796e+06 -3.50974515e+03 -5.77050126e+02 
 5.49540874e+06 -3.51219765e+03 -5.73777764e+02 
 5.62341325e+06 -3.51466240e+03 -5.70787607e+02 
 5.75439937e+06 -3.51714427e+03 -5.68077290e+02 
 5.88843655e+06 -3.51964817e+03 -5.65644491e+02 
 6.02559586e+06 -3.52217902e+03 -5.63486935e+02 
 6.16595002e+06 -3.52474176e+03 -5.61602383e+02 
 6.30957344e+06 -3.52734136e+03 -5.59988627e+02 
 6.45654229e+06 -3.52998285e+03 -5.58643488e+02 
 6.60693448e+06 -3.53267127e+03 -5.57564805e+02 
 6.76082975e+06 -3.53541176e+03 -5.56750434e+02 
 6.91830971e+06 -3.53820949e+03 -5.56198236e+02 
 7.07945784e+06 -3.54106969e+03 -5.55906071e+02 
 7.24435960e+06 -3.54399769e+03 -5.55871793e+02 
 7.41310241e+06 -3.54699887e+03 -5.56093236e+02 
 7.58577575e+06 -3.55007871e+03 -5.56568213e+02 
 7.76247117e+06 -3.55324277e+03 -5.57294499e+02 
 7.94328235e+06 -3.55649670e+03 -5.58269827e+02 
 8.12830516e+06 -3.55984626e+03 -5.59491873e+02 
 8.31763771e+06 -3.56329729e+03 -5.60958249e+02 
 8.51138038e+06 -3.56685576e+03 -5.62666490e+02 
 8.70963590e+06 -3.57052773e+03 -5.64614044e+02 
 8.91250938e+06 -3.57431936e+03 -5.66798255e+02 
 9.12010839e+06 -3.57823694e+03 -5.69216356e+02 
 9.33254301e+06 -3.58228687e+03 -5.71865451e+02 
 9.54992586e+06 -3.58647566e+03 -5.74742505e+02 
 9.77237221e+06 -3.59080993e+03 -5.77844326e+02 
 1.00000000e+07 -3.59529640e+03 -5.81167550e+02 
 1.02329299e+07 -3.59994193e+03 -5.84708628e+02 
 1.04712855e+07 -3.60475346e+03 -5.88463812e+02 
 1.07151931e+07 -3.60973804e+03 -5.92429130e+02 
 1.09647820e+07 -3.61490282e+03 -5.96600379e+02 
 1.12201845e+07 -3.62025504e+03 -6.00973103e+02 
 1.14815362e+07 -3.62580203e+03 -6.05542573e+02 
 1.17489755e+07 -3.63155119e+03 -6.10303777e+02 
 1.20226443e+07 -3.63750998e+03 -6.15251394e+02 
 1.23026877e+07 -3.64368592e+03 -6.20379782e+02 
 1.25892541e+07 -3.65008658e+03 -6.25682955e+02 
 1.28824955e+07 -3.65671952e+03 -6.31154571e+02 
 1.31825674e+07 -3.66359235e+03 -6.36787907e+02 
 1.34896288e+07 -3.67071265e+03 -6.42575850e+02 
 1.38038426e+07 -3.67808798e+03 -6.48510871e+02 
 1.41253754e+07 -3.68572583e+03 -6.54585018e+02 
 1.44543977e+07 -3.69363363e+03 -6.60789892e+02 
 1.47910839e+07 -3.70181871e+03 -6.67116639e+02 
 1.51356125e+07 -3.71028825e+03 -6.73555934e+02 
 1.54881662e+07 -3.71904930e+03 -6.80097968e+02 
 1.58489319e+07 -3.72810869e+03 -6.86732439e+02 
 1.62181010e+07 -3.73747304e+03 -6.93448545e+02 
 1.65958691e+07 -3.74714870e+03 -7.00234974e+02 
 1.69824365e+07 -3.75714173e+03 -7.07079903e+02 
 1.73780083e+07 -3.76745783e+03 -7.13970994e+02 
 1.77827941e+07 -3.77810235e+03 -7.20895397e+02 
 1.81970086e+07 -3.78908019e+03 -7.27839753e+02 
 1.86208714e+07 -3.80039580e+03 -7.34790201e+02 
 1.90546072e+07 -3.81205311e+03 -7.41732391e+02 
 1.94984460e+07 -3.82405549e+03 -7.48651499e+02 
 1.99526231e+07 -3.83640573e+03 -7.55532242e+02 
 2.04173794e+07 -3.84910595e+03 -7.62358905e+02 
 2.08929613e+07 -3.86215759e+03 -7.69115367e+02 
 2.13796209e+07 -3.87556132e+03 -7.75785132e+02 
 2.18776162e+07 -3.88931708e+03 -7.82351366e+02 
 2.23872114e+07 -3.90342394e+03 -7.88796939e+02 
 2.29086765e+07 -3.91788013e+03 -7.95104467e+02 
 2.34422882e+07 -3.93268297e+03 -8.01256368e+02 
 2.39883292e+07 -3.94782883e+03 -8.07234911e+02 
 2.45470892e+07 -3.96331315e+03 -8.13022278e+02 
 2.51188643e+07 -3.97913034e+03 -8.18600624e+02 
 2.57039578e+07 -3.99527380e+03 -8.23952151e+02 
 2.63026799e+07 -4.01173592e+03 -8.29059169e+02 
 2.69153480e+07 -4.02850802e+03 -8.33904174e+02 
 2.75422870e+07 -4.04558038e+03 -8.38469924e+02 
 2.81838293e+07 -4.06294224e+03 -8.42739517e+02 
 2.88403150e+07 -4.08058179e+03 -8.46696467e+02 
 2.95120923e+07 -4.09848620e+03 -8.50324787e+02 
 3.01995172e+07 -4.11664165e+03 -8.53609065e+02 
 3.09029543e+07 -4.13503333e+03 -8.56534546e+02 
 3.16227766e+07 -4.15364550e+03 -8.59087211e+02 
 3.23593657e+07 -4.17246154e+03 -8.61253844e+02 
 3.31131121e+07 -4.19146398e+03 -8.63022112e+02 
 3.38844156e+07 -4.21063458e+03 -8.64380629e+02 
 3.46736850e+07 -4.22995438e+03 -8.65319019e+02 
 3.54813389e+07 -4.24940378e+03 -8.65827975e+02 
 3.63078055e+07 -4.26896260e+03 -8.65899310e+02 
 3.71535229e+07 -4.28861021e+03 -8.65526000e+02 
 3.80189396e+07 -4.30832556e+03 -8.64702226e+02 
 3.89045145e+07 -4.32808727e+03 -8.63423397e+02 
 3.98107171e+07 -4.34787379e+03 -8.61686181e+02 
 4.07380278e+07 -4.36766341e+03 -8.59488508e+02 
 4.16869383e+07 -4.38743441e+03 -8.56829586e+02 
 4.26579519e+07 -4.40716514e+03 -8.53709887e+02 
 4.36515832e+07 -4.42683411e+03 -8.50131143e+02 
 4.46683592e+07 -4.44642007e+03 -8.46096320e+02 
 4.57088190e+07 -4.46590215e+03 -8.41609595e+02 
 4.67735141e+07 -4.48525987e+03 -8.36676314e+02 
 4.78630092e+07 -4.50447330e+03 -8.31302954e+02 
 4.89778819e+07 -4.52352308e+03 -8.25497068e+02 
 5.01187234e+07 -4.54239051e+03 -8.19267235e+02 
 5.12861384e+07 -4.56105764e+03 -8.12622991e+02 
 5.24807460e+07 -4.57950729e+03 -8.05574768e+02 
 5.37031796e+07 -4.59772314e+03 -7.98133823e+02 
 5.49540874e+07 -4.61568975e+03 -7.90312161e+02 
 5.62341325e+07 -4.63339261e+03 -7.82122465e+02 
 5.75439937e+07 -4.65081815e+03 -7.73578012e+02 
 5.88843655e+07 -4.66795382e+03 -7.64692597e+02 
 6.02559586e+07 -4.68478804e+03 -7.55480456e+02 
 6.16595002e+07 -4.70131026e+03 -7.45956184e+02 
 6.30957344e+07 -4.71751094e+03 -7.36134660e+02 
 6.45654229e+07 -4.73338154e+03 -7.26030973e+02 
