 time            v(bufinp)       v(bufinn)       v(outp)         v(outn)        
 0.00000000e+00  2.23500000e+00  2.23500000e+00  2.70519415e+00  2.70519415e+00 
 2.00000000e-14  2.23501398e+00  2.23498602e+00  2.70520506e+00  2.70518324e+00 
 4.00000000e-14  2.23502796e+00  2.23497204e+00  2.70521422e+00  2.70517409e+00 
 8.00000000e-14  2.23505592e+00  2.23494408e+00  2.70523005e+00  2.70515825e+00 
 1.60000000e-13  2.23511184e+00  2.23488816e+00  2.70525515e+00  2.70513316e+00 
 3.20000000e-13  2.23522368e+00  2.23477632e+00  2.70528735e+00  2.70510095e+00 
 6.40000000e-13  2.23544736e+00  2.23455264e+00  2.70528545e+00  2.70510285e+00 
 1.28000000e-12  2.23589472e+00  2.23410528e+00  2.70506512e+00  2.70532309e+00 
 2.56000000e-12  2.23678937e+00  2.23321063e+00  2.70415943e+00  2.70622817e+00 
 4.56000000e-12  2.23818702e+00  2.23181298e+00  2.70233117e+00  2.70805434e+00 
 6.56000000e-12  2.23958417e+00  2.23041583e+00  2.70039911e+00  2.70998297e+00 
 8.56000000e-12  2.24098059e+00  2.22901941e+00  2.69847964e+00  2.71189769e+00 
 1.05600000e-11  2.24237607e+00  2.22762393e+00  2.69657972e+00  2.71379158e+00 
 1.25600000e-11  2.24377038e+00  2.22622962e+00  2.69468830e+00  2.71567567e+00 
 1.45600000e-11  2.24516331e+00  2.22483669e+00  2.69279923e+00  2.71755613e+00 
 1.65600000e-11  2.24655464e+00  2.22344536e+00  2.69091106e+00  2.71943439e+00 
 1.85600000e-11  2.24794414e+00  2.22205586e+00  2.68902408e+00  2.72131020e+00 
 2.05600000e-11  2.24933159e+00  2.22066841e+00  2.68713881e+00  2.72318301e+00 
 2.25600000e-11  2.25071678e+00  2.21928322e+00  2.68525571e+00  2.72505237e+00 
 2.45600000e-11  2.25209949e+00  2.21790051e+00  2.68337516e+00  2.72691791e+00 
 2.65600000e-11  2.25347950e+00  2.21652050e+00  2.68149777e+00  2.72877907e+00 
 2.85600000e-11  2.25485659e+00  2.21514341e+00  2.67962332e+00  2.73063598e+00 
 3.05600000e-11  2.25623055e+00  2.21376945e+00  2.67775236e+00  2.73248815e+00 
 3.25600000e-11  2.25760115e+00  2.21239885e+00  2.67588572e+00  2.73433481e+00 
 3.45600000e-11  2.25896819e+00  2.21103181e+00  2.67402301e+00  2.73617625e+00 
 3.65600000e-11  2.26033144e+00  2.20966856e+00  2.67216480e+00  2.73801196e+00 
 3.85600000e-11  2.26169069e+00  2.20830931e+00  2.67031160e+00  2.73984145e+00 
 4.05600000e-11  2.26304572e+00  2.20695428e+00  2.66846373e+00  2.74166441e+00 
 4.25600000e-11  2.26439633e+00  2.20560367e+00  2.66662147e+00  2.74348057e+00 
 4.45600000e-11  2.26574229e+00  2.20425771e+00  2.66478512e+00  2.74528963e+00 
 4.65600000e-11  2.26708340e+00  2.20291660e+00  2.66295499e+00  2.74709130e+00 
 4.85600000e-11  2.26841945e+00  2.20158055e+00  2.66113192e+00  2.74888485e+00 
 5.05600000e-11  2.26975021e+00  2.20024979e+00  2.65931566e+00  2.75067043e+00 
 5.25600000e-11  2.27107549e+00  2.19892451e+00  2.65750632e+00  2.75244791e+00 
 5.45600000e-11  2.27239507e+00  2.19760493e+00  2.65570436e+00  2.75421688e+00 
 5.65600000e-11  2.27370875e+00  2.19629125e+00  2.65391018e+00  2.75597696e+00 
 5.85600000e-11  2.27501631e+00  2.19498369e+00  2.65212413e+00  2.75772781e+00 
 6.05600000e-11  2.27631756e+00  2.19368244e+00  2.65034587e+00  2.75946963e+00 
 6.25600000e-11  2.27761228e+00  2.19238772e+00  2.64857644e+00  2.76120160e+00 
 6.45600000e-11  2.27890027e+00  2.19109973e+00  2.64681709e+00  2.76292271e+00 
 6.65600000e-11  2.28018133e+00  2.18981867e+00  2.64506715e+00  2.76463339e+00 
 6.85600000e-11  2.28145525e+00  2.18854475e+00  2.64332653e+00  2.76633369e+00 
 7.05600000e-11  2.28272184e+00  2.18727816e+00  2.64159565e+00  2.76802321e+00 
 7.25600000e-11  2.28398089e+00  2.18601911e+00  2.63987496e+00  2.76970158e+00 
 7.45600000e-11  2.28523221e+00  2.18476779e+00  2.63816479e+00  2.77136848e+00 
 7.65600000e-11  2.28647560e+00  2.18352440e+00  2.63646544e+00  2.77302364e+00 
 7.85600000e-11  2.28771085e+00  2.18228915e+00  2.63477720e+00  2.77466681e+00 
 8.05600000e-11  2.28893779e+00  2.18106221e+00  2.63310033e+00  2.77629772e+00 
 8.25600000e-11  2.29015620e+00  2.17984380e+00  2.63143513e+00  2.77791611e+00 
