 time            v(detp)         v(detn)        
 0.00000000e+00  7.17023642e-01  7.17023642e-01 
 1.00000000e-14  7.17240882e-01  7.17106433e-01 
 2.00000000e-14  7.17446266e-01  7.17175510e-01 
 4.00000000e-14  7.17826099e-01  7.17275005e-01 
 8.00000000e-14  7.18475250e-01  7.17321321e-01 
 1.60000000e-13  7.19706277e-01  7.17202889e-01 
 3.20000000e-13  7.22055528e-01  7.16523309e-01 
 6.40000000e-13  7.26199366e-01  7.14312726e-01 
 1.07247689e-12  7.30784837e-01  7.11166478e-01 
 1.93743068e-12  7.36705758e-01  7.08401977e-01 
 2.69458275e-12  7.38694735e-01  7.12194996e-01 
 3.32644614e-12  7.38125172e-01  7.22499488e-01 
 4.02047320e-12  7.34720542e-01  7.45085913e-01 
 4.74465806e-12  7.28614304e-01  7.78638133e-01 
 5.69914928e-12  7.17683220e-01  8.30718182e-01 
 6.44977799e-12  7.07446285e-01  8.74472984e-01 
 7.31524387e-12  6.94324043e-01  9.24710974e-01 
 8.19838509e-12  6.80193261e-01  9.72638457e-01 
 9.19838509e-12  6.64465943e-01  1.01828071e+00 
 1.01983851e-11  6.50551156e-01  1.04974916e+00 
 1.11983851e-11  6.39918674e-01  1.06257764e+00 
 1.21983851e-11  6.33733164e-01  1.05394821e+00 
 1.31983851e-11  6.32774493e-01  1.02335780e+00 
 1.41983851e-11  6.37490202e-01  9.72736170e-01 
 1.51983851e-11  6.47487013e-01  9.10314978e-01 
 1.61983851e-11  6.61319794e-01  8.54446301e-01 
 1.71983851e-11  6.81204248e-01  8.12710815e-01 
 1.79976510e-11  7.10108444e-01  7.87773841e-01 
 1.89122302e-11  7.62174168e-01  7.64371189e-01 
 1.97937497e-11  8.20940024e-01  7.45394827e-01 
 2.07937497e-11  8.90900601e-01  7.25529529e-01 
 2.17595528e-11  9.58875066e-01  7.06490410e-01 
 2.27595528e-11  1.02670290e+00  6.86394381e-01 
 2.37595528e-11  1.08781812e+00  6.66453547e-01 
 2.47595528e-11  1.13681418e+00  6.48005663e-01 
 2.57595528e-11  1.16801199e+00  6.32684543e-01 
 2.67595528e-11  1.17696598e+00  6.21922547e-01 
 2.75263691e-11  1.16734142e+00  6.17514133e-01 
 2.82489792e-11  1.14503974e+00  6.16674662e-01 
 2.90410582e-11  1.10692835e+00  6.19430639e-01 
 3.00410582e-11  1.04198833e+00  6.28318844e-01 
 3.10410582e-11  9.64675456e-01  6.43388308e-01 
 3.20410582e-11  8.93175014e-01  6.63880636e-01 
 3.30410582e-11  8.37976848e-01  6.96309923e-01 
 3.40410582e-11  7.95768116e-01  7.53925003e-01 
 3.50410582e-11  7.63518847e-01  8.22551257e-01 
 3.60410582e-11  7.36998714e-01  8.94056949e-01 
 3.69616505e-11  7.14997229e-01  9.59443157e-01 
 3.79616505e-11  6.92281635e-01  1.02679706e+00 
 3.89616505e-11  6.70955857e-01  1.08586997e+00 
 3.99616505e-11  6.52150727e-01  1.13105763e+00 
 4.09616505e-11  6.37306409e-01  1.15692079e+00 
 4.19616505e-11  6.27660007e-01  1.15965084e+00 
 4.29616505e-11  6.24034845e-01  1.13793807e+00 
 4.39616505e-11  6.26872183e-01  1.09326274e+00 
 4.47912248e-11  6.34445005e-01  1.04138405e+00 
 4.56346152e-11  6.47237698e-01  9.78854307e-01 
 4.64907155e-11  6.65597983e-01  9.15736203e-01 
 4.73636976e-11  6.95824035e-01  8.61906612e-01 
 4.83636976e-11  7.55073582e-01  8.13370010e-01 
 4.93636976e-11  8.25121597e-01  7.76869120e-01 
 5.03636976e-11  8.98442486e-01  7.47927325e-01 
 5.11760688e-11  9.58643075e-01  7.27436229e-01 
 5.19797459e-11  1.01758997e+00  7.08256317e-01 
 5.29797459e-11  1.08776336e+00  6.84857690e-01 
 5.39797459e-11  1.15030094e+00  6.62469439e-01 
 5.46870913e-11  1.18708976e+00  6.48074022e-01 
 5.53424321e-11  1.21335019e+00  6.36387851e-01 
 5.60438956e-11  1.23107351e+00  6.26086153e-01 
 5.70438956e-11  1.23514913e+00  6.16018946e-01 
