 time            v(finalp)       v(finaln)      
 0.00000000e+00  2.72714083e+00  2.72714083e+00 
 1.00000000e-14  2.72714083e+00  2.72714083e+00 
 2.00000000e-14  2.72714083e+00  2.72714083e+00 
 4.00000000e-14  2.72714083e+00  2.72714083e+00 
 8.00000000e-14  2.72714083e+00  2.72714083e+00 
 1.60000000e-13  2.72714083e+00  2.72714083e+00 
 3.20000000e-13  2.72714083e+00  2.72714083e+00 
 6.40000000e-13  2.72714082e+00  2.72714082e+00 
 1.28000000e-12  2.72714077e+00  2.72714077e+00 
 2.28000000e-12  2.72714071e+00  2.72714071e+00 
 3.28000000e-12  2.72714076e+00  2.72714076e+00 
 4.28000000e-12  2.72714090e+00  2.72714090e+00 
 5.28000000e-12  2.72714101e+00  2.72714101e+00 
 6.28000000e-12  2.72714095e+00  2.72714095e+00 
 7.28000000e-12  2.72714061e+00  2.72714060e+00 
 8.28000000e-12  2.72713997e+00  2.72713997e+00 
 9.28000000e-12  2.72713920e+00  2.72713920e+00 
 1.02800000e-11  2.72713867e+00  2.72713866e+00 
 1.12800000e-11  2.72713894e+00  2.72713893e+00 
 1.22800000e-11  2.72714071e+00  2.72714071e+00 
 1.32800000e-11  2.72714470e+00  2.72714469e+00 
 1.42800000e-11  2.72715136e+00  2.72715135e+00 
 1.52800000e-11  2.72716075e+00  2.72716074e+00 
 1.62800000e-11  2.72717233e+00  2.72717233e+00 
 1.72800000e-11  2.72718494e+00  2.72718495e+00 
 1.82800000e-11  2.72719692e+00  2.72719694e+00 
 1.92800000e-11  2.72720629e+00  2.72720633e+00 
 2.02800000e-11  2.72721111e+00  2.72721118e+00 
 2.12800000e-11  2.72720981e+00  2.72720991e+00 
 2.22800000e-11  2.72720143e+00  2.72720158e+00 
 2.32800000e-11  2.72718587e+00  2.72718606e+00 
 2.42800000e-11  2.72716389e+00  2.72716413e+00 
 2.52800000e-11  2.72713708e+00  2.72713737e+00 
 2.62800000e-11  2.72710764e+00  2.72710799e+00 
 2.72800000e-11  2.72707816e+00  2.72707857e+00 
 2.82800000e-11  2.72705128e+00  2.72705174e+00 
 2.92800000e-11  2.72702943e+00  2.72702995e+00 
 3.02800000e-11  2.72701458e+00  2.72701514e+00 
 3.12800000e-11  2.72700805e+00  2.72700865e+00 
 3.22800000e-11  2.72701041e+00  2.72701103e+00 
 3.32800000e-11  2.72702146e+00  2.72702210e+00 
 3.42800000e-11  2.72704029e+00  2.72704094e+00 
 3.52800000e-11  2.72706538e+00  2.72706603e+00 
 3.62800000e-11  2.72709477e+00  2.72709541e+00 
 3.72800000e-11  2.72712624e+00  2.72712687e+00 
 3.81400000e-11  2.72715331e+00  2.72715391e+00 
 3.90000000e-11  2.72717887e+00  2.72717944e+00 
 3.91000000e-11  2.72718171e+00  2.72718228e+00 
 3.93000000e-11  2.72718729e+00  2.72718785e+00 
 3.96500000e-11  2.72719661e+00  2.72719715e+00 
 4.00000000e-11  2.72720529e+00  2.72720582e+00 
 4.00700000e-11  2.72720693e+00  2.72720746e+00 
 4.02100000e-11  2.72721015e+00  2.72721068e+00 
 4.04900000e-11  2.72721624e+00  2.72721675e+00 
 4.10500000e-11  2.72722689e+00  2.72722737e+00 
 4.20500000e-11  2.72724041e+00  2.72724086e+00 
 4.30500000e-11  2.72724669e+00  2.72724708e+00 
 4.40500000e-11  2.72724577e+00  2.72724612e+00 
 4.50500000e-11  2.72723814e+00  2.72723845e+00 
 4.60500000e-11  2.72722464e+00  2.72722491e+00 
 4.70500000e-11  2.72720649e+00  2.72720673e+00 
 4.80500000e-11  2.72718519e+00  2.72718540e+00 
 4.90500000e-11  2.72716239e+00  2.72716258e+00 
 5.00500000e-11  2.72713988e+00  2.72714005e+00 
 5.10500000e-11  2.72711937e+00  2.72711954e+00 
 5.20500000e-11  2.72710243e+00  2.72710259e+00 
 5.30500000e-11  2.72709029e+00  2.72709046e+00 
 5.40500000e-11  2.72708371e+00  2.72708388e+00 
 5.50500000e-11  2.72708286e+00  2.72708304e+00 
 5.60500000e-11  2.72708729e+00  2.72708749e+00 
 5.70500000e-11  2.72709598e+00  2.72709619e+00 
 5.80500000e-11  2.72710742e+00  2.72710766e+00 
 5.90500000e-11  2.72711989e+00  2.72712016e+00 
 6.00500000e-11  2.72713165e+00  2.72713194e+00 
 6.10500000e-11  2.72714117e+00  2.72714150e+00 
 6.20500000e-11  2.72714737e+00  2.72714773e+00 
 6.30500000e-11  2.72714969e+00  2.72715008e+00 
 6.40500000e-11  2.72714814e+00  2.72714856e+00 
 6.50500000e-11  2.72714327e+00  2.72714371e+00 
 6.60500000e-11  2.72713603e+00  2.72713650e+00 
 6.70500000e-11  2.72712765e+00  2.72712814e+00 
 6.80500000e-11  2.72711941e+00  2.72711991e+00 
 6.90500000e-11  2.72711253e+00  2.72711304e+00 
 7.00500000e-11  2.72710799e+00  2.72710851e+00 
 7.10500000e-11  2.72710647e+00  2.72710698e+00 
 7.20500000e-11  2.72710828e+00  2.72710878e+00 
 7.30500000e-11  2.72711332e+00  2.72711381e+00 
 7.40500000e-11  2.72712120e+00  2.72712167e+00 
 7.50500000e-11  2.72713122e+00  2.72713165e+00 
 7.60500000e-11  2.72714248e+00  2.72714289e+00 
 7.70500000e-11  2.72715402e+00  2.72715439e+00 
 7.80500000e-11  2.72716486e+00  2.72716520e+00 
 7.90000000e-11  2.72717373e+00  2.72717403e+00 
 7.91000000e-11  2.72717456e+00  2.72717486e+00 
 7.93000000e-11  2.72717617e+00  2.72717647e+00 
 7.96500000e-11  2.72717874e+00  2.72717902e+00 
 8.00000000e-11  2.72718097e+00  2.72718124e+00 
 8.00700000e-11  2.72718136e+00  2.72718163e+00 
 8.02100000e-11  2.72718212e+00  2.72718239e+00 
 8.04900000e-11  2.72718346e+00  2.72718372e+00 
 8.10500000e-11  2.72718541e+00  2.72718564e+00 
 8.20500000e-11  2.72718641e+00  2.72718661e+00 
 8.30500000e-11  2.72718436e+00  2.72718454e+00 
 8.40500000e-11  2.72717953e+00  2.72717969e+00 
 8.50500000e-11  2.72717234e+00  2.72717247e+00 
 8.60500000e-11  2.72716332e+00  2.72716345e+00 
 8.70500000e-11  2.72715315e+00  2.72715327e+00 
 8.80500000e-11  2.72714257e+00  2.72714268e+00 
 8.90500000e-11  2.72713237e+00  2.72713248e+00 
 9.00500000e-11  2.72712335e+00  2.72712346e+00 
 9.10500000e-11  2.72711628e+00  2.72711640e+00 
 9.20500000e-11  2.72711182e+00  2.72711196e+00 
 9.30500000e-11  2.72711044e+00  2.72711058e+00 
 9.40500000e-11  2.72711231e+00  2.72711247e+00 
 9.50500000e-11  2.72711726e+00  2.72711743e+00 
 9.60500000e-11  2.72712473e+00  2.72712492e+00 
 9.70500000e-11  2.72713381e+00  2.72713401e+00 
 9.80500000e-11  2.72714334e+00  2.72714356e+00 
 9.90500000e-11  2.72715204e+00  2.72715228e+00 
 1.00050000e-10  2.72715874e+00  2.72715900e+00 
 1.01050000e-10  2.72716248e+00  2.72716275e+00 
 1.02050000e-10  2.72716269e+00  2.72716299e+00 
 1.03050000e-10  2.72715927e+00  2.72715959e+00 
 1.04050000e-10  2.72715258e+00  2.72715291e+00 
 1.05050000e-10  2.72714338e+00  2.72714372e+00 
 1.06050000e-10  2.72713273e+00  2.72713309e+00 
 1.07050000e-10  2.72712187e+00  2.72712225e+00 
 1.08050000e-10  2.72711203e+00  2.72711241e+00 
 1.09050000e-10  2.72710430e+00  2.72710468e+00 
 1.10050000e-10  2.72709953e+00  2.72709991e+00 
 1.11050000e-10  2.72709823e+00  2.72709861e+00 
 1.12050000e-10  2.72710057e+00  2.72710094e+00 
 1.13050000e-10  2.72710636e+00  2.72710671e+00 
 1.14050000e-10  2.72711507e+00  2.72711540e+00 
 1.15050000e-10  2.72712594e+00  2.72712625e+00 
 1.16050000e-10  2.72713806e+00  2.72713835e+00 
 1.17050000e-10  2.72715042e+00  2.72715068e+00 
 1.18050000e-10  2.72716205e+00  2.72716228e+00 
 1.19000000e-10  2.72717163e+00  2.72717184e+00 
 1.19100000e-10  2.72717254e+00  2.72717275e+00 
 1.19300000e-10  2.72717429e+00  2.72717450e+00 
 1.19650000e-10  2.72717712e+00  2.72717732e+00 
 1.20000000e-10  2.72717961e+00  2.72717979e+00 
 1.20070000e-10  2.72718005e+00  2.72718024e+00 
 1.20210000e-10  2.72718091e+00  2.72718109e+00 
 1.20490000e-10  2.72718246e+00  2.72718263e+00 
 1.21050000e-10  2.72718481e+00  2.72718498e+00 
 1.22050000e-10  2.72718654e+00  2.72718668e+00 
 1.23050000e-10  2.72718520e+00  2.72718534e+00 
 1.24050000e-10  2.72718096e+00  2.72718129e+00 
 1.25050000e-10  2.72717377e+00  2.72717537e+00 
 1.26050000e-10  2.72716262e+00  2.72716968e+00 
 1.27050000e-10  2.72714378e+00  2.72716922e+00 
 1.28050000e-10  2.72710775e+00  2.72718489e+00 
 1.29050000e-10  2.72703467e+00  2.72723807e+00 
 1.30050000e-10  2.72688832e+00  2.72736647e+00 
 1.31050000e-10  2.72660950e+00  2.72763069e+00 
 1.32050000e-10  2.72611006e+00  2.72812009e+00 
 1.33050000e-10  2.72526909e+00  2.72895640e+00 
 1.34050000e-10  2.72393272e+00  2.73029365e+00 
 1.35050000e-10  2.72191870e+00  2.73231305e+00 
 1.36050000e-10  2.71902605e+00  2.73521237e+00 
 1.37050000e-10  2.71504962e+00  2.73919011e+00 
 1.38050000e-10  2.70979691e+00  2.74442474e+00 
 1.39050000e-10  2.70311012e+00  2.75105449e+00 
 1.40050000e-10  2.69488458e+00  2.75915440e+00 
 1.41050000e-10  2.68508520e+00  2.76871805e+00 
 1.42050000e-10  2.67375790e+00  2.77964674e+00 
 1.43050000e-10  2.66103351e+00  2.79174829e+00 
 1.44050000e-10  2.64712394e+00  2.80474650e+00 
 1.45050000e-10  2.63230884e+00  2.81830657e+00 
 1.46050000e-10  2.61691778e+00  2.83205974e+00 
 1.47050000e-10  2.60131401e+00  2.84563742e+00 
