 frequency       v(finalp,finaln) v(finalp,finaln)
 1.00000000e+06  9.81975075e+02  3.43166444e+03 
 1.02329299e+06  1.08372241e+03  3.44567541e+03 
 1.04712855e+06  1.18514183e+03  3.45609527e+03 
 1.07151931e+06  1.28605058e+03  3.46301229e+03 
 1.09647820e+06  1.38627647e+03  3.46652382e+03 
 1.12201845e+06  1.48565824e+03  3.46673522e+03 
 1.14815362e+06  1.58404571e+03  3.46375878e+03 
 1.17489755e+06  1.68129987e+03  3.45771258e+03 
 1.20226443e+06  1.77729296e+03  3.44871957e+03 
 1.23026877e+06  1.87190827e+03  3.43690649e+03 
 1.25892541e+06  1.96504011e+03  3.42240303e+03 
 1.28824955e+06  2.05659349e+03  3.40534090e+03 
 1.31825674e+06  2.14648390e+03  3.38585306e+03 
 1.34896288e+06  2.23463696e+03  3.36407291e+03 
 1.38038426e+06  2.32098804e+03  3.34013368e+03 
 1.41253754e+06  2.40548188e+03  3.31416773e+03 
 1.44543977e+06  2.48807211e+03  3.28630600e+03 
 1.47910839e+06  2.56872086e+03  3.25667754e+03 
 1.51356125e+06  2.64739826e+03  3.22540898e+03 
 1.54881662e+06  2.72408194e+03  3.19262422e+03 
 1.58489319e+06  2.79875659e+03  3.15844404e+03 
 1.62181010e+06  2.87141345e+03  3.12298579e+03 
 1.65958691e+06  2.94204987e+03  3.08636321e+03 
 1.69824365e+06  3.01066879e+03  3.04868616e+03 
 1.73780083e+06  3.07727832e+03  3.01006050e+03 
 1.77827941e+06  3.14189130e+03  2.97058799e+03 
 1.81970086e+06  3.20452482e+03  2.93036613e+03 
 1.86208714e+06  3.26519988e+03  2.88948819e+03 
 1.90546072e+06  3.32394093e+03  2.84804313e+03 
 1.94984460e+06  3.38077552e+03  2.80611563e+03 
 1.99526231e+06  3.43573394e+03  2.76378608e+03 
 2.04173794e+06  3.48884891e+03  2.72113067e+03 
 2.08929613e+06  3.54015519e+03  2.67822140e+03 
 2.13796209e+06  3.58968936e+03  2.63512621e+03 
 2.18776162e+06  3.63748951e+03  2.59190901e+03 
 2.23872114e+06  3.68359496e+03  2.54862984e+03 
 2.29086765e+06  3.72804606e+03  2.50534495e+03 
 2.34422882e+06  3.77088395e+03  2.46210689e+03 
 2.39883292e+06  3.81215034e+03  2.41896470e+03 
 2.45470892e+06  3.85188736e+03  2.37596398e+03 
 2.51188643e+06  3.89013737e+03  2.33314704e+03 
 2.57039578e+06  3.92694279e+03  2.29055305e+03 
 2.63026799e+06  3.96234600e+03  2.24821814e+03 
 2.69153480e+06  3.99638916e+03  2.20617556e+03 
 2.75422870e+06  4.02911414e+03  2.16445580e+03 
 2.81838293e+06  4.06056243e+03  2.12308674e+03 
 2.88403150e+06  4.09077499e+03  2.08209374e+03 
 2.95120923e+06  4.11979223e+03  2.04149984e+03 
 3.01995172e+06  4.14765391e+03  2.00132579e+03 
 3.09029543e+06  4.17439910e+03  1.96159025e+03 
 3.16227766e+06  4.20006610e+03  1.92230987e+03 
 3.23593657e+06  4.22469244e+03  1.88349942e+03 
 3.31131121e+06  4.24831480e+03  1.84517190e+03 
 3.38844156e+06  4.27096901e+03  1.80733861e+03 
 3.46736850e+06  4.29269000e+03  1.77000932e+03 
 3.54813389e+06  4.31351183e+03  1.73319231e+03 
 3.63078055e+06  4.33346761e+03  1.69689449e+03 
 3.71535229e+06  4.35258953e+03  1.66112149e+03 
 3.80189396e+06  4.37090888e+03  1.62587774e+03 
 3.89045145e+06  4.38845598e+03  1.59116653e+03 
 3.98107171e+06  4.40526026e+03  1.55699016e+03 
 4.07380278e+06  4.42135018e+03  1.52334992e+03 
 4.16869383e+06  4.43675332e+03  1.49024622e+03 
 4.26579519e+06  4.45149635e+03  1.45767864e+03 
 4.36515832e+06  4.46560501e+03  1.42564601e+03 
 4.46683592e+06  4.47910421e+03  1.39414642e+03 
 4.57088190e+06  4.49201793e+03  1.36317733e+03 
 4.67735141e+06  4.50436935e+03  1.33273560e+03 
 4.78630092e+06  4.51618078e+03  1.30281754e+03 
 4.89778819e+06  4.52747372e+03  1.27341895e+03 
 5.01187234e+06  4.53826887e+03  1.24453519e+03 
 5.12861384e+06  4.54858616e+03  1.21616117e+03 
 5.24807460e+06  4.55844472e+03  1.18829145e+03 
 5.37031796e+06  4.56786298e+03  1.16092023e+03 
 5.49540874e+06  4.57685861e+03  1.13404142e+03 
 5.62341325e+06  4.58544858e+03  1.10764861e+03 
