 time            v(bufinp)       v(bufinn)       v(outp)         v(outn)        
 0.00000000e+00  2.23500000e+00  2.23500000e+00  2.78059977e+00  2.78059977e+00 
 2.00000000e-14  2.23502309e+00  2.23497691e+00  2.78059467e+00  2.78056438e+00 
 4.00000000e-14  2.23504618e+00  2.23495382e+00  2.78057720e+00  2.78052474e+00 
 8.00000000e-14  2.23509236e+00  2.23490764e+00  2.78053316e+00  2.78044655e+00 
 1.60000000e-13  2.23518473e+00  2.23481527e+00  2.78043979e+00  2.78030902e+00 
 3.20000000e-13  2.23536945e+00  2.23463055e+00  2.78020335e+00  2.78004672e+00 
 6.40000000e-13  2.23573890e+00  2.23426110e+00  2.77952484e+00  2.77952742e+00 
 1.13950293e-12  2.23631559e+00  2.23368441e+00  2.77850510e+00  2.77916189e+00 
 2.10454799e-12  2.23742970e+00  2.23257030e+00  2.77741248e+00  2.78001093e+00 
 3.42491334e-12  2.23895388e+00  2.23104612e+00  2.77639448e+00  2.78220474e+00 
 5.42491334e-12  2.24126204e+00  2.22873796e+00  2.77409547e+00  2.78520649e+00 
 7.42491334e-12  2.24356922e+00  2.22643078e+00  2.77117871e+00  2.78790370e+00 
 9.42491334e-12  2.24587504e+00  2.22412496e+00  2.76813228e+00  2.79069395e+00 
 1.14249133e-11  2.24817914e+00  2.22182086e+00  2.76509347e+00  2.79364592e+00 
 1.34249133e-11  2.25048116e+00  2.21951884e+00  2.76204303e+00  2.79668566e+00 
 1.54249133e-11  2.25278074e+00  2.21721926e+00  2.75896526e+00  2.79975851e+00 
 1.74249133e-11  2.25507751e+00  2.21492249e+00  2.75586743e+00  2.80284591e+00 
 1.94249133e-11  2.25737111e+00  2.21262889e+00  2.75276082e+00  2.80594231e+00 
 2.14249133e-11  2.25966118e+00  2.21033882e+00  2.74965216e+00  2.80904346e+00 
 2.34249133e-11  2.26194735e+00  2.20805265e+00  2.74654469e+00  2.81214525e+00 
 2.54249133e-11  2.26422927e+00  2.20577073e+00  2.74344032e+00  2.81524453e+00 
 2.74249133e-11  2.26650657e+00  2.20349343e+00  2.74034050e+00  2.81833915e+00 
 2.94249133e-11  2.26877890e+00  2.20122110e+00  2.73724645e+00  2.82142761e+00 
 3.14249133e-11  2.27104589e+00  2.19895411e+00  2.73415915e+00  2.82450874e+00 
 3.34249133e-11  2.27330719e+00  2.19669281e+00  2.73107943e+00  2.82758159e+00 
 3.54249133e-11  2.27556244e+00  2.19443756e+00  2.72800805e+00  2.83064533e+00 
 3.74249133e-11  2.27781129e+00  2.19218871e+00  2.72494573e+00  2.83369920e+00 
 3.94249133e-11  2.28005337e+00  2.18994663e+00  2.72189313e+00  2.83674253e+00 
 4.14249133e-11  2.28228834e+00  2.18771166e+00  2.71885095e+00  2.83977467e+00 
 4.34249133e-11  2.28451585e+00  2.18548415e+00  2.71581982e+00  2.84279500e+00 
 4.54249133e-11  2.28673553e+00  2.18326447e+00  2.71280041e+00  2.84580290e+00 
 4.74249133e-11  2.28894705e+00  2.18105295e+00  2.70979337e+00  2.84879777e+00 
 4.94249133e-11  2.29115004e+00  2.17884996e+00  2.70679933e+00  2.85177903e+00 
 5.14249133e-11  2.29334417e+00  2.17665583e+00  2.70381892e+00  2.85474609e+00 
 5.34249133e-11  2.29552909e+00  2.17447091e+00  2.70085279e+00  2.85769835e+00 
 5.54249133e-11  2.29770445e+00  2.17229555e+00  2.69790153e+00  2.86063522e+00 
 5.74249133e-11  2.29986990e+00  2.17013010e+00  2.69496577e+00  2.86355610e+00 
 5.94249133e-11  2.30202511e+00  2.16797489e+00  2.69204610e+00  2.86646039e+00 
 6.14249133e-11  2.30416974e+00  2.16583026e+00  2.68914310e+00  2.86934746e+00 
 6.34249133e-11  2.30630345e+00  2.16369655e+00  2.68625736e+00  2.87221667e+00 
 6.54249133e-11  2.30842589e+00  2.16157411e+00  2.68338943e+00  2.87506739e+00 
 6.74249133e-11  2.31053675e+00  2.15946325e+00  2.68053986e+00  2.87789895e+00 
 6.94249133e-11  2.31263567e+00  2.15736433e+00  2.67770920e+00  2.88071068e+00 
 7.14249133e-11  2.31472233e+00  2.15527767e+00  2.67489796e+00  2.88350189e+00 
 7.34249133e-11  2.31679641e+00  2.15320359e+00  2.67210668e+00  2.88627189e+00 
 7.54249133e-11  2.31885756e+00  2.15114244e+00  2.66933585e+00  2.88902001e+00 
 7.74249133e-11  2.32090548e+00  2.14909452e+00  2.66658600e+00  2.89174555e+00 
 7.94249133e-11  2.32293983e+00  2.14706017e+00  2.66385761e+00  2.89444785e+00 
 8.14249133e-11  2.32496029e+00  2.14503971e+00  2.66115120e+00  2.89712625e+00 
 8.34249133e-11  2.32696655e+00  2.14303345e+00  2.65846726e+00  2.89978010e+00 
 8.54249133e-11  2.32895829e+00  2.14104171e+00  2.65580630e+00  2.90240879e+00 
 8.74249133e-11  2.33093519e+00  2.13906481e+00  2.65316881e+00  2.90501172e+00 
 8.94249133e-11  2.33289693e+00  2.13710307e+00  2.65055530e+00  2.90758831e+00 
 9.14249133e-11  2.33484322e+00  2.13515678e+00  2.64796626e+00  2.91013801e+00 
 9.34249133e-11  2.33677375e+00  2.13322625e+00  2.64540220e+00  2.91266029e+00 
 9.54249133e-11  2.33868820e+00  2.13131180e+00  2.64286361e+00  2.91515464e+00 
 9.74249133e-11  2.34058628e+00  2.12941372e+00  2.64035099e+00  2.91762058e+00 
 9.94249133e-11  2.34246768e+00  2.12753232e+00  2.63786482e+00  2.92005764e+00 
 1.01424913e-10  2.34433212e+00  2.12566788e+00  2.63540559e+00  2.92246537e+00 
 1.03424913e-10  2.34617929e+00  2.12382071e+00  2.63297377e+00  2.92484334e+00 
 1.05424913e-10  2.34800890e+00  2.12199110e+00  2.63056984e+00  2.92719114e+00 
 1.07424913e-10  2.34982067e+00  2.12017933e+00  2.62819426e+00  2.92950837e+00 
 1.09424913e-10  2.35161431e+00  2.11838569e+00  2.62584749e+00  2.93179464e+00 
 1.11424913e-10  2.35338953e+00  2.11661047e+00  2.62352997e+00  2.93404959e+00 
 1.13424913e-10  2.35514605e+00  2.11485395e+00  2.62124214e+00  2.93627286e+00 
 1.15424913e-10  2.35688361e+00  2.11311639e+00  2.61898443e+00  2.93846411e+00 
 1.17424913e-10  2.35860192e+00  2.11139808e+00  2.61675724e+00  2.94062302e+00 
 1.19424913e-10  2.36030071e+00  2.10969929e+00  2.61456098e+00  2.94274926e+00 
 1.21424913e-10  2.36197971e+00  2.10802029e+00  2.61239605e+00  2.94484255e+00 
 1.23424913e-10  2.36363866e+00  2.10636134e+00  2.61026281e+00  2.94690259e+00 
 1.25424913e-10  2.36527730e+00  2.10472270e+00  2.60816165e+00  2.94892911e+00 
 1.27424913e-10  2.36689536e+00  2.10310464e+00  2.60609290e+00  2.95092185e+00 
 1.29424913e-10  2.36849260e+00  2.10150740e+00  2.60405691e+00  2.95288057e+00 
 1.31424913e-10  2.37006876e+00  2.09993124e+00  2.60205400e+00  2.95480504e+00 
 1.33424913e-10  2.37162359e+00  2.09837641e+00  2.60008448e+00  2.95669505e+00 
 1.35424913e-10  2.37315684e+00  2.09684316e+00  2.59814866e+00  2.95855041e+00 
 1.37424913e-10  2.37466828e+00  2.09533172e+00  2.59624680e+00  2.96037092e+00 
 1.39424913e-10  2.37615766e+00  2.09384234e+00  2.59437917e+00  2.96215643e+00 
 1.41424913e-10  2.37762475e+00  2.09237525e+00  2.59254602e+00  2.96390679e+00 
 1.43424913e-10  2.37906932e+00  2.09093068e+00  2.59074759e+00  2.96562188e+00 
 1.45424913e-10  2.38049114e+00  2.08950886e+00  2.58898409e+00  2.96730157e+00 
 1.47424913e-10  2.38188999e+00  2.08811001e+00  2.58725572e+00  2.96894579e+00 
 1.49424913e-10  2.38326564e+00  2.08673436e+00  2.58556266e+00  2.97055445e+00 
 1.51424913e-10  2.38461787e+00  2.08538213e+00  2.58390508e+00  2.97212750e+00 
 1.53424913e-10  2.38594649e+00  2.08405351e+00  2.58228312e+00  2.97366491e+00 
 1.55424913e-10  2.38725126e+00  2.08274874e+00  2.58069692e+00  2.97516666e+00 
 1.57424913e-10  2.38853199e+00  2.08146801e+00  2.57914659e+00  2.97663275e+00 
 1.59424913e-10  2.38978848e+00  2.08021152e+00  2.57763221e+00  2.97806323e+00 
 1.61424913e-10  2.39102052e+00  2.07897948e+00  2.57615388e+00  2.97945812e+00 
 1.63424913e-10  2.39222793e+00  2.07777207e+00  2.57471165e+00  2.98081750e+00 
 1.65424913e-10  2.39341051e+00  2.07658949e+00  2.57330555e+00  2.98214146e+00 
 1.67424913e-10  2.39456807e+00  2.07543193e+00  2.57193561e+00  2.98343009e+00 
 1.69424913e-10  2.39570044e+00  2.07429956e+00  2.57060183e+00  2.98468354e+00 
 1.71424913e-10  2.39680743e+00  2.07319257e+00  2.56930421e+00  2.98590195e+00 
 1.73424913e-10  2.39788887e+00  2.07211113e+00  2.56804269e+00  2.98708549e+00 
 1.75424913e-10  2.39894458e+00  2.07105542e+00  2.56681725e+00  2.98823434e+00 
 1.77424913e-10  2.39997441e+00  2.07002559e+00  2.56562781e+00  2.98934871e+00 
 1.79424913e-10  2.40097819e+00  2.06902181e+00  2.56447428e+00  2.99042883e+00 
 1.81424913e-10  2.40195575e+00  2.06804425e+00  2.56335657e+00  2.99147494e+00 
 1.83424913e-10  2.40290696e+00  2.06709304e+00  2.56227457e+00  2.99248730e+00 
 1.85424913e-10  2.40383164e+00  2.06616836e+00  2.56122813e+00  2.99346618e+00 
