 time            v(detp)         v(detn)        
 0.00000000e+00  2.73787842e+00  2.73787842e+00 
 1.00000000e-14  2.73787647e+00  2.73787647e+00 
 2.00000000e-14  2.73787358e+00  2.73787358e+00 
 4.00000000e-14  2.73786717e+00  2.73786717e+00 
 8.00000000e-14  2.73785617e+00  2.73785617e+00 
 1.60000000e-13  2.73784331e+00  2.73784336e+00 
 3.20000000e-13  2.73782386e+00  2.73782519e+00 
 6.40000000e-13  2.73772151e+00  2.73774752e+00 
 1.14817206e-12  2.73699006e+00  2.73719463e+00 
 2.12946564e-12  2.73251991e+00  2.73223443e+00 
 3.12946564e-12  2.72598984e+00  2.71894831e+00 
 4.12946564e-12  2.72247853e+00  2.69799383e+00 
 5.12946564e-12  2.72587383e+00  2.67371235e+00 
 6.12946564e-12  2.73676013e+00  2.65059668e+00 
 7.12946564e-12  2.75320192e+00  2.63150370e+00 
 8.12946564e-12  2.77263288e+00  2.61797199e+00 
 9.12946564e-12  2.79279951e+00  2.61070551e+00 
 1.01294656e-11  2.81203780e+00  2.61000464e+00 
 1.11294656e-11  2.82905442e+00  2.61597014e+00 
 1.21294656e-11  2.84237550e+00  2.62865881e+00 
 1.31294656e-11  2.84943806e+00  2.64819722e+00 
 1.41294656e-11  2.84643475e+00  2.67367515e+00 
 1.51294656e-11  2.83158562e+00  2.69975253e+00 
 1.61294656e-11  2.80809081e+00  2.71843605e+00 
 1.71294656e-11  2.78223842e+00  2.72442677e+00 
 1.81294656e-11  2.76061893e+00  2.71634129e+00 
 1.91294656e-11  2.74812215e+00  2.69778453e+00 
 2.01294656e-11  2.74653866e+00  2.67501961e+00 
 2.11294656e-11  2.75440670e+00  2.65302629e+00 
 2.21294656e-11  2.76881917e+00  2.63482132e+00 
 2.31294656e-11  2.78671927e+00  2.62190304e+00 
 2.41294656e-11  2.80562980e+00  2.61497527e+00 
 2.51294656e-11  2.82377577e+00  2.61440549e+00 
 2.61294656e-11  2.83978234e+00  2.62038311e+00 
 2.71294656e-11  2.85207209e+00  2.63304508e+00 
 2.81294656e-11  2.85793206e+00  2.65255451e+00 
 2.91294656e-11  2.85352878e+00  2.67781104e+00 
 3.01294656e-11  2.83740135e+00  2.70310062e+00 
 3.11294656e-11  2.81308068e+00  2.72050518e+00 
 3.21294656e-11  2.78695497e+00  2.72500157e+00 
 3.31294656e-11  2.76554601e+00  2.71555413e+00 
 3.41294656e-11  2.75353969e+00  2.69610885e+00 
 3.51294656e-11  2.75246131e+00  2.67294469e+00 
 3.61294656e-11  2.76067203e+00  2.65088622e+00 
 3.71294656e-11  2.77520277e+00  2.63279700e+00 
 3.81294656e-11  2.79302407e+00  2.62009051e+00 
 3.91294656e-11  2.81171720e+00  2.61343433e+00 
 4.01294656e-11  2.82955220e+00  2.61317640e+00 
 4.11294656e-11  2.84516391e+00  2.61949406e+00 
 4.21294656e-11  2.85692381e+00  2.63252518e+00 
 4.31294656e-11  2.86200057e+00  2.65241675e+00 
 4.41294656e-11  2.85657298e+00  2.67783639e+00 
 4.51294656e-11  2.83952438e+00  2.70270648e+00 
 4.61294656e-11  2.81470849e+00  2.71920647e+00 
 4.71294656e-11  2.78860622e+00  2.72258079e+00 
 4.81294656e-11  2.76766900e+00  2.71214383e+00 
 4.91294656e-11  2.75638002e+00  2.69215818e+00 
 5.01294656e-11  2.75600683e+00  2.66889527e+00 
 5.11294656e-11  2.76474425e+00  2.64702350e+00 
 5.21294656e-11  2.77956940e+00  2.62926353e+00 
 5.31294656e-11  2.79748256e+00  2.61695379e+00 
 5.41294656e-11  2.81612152e+00  2.61073183e+00 
 5.51294656e-11  2.83379815e+00  2.61092997e+00 
 5.61294656e-11  2.84915312e+00  2.61771665e+00 
 5.71294656e-11  2.86050172e+00  2.63123296e+00 
 5.81294656e-11  2.86489507e+00  2.65160275e+00 
 5.91294656e-11  2.85855115e+00  2.67723482e+00 
 6.01294656e-11  2.84071493e+00  2.70170752e+00 
 6.11294656e-11  2.81554686e+00  2.71733246e+00 
 6.21294656e-11  2.78960398e+00  2.71962765e+00 
 6.31294656e-11  2.76925367e+00  2.70827023e+00 
 6.41294656e-11  2.75876623e+00  2.68782204e+00 
 6.51294656e-11  2.75915292e+00  2.66452734e+00 
 6.61294656e-11  2.76845242e+00  2.64289533e+00 
 6.71294656e-11  2.78359863e+00  2.62550860e+00 
 6.81294656e-11  2.80162750e+00  2.61363454e+00 
