 time            v(finalp)       v(finaln)      
 0.00000000e+00  2.78059648e+00  2.78059648e+00 
 1.00000000e-14  2.78059613e+00  2.78059613e+00 
 2.00000000e-14  2.78059551e+00  2.78059551e+00 
 4.00000000e-14  2.78059381e+00  2.78059381e+00 
 8.00000000e-14  2.78058885e+00  2.78058885e+00 
 1.60000000e-13  2.78057538e+00  2.78057538e+00 
 3.20000000e-13  2.78054266e+00  2.78054266e+00 
 6.40000000e-13  2.78047201e+00  2.78047201e+00 
 1.14817211e-12  2.78036056e+00  2.78036056e+00 
 2.14817211e-12  2.78015996e+00  2.78015996e+00 
 3.14817211e-12  2.78000034e+00  2.78000034e+00 
 4.14817211e-12  2.77989403e+00  2.77989402e+00 
 5.14817211e-12  2.77984138e+00  2.77984135e+00 
 6.14817211e-12  2.77983176e+00  2.77983168e+00 
 7.14817211e-12  2.77984898e+00  2.77984877e+00 
 8.14817211e-12  2.77987680e+00  2.77987637e+00 
 9.14817211e-12  2.77990270e+00  2.77990197e+00 
 1.01481721e-11  2.77991936e+00  2.77991833e+00 
 1.11481721e-11  2.77992420e+00  2.77992310e+00 
 1.21481721e-11  2.77991797e+00  2.77991746e+00 
 1.31481721e-11  2.77990303e+00  2.77990443e+00 
 1.41481721e-11  2.77988201e+00  2.77988755e+00 
 1.51481721e-11  2.77985703e+00  2.77987010e+00 
 1.61481721e-11  2.77982936e+00  2.77985471e+00 
 1.71481721e-11  2.77979955e+00  2.77984333e+00 
 1.81481721e-11  2.77976756e+00  2.77983731e+00 
 1.91481721e-11  2.77973311e+00  2.77983759e+00 
 2.01481721e-11  2.77969583e+00  2.77984472e+00 
 2.11481721e-11  2.77965550e+00  2.77985894e+00 
 2.21481721e-11  2.77961210e+00  2.77988020e+00 
 2.31481721e-11  2.77956588e+00  2.77990815e+00 
 2.41481721e-11  2.77951736e+00  2.77994212e+00 
 2.51481721e-11  2.77946736e+00  2.77998111e+00 
 2.61481721e-11  2.77941688e+00  2.78002388e+00 
 2.71481721e-11  2.77936711e+00  2.78006892e+00 
 2.81481721e-11  2.77931937e+00  2.78011455e+00 
 2.91481721e-11  2.77927500e+00  2.78015901e+00 
 3.01481721e-11  2.77923537e+00  2.78020052e+00 
 3.11481721e-11  2.77920173e+00  2.78023737e+00 
 3.21481721e-11  2.77917522e+00  2.78026799e+00 
 3.31481721e-11  2.77915681e+00  2.78029106e+00 
 3.41481721e-11  2.77914721e+00  2.78030552e+00 
 3.51481721e-11  2.77914689e+00  2.78031061e+00 
 3.61481721e-11  2.77915602e+00  2.78030595e+00 
 3.71481721e-11  2.77917449e+00  2.78029148e+00 
 3.80740861e-11  2.77919959e+00  2.78026958e+00 
 3.90000000e-11  2.77923184e+00  2.78024001e+00 
 3.91000000e-11  2.77923579e+00  2.78023631e+00 
 3.93000000e-11  2.77924386e+00  2.78022874e+00 
 3.96500000e-11  2.77925864e+00  2.78021476e+00 
 4.00000000e-11  2.77927426e+00  2.78019987e+00 
 4.00700000e-11  2.77927750e+00  2.78019677e+00 
 4.02100000e-11  2.77928405e+00  2.78019048e+00 
 4.04900000e-11  2.77929749e+00  2.78017753e+00 
 4.10500000e-11  2.77932569e+00  2.78015018e+00 
 4.20500000e-11  2.77937965e+00  2.78009731e+00 
 4.30500000e-11  2.77943707e+00  2.78004053e+00 
 4.40500000e-11  2.77949654e+00  2.77998136e+00 
 4.50500000e-11  2.77955658e+00  2.77992141e+00 
 4.60500000e-11  2.77961572e+00  2.77986229e+00 
 4.70500000e-11  2.77967254e+00  2.77980552e+00 
 4.80500000e-11  2.77972576e+00  2.77975250e+00 
 4.90500000e-11  2.77977421e+00  2.77970448e+00 
 5.00500000e-11  2.77981693e+00  2.77966249e+00 
 5.10500000e-11  2.77985313e+00  2.77962736e+00 
 5.20500000e-11  2.77988228e+00  2.77959970e+00 
 5.30500000e-11  2.77990403e+00  2.77957985e+00 
 5.40500000e-11  2.77991827e+00  2.77956795e+00 
 5.50500000e-11  2.77992510e+00  2.77956387e+00 
 5.60500000e-11  2.77992481e+00  2.77956730e+00 
 5.70500000e-11  2.77991790e+00  2.77957775e+00 
 5.80500000e-11  2.77990497e+00  2.77959452e+00 
 5.90500000e-11  2.77988680e+00  2.77961683e+00 
 6.00500000e-11  2.77986424e+00  2.77964376e+00 
 6.10500000e-11  2.77983821e+00  2.77967433e+00 
 6.20500000e-11  2.77980967e+00  2.77970753e+00 
 6.30500000e-11  2.77977959e+00  2.77974234e+00 
 6.40500000e-11  2.77974891e+00  2.77977776e+00 
 6.50500000e-11  2.77971854e+00  2.77981286e+00 
 6.60500000e-11  2.77968931e+00  2.77984675e+00 
 6.70500000e-11  2.77966196e+00  2.77987865e+00 
 6.80500000e-11  2.77963714e+00  2.77990791e+00 
 6.90500000e-11  2.77961538e+00  2.77993397e+00 
 7.00500000e-11  2.77959709e+00  2.77995641e+00 
 7.10500000e-11  2.77958256e+00  2.77997493e+00 
 7.20500000e-11  2.77957197e+00  2.77998936e+00 
 7.30500000e-11  2.77956536e+00  2.77999966e+00 
 7.40500000e-11  2.77956267e+00  2.78000591e+00 
 7.50500000e-11  2.77956375e+00  2.78000826e+00 
 7.60500000e-11  2.77956835e+00  2.78000700e+00 
 7.70500000e-11  2.77957616e+00  2.78000246e+00 
 7.80500000e-11  2.77958678e+00  2.77999504e+00 
 7.90000000e-11  2.77959910e+00  2.77998572e+00 
 7.91000000e-11  2.77960053e+00  2.77998460e+00 
 7.93000000e-11  2.77960344e+00  2.77998233e+00 
 7.96500000e-11  2.77960869e+00  2.77997818e+00 
 8.00000000e-11  2.77961414e+00  2.77997383e+00 
 8.00700000e-11  2.77961526e+00  2.77997293e+00 
 8.02100000e-11  2.77961751e+00  2.77997112e+00 
 8.04900000e-11  2.77962208e+00  2.77996743e+00 
 8.10500000e-11  2.77963150e+00  2.77995977e+00 
 8.20500000e-11  2.77964896e+00  2.77994544e+00 
 8.30500000e-11  2.77966690e+00  2.77993067e+00 
 8.40500000e-11  2.77968490e+00  2.77991587e+00 
 8.50500000e-11  2.77970259e+00  2.77990145e+00 
 8.60500000e-11  2.77971963e+00  2.77988779e+00 
 8.70500000e-11  2.77973570e+00  2.77987519e+00 
 8.80500000e-11  2.77975054e+00  2.77986393e+00 
