 frequency       v(finalp,finaln) v(finalp,finaln)
 1.00000000e+06 -2.80964751e+03 -2.50493951e+01 
 1.02329299e+06 -2.80968067e+03 -2.56319408e+01 
 1.04712855e+06 -2.80971540e+03 -2.62279891e+01 
 1.07151931e+06 -2.80975175e+03 -2.68378498e+01 
 1.09647820e+06 -2.80978982e+03 -2.74618394e+01 
 1.12201845e+06 -2.80982968e+03 -2.81002818e+01 
 1.14815362e+06 -2.80987141e+03 -2.87535075e+01 
 1.17489755e+06 -2.80991511e+03 -2.94218549e+01 
 1.20226443e+06 -2.80996086e+03 -3.01056692e+01 
 1.23026877e+06 -2.81000876e+03 -3.08053038e+01 
 1.25892541e+06 -2.81005891e+03 -3.15211192e+01 
 1.28824955e+06 -2.81011142e+03 -3.22534844e+01 
 1.31825674e+06 -2.81016641e+03 -3.30027757e+01 
 1.34896288e+06 -2.81022397e+03 -3.37693782e+01 
 1.38038426e+06 -2.81028424e+03 -3.45536848e+01 
 1.41253754e+06 -2.81034734e+03 -3.53560972e+01 
 1.44543977e+06 -2.81041341e+03 -3.61770253e+01 
 1.47910839e+06 -2.81048258e+03 -3.70168881e+01 
 1.51356125e+06 -2.81055500e+03 -3.78761133e+01 
 1.54881662e+06 -2.81063083e+03 -3.87551375e+01 
 1.58489319e+06 -2.81071021e+03 -3.96544067e+01 
 1.62181010e+06 -2.81079332e+03 -4.05743761e+01 
 1.65958691e+06 -2.81088033e+03 -4.15155101e+01 
 1.69824365e+06 -2.81097142e+03 -4.24782831e+01 
 1.73780083e+06 -2.81106679e+03 -4.34631790e+01 
 1.77827941e+06 -2.81116663e+03 -4.44706915e+01 
 1.81970086e+06 -2.81127115e+03 -4.55013242e+01 
 1.86208714e+06 -2.81138058e+03 -4.65555911e+01 
 1.90546072e+06 -2.81149513e+03 -4.76340161e+01 
 1.94984460e+06 -2.81161506e+03 -4.87371337e+01 
 1.99526231e+06 -2.81174060e+03 -4.98654885e+01 
 2.04173794e+06 -2.81187203e+03 -5.10196360e+01 
 2.08929613e+06 -2.81200960e+03 -5.22001422e+01 
 2.13796209e+06 -2.81215362e+03 -5.34075837e+01 
 2.18776162e+06 -2.81230438e+03 -5.46425480e+01 
 2.23872114e+06 -2.81246219e+03 -5.59056336e+01 
 2.29086765e+06 -2.81262739e+03 -5.71974496e+01 
 2.34422882e+06 -2.81280030e+03 -5.85186164e+01 
 2.39883292e+06 -2.81298130e+03 -5.98697652e+01 
 2.45470892e+06 -2.81317075e+03 -6.12515384e+01 
 2.51188643e+06 -2.81336905e+03 -6.26645891e+01 
 2.57039578e+06 -2.81357660e+03 -6.41095816e+01 
 2.63026799e+06 -2.81379384e+03 -6.55871913e+01 
 2.69153480e+06 -2.81402121e+03 -6.70981042e+01 
 2.75422870e+06 -2.81425918e+03 -6.86430173e+01 
 2.81838293e+06 -2.81450823e+03 -7.02226382e+01 
 2.88403150e+06 -2.81476887e+03 -7.18376853e+01 
 2.95120923e+06 -2.81504165e+03 -7.34888872e+01 
 3.01995172e+06 -2.81532711e+03 -7.51769828e+01 
 3.09029543e+06 -2.81562584e+03 -7.69027210e+01 
 3.16227766e+06 -2.81593844e+03 -7.86668605e+01 
 3.23593657e+06 -2.81626555e+03 -8.04701695e+01 
 3.31131121e+06 -2.81660783e+03 -8.23134251e+01 
 3.38844156e+06 -2.81696597e+03 -8.41974133e+01 
 3.46736850e+06 -2.81734070e+03 -8.61229283e+01 
 3.54813389e+06 -2.81773277e+03 -8.80907723e+01 
 3.63078055e+06 -2.81814296e+03 -9.01017543e+01 
 3.71535229e+06 -2.81857209e+03 -9.21566906e+01 
 3.80189396e+06 -2.81902103e+03 -9.42564029e+01 
 3.89045145e+06 -2.81949066e+03 -9.64017185e+01 
 3.98107171e+06 -2.81998192e+03 -9.85934692e+01 
 4.07380278e+06 -2.82049578e+03 -1.00832490e+02 
 4.16869383e+06 -2.82103324e+03 -1.03119619e+02 
 4.26579519e+06 -2.82159537e+03 -1.05455696e+02 
 4.36515832e+06 -2.82218326e+03 -1.07841561e+02 
 4.46683592e+06 -2.82279807e+03 -1.10278052e+02 
 4.57088190e+06 -2.82344097e+03 -1.12766007e+02 
 4.67735141e+06 -2.82411322e+03 -1.15306259e+02 
 4.78630092e+06 -2.82481611e+03 -1.17899636e+02 
 4.89778819e+06 -2.82555098e+03 -1.20546959e+02 
 5.01187234e+06 -2.82631923e+03 -1.23249041e+02 
 5.12861384e+06 -2.82712232e+03 -1.26006683e+02 
 5.24807460e+06 -2.82796177e+03 -1.28820675e+02 
 5.37031796e+06 -2.82883914e+03 -1.31691791e+02 
 5.49540874e+06 -2.82975607e+03 -1.34620786e+02 
 5.62341325e+06 -2.83071425e+03 -1.37608398e+02 
 5.75439937e+06 -2.83171546e+03 -1.40655339e+02 
 5.88843655e+06 -2.83276152e+03 -1.43762297e+02 
 6.02559586e+06 -2.83385432e+03 -1.46929930e+02 
 6.16595002e+06 -2.83499583e+03 -1.50158865e+02 
 6.30957344e+06 -2.83618810e+03 -1.53449690e+02 
 6.45654229e+06 -2.83743322e+03 -1.56802957e+02 
 6.60693448e+06 -2.83873338e+03 -1.60219172e+02 
 6.76082975e+06 -2.84009084e+03 -1.63698793e+02 
 6.91830971e+06 -2.84150795e+03 -1.67242226e+02 
 7.07945784e+06 -2.84298711e+03 -1.70849818e+02 
 7.24435960e+06 -2.84453081e+03 -1.74521856e+02 
 7.41310241e+06 -2.84614162e+03 -1.78258558e+02 
 7.58577575e+06 -2.84782221e+03 -1.82060069e+02 
 7.76247117e+06 -2.84957529e+03 -1.85926455e+02 
 7.94328235e+06 -2.85140368e+03 -1.89857696e+02 
 8.12830516e+06 -2.85331027e+03 -1.93853683e+02 
 8.31763771e+06 -2.85529803e+03 -1.97914207e+02 
 8.51138038e+06 -2.85737001e+03 -2.02038953e+02 
 8.70963590e+06 -2.85952933e+03 -2.06227498e+02 
 8.91250938e+06 -2.86177920e+03 -2.10479294e+02 
 9.12010839e+06 -2.86412289e+03 -2.14793669e+02 
 9.33254301e+06 -2.86656374e+03 -2.19169817e+02 
 9.54992586e+06 -2.86910518e+03 -2.23606787e+02 
 9.77237221e+06 -2.87175068e+03 -2.28103475e+02 
 1.00000000e+07 -2.87450377e+03 -2.32658621e+02 
 1.02329299e+07 -2.87736806e+03 -2.37270793e+02 
 1.04712855e+07 -2.88034718e+03 -2.41938383e+02 
 1.07151931e+07 -2.88344482e+03 -2.46659598e+02 
 1.09647820e+07 -2.88666471e+03 -2.51432447e+02 
 1.12201845e+07 -2.89001060e+03 -2.56254739e+02 
 1.14815362e+07 -2.89348626e+03 -2.61124068e+02 
 1.17489755e+07 -2.89709547e+03 -2.66037808e+02 
 1.20226443e+07 -2.90084203e+03 -2.70993103e+02 
 1.23026877e+07 -2.90472971e+03 -2.75986859e+02 
 1.25892541e+07 -2.90876225e+03 -2.81015739e+02 
 1.28824955e+07 -2.91294337e+03 -2.86076150e+02 
 1.31825674e+07 -2.91727673e+03 -2.91164241e+02 
 1.34896288e+07 -2.92176594e+03 -2.96275897e+02 
 1.38038426e+07 -2.92641451e+03 -3.01406730e+02 
 1.41253754e+07 -2.93122585e+03 -3.06552077e+02 
 1.44543977e+07 -2.93620328e+03 -3.11706994e+02 
 1.47910839e+07 -2.94134994e+03 -3.16866260e+02 
 1.51356125e+07 -2.94666886e+03 -3.22024365e+02 
 1.54881662e+07 -2.95216285e+03 -3.27175522e+02 
 1.58489319e+07 -2.95783456e+03 -3.32313656e+02 
 1.62181010e+07 -2.96368639e+03 -3.37432420e+02 
 1.65958691e+07 -2.96972050e+03 -3.42525189e+02 
 1.69824365e+07 -2.97593881e+03 -3.47585072e+02 
 1.73780083e+07 -2.98234291e+03 -3.52604920e+02 
 1.77827941e+07 -2.98893410e+03 -3.57577336e+02 
 1.81970086e+07 -2.99571333e+03 -3.62494687e+02 
 1.86208714e+07 -3.00268121e+03 -3.67349121e+02 
 1.90546072e+07 -3.00983794e+03 -3.72132580e+02 
