 time            v(bufinp)       v(bufinn)       v(outp)         v(outn)        
 0.00000000e+00  2.23500000e+00  2.23500000e+00  2.85831609e+00  2.85831609e+00 
 2.00000000e-14  2.23501398e+00  2.23498602e+00  2.85831895e+00  2.85831322e+00 
 4.00000000e-14  2.23502796e+00  2.23497204e+00  2.85832199e+00  2.85831018e+00 
 8.00000000e-14  2.23505592e+00  2.23494408e+00  2.85832834e+00  2.85830383e+00 
 1.60000000e-13  2.23511184e+00  2.23488816e+00  2.85834142e+00  2.85829075e+00 
 3.20000000e-13  2.23522368e+00  2.23477632e+00  2.85836372e+00  2.85826845e+00 
 6.40000000e-13  2.23544736e+00  2.23455264e+00  2.85837484e+00  2.85825732e+00 
 1.28000000e-12  2.23589472e+00  2.23410528e+00  2.85824290e+00  2.85838912e+00 
 2.56000000e-12  2.23678937e+00  2.23321063e+00  2.85753667e+00  2.85909403e+00 
 4.56000000e-12  2.23818702e+00  2.23181298e+00  2.85588885e+00  2.86073643e+00 
 6.56000000e-12  2.23958417e+00  2.23041583e+00  2.85401687e+00  2.86259929e+00 
 8.56000000e-12  2.24098059e+00  2.22901941e+00  2.85211258e+00  2.86449163e+00 
 1.05600000e-11  2.24237607e+00  2.22762393e+00  2.85022351e+00  2.86636680e+00 
 1.25600000e-11  2.24377038e+00  2.22622962e+00  2.84834915e+00  2.86822606e+00 
 1.45600000e-11  2.24516331e+00  2.22483669e+00  2.84648217e+00  2.87007723e+00 
 1.65600000e-11  2.24655464e+00  2.22344536e+00  2.84461845e+00  2.87192471e+00 
 1.85600000e-11  2.24794414e+00  2.22205586e+00  2.84275681e+00  2.87376983e+00 
 2.05600000e-11  2.24933159e+00  2.22066841e+00  2.84089739e+00  2.87561254e+00 
 2.25600000e-11  2.25071678e+00  2.21928322e+00  2.83904063e+00  2.87745243e+00 
 2.45600000e-11  2.25209949e+00  2.21790051e+00  2.83718700e+00  2.87928904e+00 
 2.65600000e-11  2.25347950e+00  2.21652050e+00  2.83533691e+00  2.88112198e+00 
 2.85600000e-11  2.25485659e+00  2.21514341e+00  2.83349073e+00  2.88295090e+00 
 3.05600000e-11  2.25623055e+00  2.21376945e+00  2.83164882e+00  2.88477543e+00 
 3.25600000e-11  2.25760115e+00  2.21239885e+00  2.82981153e+00  2.88659525e+00 
 3.45600000e-11  2.25896819e+00  2.21103181e+00  2.82797920e+00  2.88841000e+00 
 3.65600000e-11  2.26033144e+00  2.20966856e+00  2.82615253e+00  2.89021908e+00 
 3.85600000e-11  2.26169069e+00  2.20830931e+00  2.82433155e+00  2.89202239e+00 
 4.05600000e-11  2.26304572e+00  2.20695428e+00  2.82251640e+00  2.89381977e+00 
 4.25600000e-11  2.26439633e+00  2.20560367e+00  2.82070745e+00  2.89561085e+00 
 4.45600000e-11  2.26574229e+00  2.20425771e+00  2.81890511e+00  2.89739524e+00 
 4.65600000e-11  2.26708340e+00  2.20291660e+00  2.81710977e+00  2.89917258e+00 
 4.85600000e-11  2.26841945e+00  2.20158055e+00  2.81532177e+00  2.90094253e+00 
 5.05600000e-11  2.26975021e+00  2.20024979e+00  2.81354143e+00  2.90270479e+00 
