 time            v(detp)         v(detn)        
 0.00000000e+00  1.64113073e+00  1.59499537e+00 
 1.00000000e-14  1.64113075e+00  1.59499533e+00 
 2.00000000e-14  1.64113077e+00  1.59499529e+00 
 4.00000000e-14  1.64113080e+00  1.59499523e+00 
 8.00000000e-14  1.64113081e+00  1.59499517e+00 
 1.60000000e-13  1.64113076e+00  1.59499513e+00 
 3.20000000e-13  1.64113065e+00  1.59499517e+00 
 6.40000000e-13  1.64113043e+00  1.59499534e+00 
 1.28000000e-12  1.64112992e+00  1.59499573e+00 
 2.28000000e-12  1.64112909e+00  1.59499645e+00 
 3.28000000e-12  1.64112795e+00  1.59499779e+00 
 4.28000000e-12  1.64112573e+00  1.59500045e+00 
 5.28000000e-12  1.64112133e+00  1.59500515e+00 
 6.28000000e-12  1.64111367e+00  1.59501240e+00 
 7.28000000e-12  1.64110200e+00  1.59502244e+00 
 8.28000000e-12  1.64108609e+00  1.59503517e+00 
 9.28000000e-12  1.64106623e+00  1.59505020e+00 
 1.02800000e-11  1.64104315e+00  1.59506703e+00 
 1.12800000e-11  1.64101782e+00  1.59508512e+00 
 1.22800000e-11  1.64099128e+00  1.59510399e+00 
 1.32800000e-11  1.64096448e+00  1.59512323e+00 
 1.42800000e-11  1.64093822e+00  1.59514252e+00 
 1.52800000e-11  1.64091311e+00  1.59516161e+00 
 1.62800000e-11  1.64088947e+00  1.59518032e+00 
 1.72800000e-11  1.64086730e+00  1.59519860e+00 
 1.82800000e-11  1.64084626e+00  1.59521654e+00 
 1.92800000e-11  1.64082574e+00  1.59523439e+00 
 2.02800000e-11  1.64080498e+00  1.59525245e+00 
 2.12800000e-11  1.64078324e+00  1.59527100e+00 
 2.22800000e-11  1.64076000e+00  1.59529019e+00 
 2.32800000e-11  1.64073502e+00  1.59531006e+00 
 2.42800000e-11  1.64070841e+00  1.59533055e+00 
 2.52800000e-11  1.64068049e+00  1.59535151e+00 
 2.62800000e-11  1.64065179e+00  1.59537279e+00 
 2.72800000e-11  1.64062288e+00  1.59539423e+00 
 2.82800000e-11  1.64059434e+00  1.59541570e+00 
 2.92800000e-11  1.64056666e+00  1.59543707e+00 
 3.02800000e-11  1.64054016e+00  1.59545822e+00 
 3.12800000e-11  1.64051496e+00  1.59547907e+00 
 3.22800000e-11  1.64049102e+00  1.59549958e+00 
 3.32800000e-11  1.64046807e+00  1.59551981e+00 
 3.42800000e-11  1.64044561e+00  1.59553988e+00 
 3.52800000e-11  1.64042305e+00  1.59555998e+00 
 3.62800000e-11  1.64039975e+00  1.59558029e+00 
 3.72800000e-11  1.64037528e+00  1.59560094e+00 
 3.82800000e-11  1.64034943e+00  1.59562196e+00 
 3.92800000e-11  1.64032226e+00  1.59564334e+00 
 4.02800000e-11  1.64029406e+00  1.59566499e+00 
 4.12800000e-11  1.64026527e+00  1.59568681e+00 
 4.22800000e-11  1.64023642e+00  1.59570872e+00 
 4.32800000e-11  1.64020799e+00  1.59573059e+00 
 4.42800000e-11  1.64018043e+00  1.59575235e+00 
 4.52800000e-11  1.64015400e+00  1.59577391e+00 
 4.62800000e-11  1.64012877e+00  1.59579519e+00 
 4.72800000e-11  1.64010469e+00  1.59581618e+00 
 4.82800000e-11  1.64008149e+00  1.59583690e+00 
 4.92800000e-11  1.64005875e+00  1.59585747e+00 
 5.02800000e-11  1.64003586e+00  1.59587805e+00 
 5.12800000e-11  1.64001227e+00  1.59589878e+00 
 5.22800000e-11  1.63998755e+00  1.59591979e+00 
 5.32800000e-11  1.63996153e+00  1.59594110e+00 
 5.42800000e-11  1.63993427e+00  1.59596270e+00 
 5.52800000e-11  1.63990606e+00  1.59598452e+00 
 5.62800000e-11  1.63987733e+00  1.59600648e+00 
 5.72800000e-11  1.63984858e+00  1.59602848e+00 
 5.82800000e-11  1.63982031e+00  1.59605045e+00 
 5.92800000e-11  1.63979290e+00  1.59607230e+00 
 6.02800000e-11  1.63976660e+00  1.59609394e+00 
 6.12800000e-11  1.63974147e+00  1.59611532e+00 
 6.22800000e-11  1.63971744e+00  1.59613641e+00 
 6.32800000e-11  1.63969426e+00  1.59615725e+00 
 6.42800000e-11  1.63967146e+00  1.59617794e+00 
 6.52800000e-11  1.63964850e+00  1.59619864e+00 
 6.62800000e-11  1.63962480e+00  1.59621950e+00 
 6.72800000e-11  1.63959997e+00  1.59624061e+00 
 6.82800000e-11  1.63957385e+00  1.59626201e+00 
 6.92800000e-11  1.63954653e+00  1.59628367e+00 
 7.02800000e-11  1.63951830e+00  1.59630554e+00 
 7.12800000e-11  1.63948959e+00  1.59632753e+00 
 7.22800000e-11  1.63946091e+00  1.59634956e+00 
 7.32800000e-11  1.63943272e+00  1.59637154e+00 
 7.42800000e-11  1.63940542e+00  1.59639340e+00 
 7.52800000e-11  1.63937924e+00  1.59641505e+00 
 7.62800000e-11  1.63935421e+00  1.59643643e+00 
 7.72800000e-11  1.63933026e+00  1.59645753e+00 
 7.82800000e-11  1.63930711e+00  1.59647839e+00 
 7.92800000e-11  1.63928432e+00  1.59649911e+00 
 8.02800000e-11  1.63926132e+00  1.59651985e+00 
 8.12800000e-11  1.63923755e+00  1.59654075e+00 
 8.22800000e-11  1.63921265e+00  1.59656190e+00 
 8.32800000e-11  1.63918646e+00  1.59658333e+00 
 8.42800000e-11  1.63915908e+00  1.59660501e+00 
 8.52800000e-11  1.63913083e+00  1.59662690e+00 
 8.62800000e-11  1.63910215e+00  1.59664889e+00 
 8.72800000e-11  1.63907352e+00  1.59667091e+00 
 8.82800000e-11  1.63904543e+00  1.59669289e+00 
 8.92800000e-11  1.63901825e+00  1.59671472e+00 
 9.02800000e-11  1.63899218e+00  1.59673635e+00 
 9.12800000e-11  1.63896726e+00  1.59675771e+00 
 9.22800000e-11  1.63894341e+00  1.59677879e+00 
 9.32800000e-11  1.63892033e+00  1.59679963e+00 
 9.42800000e-11  1.63889756e+00  1.59682035e+00 
 9.52800000e-11  1.63887454e+00  1.59684110e+00 
 9.62800000e-11  1.63885071e+00  1.59686201e+00 
 9.72800000e-11  1.63882573e+00  1.59688318e+00 
 9.82800000e-11  1.63879946e+00  1.59690462e+00 
 9.92800000e-11  1.63877203e+00  1.59692632e+00 
 1.00280000e-10  1.63874375e+00  1.59694821e+00 
 1.01280000e-10  1.63871508e+00  1.59697020e+00 
 1.02280000e-10  1.63868650e+00  1.59699222e+00 
 1.03280000e-10  1.63865848e+00  1.59701418e+00 
 1.04280000e-10  1.63863139e+00  1.59703599e+00 
 1.05280000e-10  1.63860543e+00  1.59705760e+00 
 1.06280000e-10  1.63858061e+00  1.59707893e+00 
 1.07280000e-10  1.63855684e+00  1.59709999e+00 
 1.08280000e-10  1.63853382e+00  1.59712082e+00 
 1.09280000e-10  1.63851108e+00  1.59714153e+00 
 1.10280000e-10  1.63848803e+00  1.59716228e+00 
 1.11280000e-10  1.63846415e+00  1.59718320e+00 
 1.12280000e-10  1.63843910e+00  1.59720438e+00 
 1.13280000e-10  1.63841276e+00  1.59722584e+00 
 1.14280000e-10  1.63838528e+00  1.59724755e+00 
 1.15280000e-10  1.63835699e+00  1.59726944e+00 
 1.16280000e-10  1.63832833e+00  1.59729142e+00 
 1.17280000e-10  1.63829981e+00  1.59731343e+00 
 1.18280000e-10  1.63827188e+00  1.59733537e+00 
 1.19280000e-10  1.63824490e+00  1.59735716e+00 
 1.20280000e-10  1.63821905e+00  1.59737874e+00 
 1.21280000e-10  1.63819435e+00  1.59740004e+00 
 1.22280000e-10  1.63817068e+00  1.59742107e+00 
 1.23280000e-10  1.63814772e+00  1.59744187e+00 
 1.24280000e-10  1.63812500e+00  1.59746258e+00 
 1.25280000e-10  1.63810193e+00  1.59748333e+00 
 1.26280000e-10  1.63807799e+00  1.59750426e+00 
 1.27280000e-10  1.63805286e+00  1.59752545e+00 
 1.28280000e-10  1.63802645e+00  1.59754692e+00 
