 frequency       v(finalp,finaln) v(finalp,finaln)
 1.00000000e+06 -2.47234291e+03 -1.39334728e+01 
 1.02329299e+06 -2.47234661e+03 -1.36008316e+01 
 1.04712855e+06 -2.47235015e+03 -1.32753998e+01 
 1.07151931e+06 -2.47235353e+03 -1.29570052e+01 
 1.09647820e+06 -2.47235676e+03 -1.26454788e+01 
 1.12201845e+06 -2.47235984e+03 -1.23406557e+01 
 1.14815362e+06 -2.47236278e+03 -1.20423744e+01 
 1.17489755e+06 -2.47236559e+03 -1.17504767e+01 
 1.20226443e+06 -2.47236827e+03 -1.14648081e+01 
 1.23026877e+06 -2.47237083e+03 -1.11852171e+01 
 1.25892541e+06 -2.47237328e+03 -1.09115556e+01 
 1.28824955e+06 -2.47237562e+03 -1.06436785e+01 
 1.31825674e+06 -2.47237785e+03 -1.03814439e+01 
 1.34896288e+06 -2.47237998e+03 -1.01247128e+01 
 1.38038426e+06 -2.47238201e+03 -9.87334915e+00 
 1.41253754e+06 -2.47238396e+03 -9.62721969e+00 
 1.44543977e+06 -2.47238581e+03 -9.38619400e+00 
 1.47910839e+06 -2.47238758e+03 -9.15014433e+00 
 1.51356125e+06 -2.47238927e+03 -8.91894556e+00 
 1.54881662e+06 -2.47239089e+03 -8.69247515e+00 
 1.58489319e+06 -2.47239243e+03 -8.47061307e+00 
 1.62181010e+06 -2.47239390e+03 -8.25324171e+00 
 1.65958691e+06 -2.47239531e+03 -8.04024585e+00 
 1.69824365e+06 -2.47239665e+03 -7.83151260e+00 
 1.73780083e+06 -2.47239793e+03 -7.62693131e+00 
 1.77827941e+06 -2.47239916e+03 -7.42639354e+00 
 1.81970086e+06 -2.47240032e+03 -7.22979298e+00 
 1.86208714e+06 -2.47240144e+03 -7.03702541e+00 
 1.90546072e+06 -2.47240250e+03 -6.84798866e+00 
 1.94984460e+06 -2.47240352e+03 -6.66258251e+00 
 1.99526231e+06 -2.47240449e+03 -6.48070868e+00 
 2.04173794e+06 -2.47240542e+03 -6.30227076e+00 
 2.08929613e+06 -2.47240630e+03 -6.12717414e+00 
 2.13796209e+06 -2.47240715e+03 -5.95532601e+00 
 2.18776162e+06 -2.47240795e+03 -5.78663527e+00 
 2.23872114e+06 -2.47240872e+03 -5.62101248e+00 
 2.29086765e+06 -2.47240945e+03 -5.45836985e+00 
 2.34422882e+06 -2.47241015e+03 -5.29862116e+00 
 2.39883292e+06 -2.47241082e+03 -5.14168170e+00 
 2.45470892e+06 -2.47241146e+03 -4.98746829e+00 
 2.51188643e+06 -2.47241207e+03 -4.83589916e+00 
 2.57039578e+06 -2.47241265e+03 -4.68689396e+00 
 2.63026799e+06 -2.47241320e+03 -4.54037370e+00 
 2.69153480e+06 -2.47241373e+03 -4.39626069e+00 
 2.75422870e+06 -2.47241423e+03 -4.25447853e+00 
 2.81838293e+06 -2.47241471e+03 -4.11495206e+00 
 2.88403150e+06 -2.47241517e+03 -3.97760730e+00 
 2.95120923e+06 -2.47241560e+03 -3.84237144e+00 
 3.01995172e+06 -2.47241602e+03 -3.70917277e+00 
 3.09029543e+06 -2.47241642e+03 -3.57794068e+00 
 3.16227766e+06 -2.47241679e+03 -3.44860560e+00 
 3.23593657e+06 -2.47241715e+03 -3.32109894e+00 
 3.31131121e+06 -2.47241749e+03 -3.19535312e+00 
 3.38844156e+06 -2.47241782e+03 -3.07130146e+00 
 3.46736850e+06 -2.47241813e+03 -2.94887819e+00 
 3.54813389e+06 -2.47241842e+03 -2.82801841e+00 
 3.63078055e+06 -2.47241870e+03 -2.70865803e+00 
 3.71535229e+06 -2.47241897e+03 -2.59073378e+00 
 3.80189396e+06 -2.47241922e+03 -2.47418313e+00 
 3.89045145e+06 -2.47241946e+03 -2.35894429e+00 
 3.98107171e+06 -2.47241969e+03 -2.24495615e+00 
 4.07380278e+06 -2.47241990e+03 -2.13215829e+00 
 4.16869383e+06 -2.47242011e+03 -2.02049090e+00 
 4.26579519e+06 -2.47242030e+03 -1.90989477e+00 
 4.36515832e+06 -2.47242048e+03 -1.80031126e+00 
 4.46683592e+06 -2.47242066e+03 -1.69168228e+00 
 4.57088190e+06 -2.47242082e+03 -1.58395022e+00 
 4.67735141e+06 -2.47242097e+03 -1.47705797e+00 
 4.78630092e+06 -2.47242112e+03 -1.37094886e+00 
 4.89778819e+06 -2.47242125e+03 -1.26556663e+00 
 5.01187234e+06 -2.47242138e+03 -1.16085539e+00 
 5.12861384e+06 -2.47242150e+03 -1.05675964e+00 
 5.24807460e+06 -2.47242161e+03 -9.53224179e-01 
 5.37031796e+06 -2.47242171e+03 -8.50194115e-01 
 5.49540874e+06 -2.47242181e+03 -7.47614821e-01 
 5.62341325e+06 -2.47242189e+03 -6.45431907e-01 
 5.75439937e+06 -2.47242197e+03 -5.43591196e-01 
 5.88843655e+06 -2.47242205e+03 -4.42038692e-01 
 6.02559586e+06 -2.47242212e+03 -3.40720549e-01 
