 time            v(bufinp)       v(bufinn)       v(outp)         v(outn)        
 0.00000000e+00  2.23500000e+00  2.23500000e+00  2.79720924e+00  2.79720924e+00 
 2.00000000e-14  2.23502309e+00  2.23497691e+00  2.79720934e+00  2.79720913e+00 
 4.00000000e-14  2.23504618e+00  2.23495382e+00  2.79720954e+00  2.79720894e+00 
 8.00000000e-14  2.23509236e+00  2.23490764e+00  2.79721011e+00  2.79720836e+00 
 1.60000000e-13  2.23518473e+00  2.23481527e+00  2.79721201e+00  2.79720646e+00 
 3.20000000e-13  2.23536945e+00  2.23463055e+00  2.79721796e+00  2.79720052e+00 
 6.40000000e-13  2.23573890e+00  2.23426110e+00  2.79723246e+00  2.79718602e+00 
 1.28000000e-12  2.23647779e+00  2.23352221e+00  2.79724172e+00  2.79717675e+00 
 2.56000000e-12  2.23795548e+00  2.23204452e+00  2.79710820e+00  2.79731014e+00 
 4.22263483e-12  2.23987461e+00  2.23012539e+00  2.79665756e+00  2.79776019e+00 
 6.22263483e-12  2.24218242e+00  2.22781758e+00  2.79583788e+00  2.79857817e+00 
 8.22263483e-12  2.24448910e+00  2.22551090e+00  2.79483342e+00  2.79957958e+00 
 1.02226348e-11  2.24679428e+00  2.22320572e+00  2.79371118e+00  2.80069728e+00 
 1.22226348e-11  2.24909760e+00  2.22090240e+00  2.79250299e+00  2.80189949e+00 
 1.42226348e-11  2.25139869e+00  2.21860131e+00  2.79122610e+00  2.80316916e+00 
 1.62226348e-11  2.25369719e+00  2.21630281e+00  2.78989328e+00  2.80449381e+00 
 1.82226348e-11  2.25599274e+00  2.21400726e+00  2.78851554e+00  2.80586266e+00 
 2.02226348e-11  2.25828497e+00  2.21171503e+00  2.78710241e+00  2.80726644e+00 
 2.22226348e-11  2.26057353e+00  2.20942647e+00  2.78566177e+00  2.80869746e+00 
 2.42226348e-11  2.26285805e+00  2.20714195e+00  2.78419997e+00  2.81014948e+00 
