 time            v(detp)         v(detn)        
 0.00000000e+00  2.01622196e+00  2.01622194e+00 
 1.00000000e-14  2.01625156e+00  2.01625153e+00 
 2.00000000e-14  2.01627524e+00  2.01627521e+00 
 4.00000000e-14  2.01631129e+00  2.01631126e+00 
 8.00000000e-14  2.01634353e+00  2.01634351e+00 
 1.60000000e-13  2.01635239e+00  2.01635238e+00 
 3.20000000e-13  2.01634334e+00  2.01634350e+00 
 6.40000000e-13  2.01636971e+00  2.01637095e+00 
 1.28000000e-12  2.01596797e+00  2.01597501e+00 
 2.28000000e-12  2.01256271e+00  2.01297152e+00 
 3.28000000e-12  2.00661636e+00  2.00846213e+00 
 4.28000000e-12  2.00088525e+00  2.00410215e+00 
 5.28000000e-12  1.99872657e+00  2.00032708e+00 
 6.28000000e-12  2.00218481e+00  1.99684037e+00 
 7.28000000e-12  2.01143195e+00  1.99336141e+00 
 8.28000000e-12  2.02535687e+00  1.98974791e+00 
 9.28000000e-12  2.04237679e+00  1.98593354e+00 
 1.02800000e-11  2.06094006e+00  1.98189370e+00 
 1.12800000e-11  2.07970512e+00  1.97764533e+00 
 1.22800000e-11  2.09756884e+00  1.97325397e+00 
 1.32800000e-11  2.11359348e+00  1.96881715e+00 
 1.42800000e-11  2.12702609e+00  1.96443181e+00 
 1.52800000e-11  2.13714395e+00  1.95999369e+00 
 1.60373613e-11  2.14134615e+00  1.95567537e+00 
 1.66748522e-11  2.14157423e+00  1.95071045e+00 
 1.74173763e-11  2.13814899e+00  1.94411043e+00 
 1.82343964e-11  2.13138241e+00  1.93812105e+00 
 1.92343964e-11  2.12135349e+00  1.93481326e+00 
 2.02343964e-11  2.11154066e+00  1.93556588e+00 
 2.12343964e-11  2.10411966e+00  1.93859654e+00 
 2.22343964e-11  2.10123044e+00  1.94198117e+00 
 2.32343964e-11  2.10370860e+00  1.94441001e+00 
 2.42343964e-11  2.11088499e+00  1.94547652e+00 
 2.52343964e-11  2.12125766e+00  1.94531588e+00 
 2.62343964e-11  2.13317520e+00  1.94423300e+00 
 2.72343964e-11  2.14519601e+00  1.94252989e+00 
 2.82343964e-11  2.15615067e+00  1.94043249e+00 
 2.92343964e-11  2.16520129e+00  1.93808817e+00 
 3.02343964e-11  2.17164271e+00  1.93539334e+00 
 3.09334673e-11  2.17355911e+00  1.93249273e+00 
 3.15507665e-11  2.17255885e+00  1.92855131e+00 
 3.22617646e-11  2.16830807e+00  1.92297315e+00 
 3.30285601e-11  2.16126799e+00  1.91772765e+00 
 3.40285601e-11  2.15059732e+00  1.91462029e+00 
 3.50285601e-11  2.14026856e+00  1.91567269e+00 
 3.60285601e-11  2.13248429e+00  1.91919266e+00 
 3.70285601e-11  2.12942344e+00  1.92319592e+00 
 3.80285601e-11  2.13187870e+00  1.92630308e+00 
 3.90285601e-11  2.13911933e+00  1.92806096e+00 
 4.00285601e-11  2.14959352e+00  1.92856426e+00 
 4.10285601e-11  2.16162051e+00  1.92809222e+00 
 4.20285601e-11  2.17374175e+00  1.92693946e+00 
 4.30285601e-11  2.18477152e+00  1.92534017e+00 
 4.40285601e-11  2.19384974e+00  1.92345875e+00 
 4.50285601e-11  2.20032782e+00  1.92127497e+00 
 4.57785967e-11  2.20246247e+00  1.91867218e+00 
 4.63811160e-11  2.20155295e+00  1.91524993e+00 
 4.71455188e-11  2.19689348e+00  1.90963566e+00 
 4.78706811e-11  2.18995335e+00  1.90478690e+00 
 4.88706811e-11  2.17875386e+00  1.90162015e+00 
 4.98706811e-11  2.16773234e+00  1.90267981e+00 
 5.08706811e-11  2.15911338e+00  1.90636016e+00 
 5.18706811e-11  2.15516431e+00  1.91065820e+00 
 5.28706811e-11  2.15679927e+00  1.91412608e+00 
 5.38706811e-11  2.16336130e+00  1.91625440e+00 
 5.48706811e-11  2.17331626e+00  1.91711007e+00 
 5.58706811e-11  2.18496883e+00  1.91696055e+00 
 5.68706811e-11  2.19683689e+00  1.91609704e+00 
 5.78706811e-11  2.20771012e+00  1.91475584e+00 
 5.88706811e-11  2.21669979e+00  1.91310864e+00 
 5.98706811e-11  2.22316002e+00  1.91117540e+00 
 6.06728626e-11  2.22544636e+00  1.90865097e+00 
 6.12770774e-11  2.22449741e+00  1.90541358e+00 
