 time            v(finalp)       v(finaln)      
 0.00000000e+00  2.80128292e+00  2.80128292e+00 
 1.00000000e-14  2.80128292e+00  2.80128292e+00 
 2.00000000e-14  2.80128292e+00  2.80128292e+00 
 4.00000000e-14  2.80128292e+00  2.80128292e+00 
 8.00000000e-14  2.80128292e+00  2.80128292e+00 
 1.60000000e-13  2.80128292e+00  2.80128292e+00 
 3.20000000e-13  2.80128292e+00  2.80128292e+00 
 6.40000000e-13  2.80128292e+00  2.80128292e+00 
 1.28000000e-12  2.80128291e+00  2.80128291e+00 
 2.28000000e-12  2.80128291e+00  2.80128291e+00 
 3.28000000e-12  2.80128292e+00  2.80128292e+00 
 4.28000000e-12  2.80128293e+00  2.80128293e+00 
 5.28000000e-12  2.80128294e+00  2.80128294e+00 
 6.28000000e-12  2.80128295e+00  2.80128295e+00 
 7.28000000e-12  2.80128296e+00  2.80128296e+00 
 8.28000000e-12  2.80128297e+00  2.80128297e+00 
 9.28000000e-12  2.80128298e+00  2.80128298e+00 
 1.02800000e-11  2.80128298e+00  2.80128298e+00 
 1.12800000e-11  2.80128298e+00  2.80128297e+00 
 1.22800000e-11  2.80128297e+00  2.80128297e+00 
 1.32800000e-11  2.80128296e+00  2.80128296e+00 
 1.42800000e-11  2.80128296e+00  2.80128296e+00 
 1.52800000e-11  2.80128295e+00  2.80128295e+00 
 1.62800000e-11  2.80128295e+00  2.80128295e+00 
 1.72800000e-11  2.80128295e+00  2.80128295e+00 
 1.82800000e-11  2.80128295e+00  2.80128295e+00 
 1.92800000e-11  2.80128295e+00  2.80128295e+00 
 2.02800000e-11  2.80128296e+00  2.80128295e+00 
 2.12800000e-11  2.80128296e+00  2.80128296e+00 
 2.22800000e-11  2.80128297e+00  2.80128297e+00 
 2.32800000e-11  2.80128298e+00  2.80128298e+00 
 2.42800000e-11  2.80128299e+00  2.80128299e+00 
 2.52800000e-11  2.80128301e+00  2.80128300e+00 
 2.62800000e-11  2.80128302e+00  2.80128302e+00 
 2.72800000e-11  2.80128304e+00  2.80128303e+00 
 2.82800000e-11  2.80128305e+00  2.80128305e+00 
 2.92800000e-11  2.80128306e+00  2.80128306e+00 
 3.02800000e-11  2.80128307e+00  2.80128307e+00 
 3.12800000e-11  2.80128308e+00  2.80128308e+00 
 3.22800000e-11  2.80128309e+00  2.80128309e+00 
 3.32800000e-11  2.80128309e+00  2.80128309e+00 
 3.42800000e-11  2.80128309e+00  2.80128309e+00 
 3.52800000e-11  2.80128308e+00  2.80128308e+00 
 3.62800000e-11  2.80128308e+00  2.80128308e+00 
 3.72800000e-11  2.80128307e+00  2.80128307e+00 
 3.81400000e-11  2.80128306e+00  2.80128306e+00 
 3.90000000e-11  2.80128305e+00  2.80128305e+00 
 3.91000000e-11  2.80128305e+00  2.80128305e+00 
 3.93000000e-11  2.80128305e+00  2.80128304e+00 
 3.96500000e-11  2.80128304e+00  2.80128304e+00 
 4.00000000e-11  2.80128304e+00  2.80128304e+00 
 4.00700000e-11  2.80128304e+00  2.80128303e+00 
 4.02100000e-11  2.80128304e+00  2.80128303e+00 
 4.04900000e-11  2.80128303e+00  2.80128303e+00 
 4.10500000e-11  2.80128303e+00  2.80128302e+00 
 4.20500000e-11  2.80128302e+00  2.80128301e+00 
 4.30500000e-11  2.80128301e+00  2.80128301e+00 
 4.40500000e-11  2.80128301e+00  2.80128300e+00 
