 frequency       v(finalp,finaln) v(finalp,finaln)
 1.00000000e+06  1.56058979e-05 -9.82779704e-04 
 1.02329299e+06  1.59983216e-05 -1.00568611e-03 
 1.04712855e+06  1.64092040e-05 -1.02912695e-03 
 1.07151931e+06  1.68394117e-05 -1.05311471e-03 
 1.09647820e+06  1.72898519e-05 -1.07766222e-03 
 1.12201845e+06  1.77614740e-05 -1.10278259e-03 
 1.14815362e+06  1.82552721e-05 -1.12848924e-03 
 1.17489755e+06  1.87722862e-05 -1.15479591e-03 
 1.20226443e+06  1.93136054e-05 -1.18171667e-03 
 1.23026877e+06  1.98803693e-05 -1.20926592e-03 
 1.25892541e+06  2.04737707e-05 -1.23745842e-03 
 1.28824955e+06  2.10950581e-05 -1.26630925e-03 
 1.31825674e+06  2.17455379e-05 -1.29583387e-03 
 1.34896288e+06  2.24265777e-05 -1.32604810e-03 
 1.38038426e+06  2.31396084e-05 -1.35696814e-03 
 1.41253754e+06  2.38861277e-05 -1.38861059e-03 
 1.44543977e+06  2.46677028e-05 -1.42099243e-03 
 1.47910839e+06  2.54859736e-05 -1.45413105e-03 
 1.51356125e+06  2.63426565e-05 -1.48804426e-03 
 1.54881662e+06  2.72395469e-05 -1.52275030e-03 
 1.58489319e+06  2.81785240e-05 -1.55826784e-03 
 1.62181010e+06  2.91615537e-05 -1.59461601e-03 
 1.65958691e+06  3.01906929e-05 -1.63181440e-03 
 1.69824365e+06  3.12680937e-05 -1.66988306e-03 
 1.73780083e+06  3.23960075e-05 -1.70884255e-03 
 1.77827941e+06  3.35767896e-05 -1.74871389e-03 
 1.81970086e+06  3.48129040e-05 -1.78951866e-03 
 1.86208714e+06  3.61069281e-05 -1.83127892e-03 
 1.90546072e+06  3.74615577e-05 -1.87401729e-03 
 1.94984460e+06  3.88796126e-05 -1.91775694e-03 
 1.99526231e+06  4.03640421e-05 -1.96252161e-03 
 2.04173794e+06  4.19179305e-05 -2.00833561e-03 
 2.08929613e+06  4.35445033e-05 -2.05522386e-03 
 2.13796209e+06  4.52471334e-05 -2.10321188e-03 
 2.18776162e+06  4.70293477e-05 -2.15232584e-03 
 2.23872114e+06  4.88948338e-05 -2.20259255e-03 
 2.29086765e+06  5.08474470e-05 -2.25403946e-03 
 2.34422882e+06  5.28912176e-05 -2.30669475e-03 
 2.39883292e+06  5.50303589e-05 -2.36058726e-03 
 2.45470892e+06  5.72692745e-05 -2.41574657e-03 
 2.51188643e+06  5.96125671e-05 -2.47220301e-03 
 2.57039578e+06  6.20650466e-05 -2.52998767e-03 
 2.63026799e+06  6.46317394e-05 -2.58913241e-03 
 2.69153480e+06  6.73178972e-05 -2.64966991e-03 
 2.75422870e+06  7.01290070e-05 -2.71163369e-03 
 2.81838293e+06  7.30708004e-05 -2.77505810e-03 
 2.88403150e+06  7.61492645e-05 -2.83997840e-03 
 2.95120923e+06  7.93706520e-05 -2.90643073e-03 
 3.01995172e+06  8.27414926e-05 -2.97445218e-03 
 3.09029543e+06  8.62686040e-05 -3.04408079e-03 
 3.16227766e+06  8.99591040e-05 -3.11535561e-03 
 3.23593657e+06  9.38204221e-05 -3.18831668e-03 
 3.31131121e+06  9.78603128e-05 -3.26300512e-03 
 3.38844156e+06  1.02086868e-04 -3.33946311e-03 
 3.46736850e+06  1.06508529e-04 -3.41773397e-03 
 3.54813389e+06  1.11134104e-04 -3.49786217e-03 
 3.63078055e+06  1.15972778e-04 -3.57989335e-03 
 3.71535229e+06  1.21034129e-04 -3.66387439e-03 
 3.80189396e+06  1.26328143e-04 -3.74985345e-03 
 3.89045145e+06  1.31865229e-04 -3.83787999e-03 
 3.98107171e+06  1.37656234e-04 -3.92800480e-03 
 4.07380278e+06  1.43712459e-04 -4.02028010e-03 
 4.16869383e+06  1.50045676e-04 -4.11475954e-03 
 4.26579519e+06  1.56668144e-04 -4.21149826e-03 
 4.36515832e+06  1.63592624e-04 -4.31055293e-03 
