 frequency       v(finalp,finaln) v(finalp,finaln)
 1.00000000e+06 -1.83579006e+03 -3.77507658e+01 
 1.02329299e+06 -1.83581814e+03 -3.77719224e+01 
 1.04712855e+06 -1.83584722e+03 -3.78130600e+01 
 1.07151931e+06 -1.83587737e+03 -3.78741943e+01 
 1.09647820e+06 -1.83590865e+03 -3.79553516e+01 
 1.12201845e+06 -1.83594113e+03 -3.80565683e+01 
 1.14815362e+06 -1.83597487e+03 -3.81778912e+01 
 1.17489755e+06 -1.83600994e+03 -3.83193775e+01 
 1.20226443e+06 -1.83604643e+03 -3.84810947e+01 
 1.23026877e+06 -1.83608440e+03 -3.86631205e+01 
 1.25892541e+06 -1.83612394e+03 -3.88655431e+01 
 1.28824955e+06 -1.83616513e+03 -3.90884607e+01 
 1.31825674e+06 -1.83620805e+03 -3.93319823e+01 
 1.34896288e+06 -1.83625281e+03 -3.95962268e+01 
 1.38038426e+06 -1.83629948e+03 -3.98813238e+01 
 1.41253754e+06 -1.83634818e+03 -4.01874131e+01 
 1.44543977e+06 -1.83639900e+03 -4.05146449e+01 
 1.47910839e+06 -1.83645205e+03 -4.08631800e+01 
 1.51356125e+06 -1.83650744e+03 -4.12331894e+01 
 1.54881662e+06 -1.83656528e+03 -4.16248548e+01 
 1.58489319e+06 -1.83662571e+03 -4.20383682e+01 
 1.62181010e+06 -1.83668884e+03 -4.24739324e+01 
 1.65958691e+06 -1.83675481e+03 -4.29317606e+01 
 1.69824365e+06 -1.83682375e+03 -4.34120765e+01 
 1.73780083e+06 -1.83689582e+03 -4.39151147e+01 
 1.77827941e+06 -1.83697115e+03 -4.44411201e+01 
 1.81970086e+06 -1.83704991e+03 -4.49903488e+01 
 1.86208714e+06 -1.83713227e+03 -4.55630670e+01 
 1.90546072e+06 -1.83721839e+03 -4.61595521e+01 
 1.94984460e+06 -1.83730846e+03 -4.67800921e+01 
 1.99526231e+06 -1.83740266e+03 -4.74249857e+01 
 2.04173794e+06 -1.83750119e+03 -4.80945426e+01 
 2.08929613e+06 -1.83760425e+03 -4.87890833e+01 
 2.13796209e+06 -1.83771205e+03 -4.95089389e+01 
 2.18776162e+06 -1.83782483e+03 -5.02544515e+01 
 2.23872114e+06 -1.83794282e+03 -5.10259741e+01 
 2.29086765e+06 -1.83806625e+03 -5.18238705e+01 
 2.34422882e+06 -1.83819539e+03 -5.26485151e+01 
 2.39883292e+06 -1.83833050e+03 -5.35002934e+01 
 2.45470892e+06 -1.83847186e+03 -5.43796015e+01 
 2.51188643e+06 -1.83861976e+03 -5.52868462e+01 
 2.57039578e+06 -1.83877451e+03 -5.62224450e+01 
 2.63026799e+06 -1.83893643e+03 -5.71868259e+01 
 2.69153480e+06 -1.83910584e+03 -5.81804277e+01 
 2.75422870e+06 -1.83928309e+03 -5.92036992e+01 
 2.81838293e+06 -1.83946856e+03 -6.02570999e+01 
 2.88403150e+06 -1.83966261e+03 -6.13410992e+01 
 2.95120923e+06 -1.83986564e+03 -6.24561766e+01 
 3.01995172e+06 -1.84007806e+03 -6.36028215e+01 
 3.09029543e+06 -1.84030031e+03 -6.47815331e+01 
 3.16227766e+06 -1.84053284e+03 -6.59928197e+01 
 3.23593657e+06 -1.84077612e+03 -6.72371991e+01 
 3.31131121e+06 -1.84103063e+03 -6.85151979e+01 
 3.38844156e+06 -1.84129690e+03 -6.98273513e+01 
 3.46736850e+06 -1.84157545e+03 -7.11742029e+01 
 3.54813389e+06 -1.84186684e+03 -7.25563041e+01 
 3.63078055e+06 -1.84217166e+03 -7.39742139e+01 
 3.71535229e+06 -1.84249051e+03 -7.54284983e+01 
 3.80189396e+06 -1.84282403e+03 -7.69197298e+01 
 3.89045145e+06 -1.84317288e+03 -7.84484871e+01 
 3.98107171e+06 -1.84353775e+03 -8.00153540e+01 
 4.07380278e+06 -1.84391934e+03 -8.16209193e+01 
 4.16869383e+06 -1.84431843e+03 -8.32657759e+01 
 4.26579519e+06 -1.84473577e+03 -8.49505198e+01 
 4.36515832e+06 -1.84517219e+03 -8.66757498e+01 
 4.46683592e+06 -1.84562853e+03 -8.84420658e+01 
 4.57088190e+06 -1.84610567e+03 -9.02500688e+01 
 4.67735141e+06 -1.84660453e+03 -9.21003591e+01 
 4.78630092e+06 -1.84712606e+03 -9.39935354e+01 
 4.89778819e+06 -1.84767126e+03 -9.59301937e+01 
 5.01187234e+06 -1.84824115e+03 -9.79109259e+01 
 5.12861384e+06 -1.84883682e+03 -9.99363184e+01 
 5.24807460e+06 -1.84945938e+03 -1.02006951e+02 
 5.37031796e+06 -1.85010999e+03 -1.04123393e+02 
 5.49540874e+06 -1.85078985e+03 -1.06286207e+02 
 5.62341325e+06 -1.85150022e+03 -1.08495940e+02 
 5.75439937e+06 -1.85224239e+03 -1.10753126e+02 
 5.88843655e+06 -1.85301772e+03 -1.13058283e+02 
 6.02559586e+06 -1.85382760e+03 -1.15411911e+02 
 6.16595002e+06 -1.85467347e+03 -1.17814487e+02 
 6.30957344e+06 -1.85555685e+03 -1.20266468e+02 
 6.45654229e+06 -1.85647928e+03 -1.22768282e+02 
 6.60693448e+06 -1.85744238e+03 -1.25320330e+02 
 6.76082975e+06 -1.85844781e+03 -1.27922979e+02 
 6.91830971e+06 -1.85949729e+03 -1.30576562e+02 
 7.07945784e+06 -1.86059261e+03 -1.33281375e+02 
 7.24435960e+06 -1.86173561e+03 -1.36037670e+02 
 7.41310241e+06 -1.86292817e+03 -1.38845654e+02 
 7.58577575e+06 -1.86417226e+03 -1.41705484e+02 
 7.76247117e+06 -1.86546989e+03 -1.44617264e+02 
 7.94328235e+06 -1.86682314e+03 -1.47581040e+02 
 8.12830516e+06 -1.86823414e+03 -1.50596794e+02 
 8.31763771e+06 -1.86970510e+03 -1.53664442e+02 
 8.51138038e+06 -1.87123827e+03 -1.56783828e+02 
 8.70963590e+06 -1.87283597e+03 -1.59954720e+02 
 8.91250938e+06 -1.87450056e+03 -1.63176800e+02 
 9.12010839e+06 -1.87623448e+03 -1.66449665e+02 
 9.33254301e+06 -1.87804021e+03 -1.69772819e+02 
 9.54992586e+06 -1.87992030e+03 -1.73145664e+02 
 9.77237221e+06 -1.88187733e+03 -1.76567500e+02 
 1.00000000e+07 -1.88391394e+03 -1.80037512e+02 
 1.02329299e+07 -1.88603282e+03 -1.83554773e+02 
 1.04712855e+07 -1.88823670e+03 -1.87118226e+02 
 1.07151931e+07 -1.89052833e+03 -1.90726689e+02 
 1.09647820e+07 -1.89291053e+03 -1.94378842e+02 
 1.12201845e+07 -1.89538611e+03 -1.98073220e+02 
 1.14815362e+07 -1.89795794e+03 -2.01808211e+02 
 1.17489755e+07 -1.90062887e+03 -2.05582049e+02 
 1.20226443e+07 -1.90340180e+03 -2.09392801e+02 
 1.23026877e+07 -1.90627959e+03 -2.13238371e+02 
 1.25892541e+07 -1.90926514e+03 -2.17116486e+02 
 1.28824955e+07 -1.91236130e+03 -2.21024695e+02 
 1.31825674e+07 -1.91557093e+03 -2.24960361e+02 
 1.34896288e+07 -1.91889682e+03 -2.28920657e+02 
 1.38038426e+07 -1.92234175e+03 -2.32902562e+02 
 1.41253754e+07 -1.92590842e+03 -2.36902853e+02 
 1.44543977e+07 -1.92959949e+03 -2.40918108e+02 
 1.47910839e+07 -1.93341752e+03 -2.44944698e+02 
 1.51356125e+07 -1.93736498e+03 -2.48978786e+02 
 1.54881662e+07 -1.94144423e+03 -2.53016325e+02 
 1.58489319e+07 -1.94565753e+03 -2.57053060e+02 
 1.62181010e+07 -1.95000697e+03 -2.61084524e+02 
 1.65958691e+07 -1.95449452e+03 -2.65106044e+02 
 1.69824365e+07 -1.95912196e+03 -2.69112739e+02 
 1.73780083e+07 -1.96389088e+03 -2.73099529e+02 
 1.77827941e+07 -1.96880269e+03 -2.77061135e+02 
 1.81970086e+07 -1.97385856e+03 -2.80992089e+02 
 1.86208714e+07 -1.97905943e+03 -2.84886737e+02 
 1.90546072e+07 -1.98440600e+03 -2.88739257e+02 
 1.94984460e+07 -1.98989867e+03 -2.92543661e+02 
 1.99526231e+07 -1.99553758e+03 -2.96293811e+02 
 2.04173794e+07 -2.00132255e+03 -2.99983436e+02 
 2.08929613e+07 -2.00725308e+03 -3.03606142e+02 
 2.13796209e+07 -2.01332834e+03 -3.07155435e+02 
 2.18776162e+07 -2.01954716e+03 -3.10624737e+02 
 2.23872114e+07 -2.02590799e+03 -3.14007405e+02 
 2.29086765e+07 -2.03240891e+03 -3.17296760e+02 
 2.34422882e+07 -2.03904764e+03 -3.20486103e+02 
 2.39883292e+07 -2.04582147e+03 -3.23568746e+02 
 2.45470892e+07 -2.05272731e+03 -3.26538035e+02 
 2.51188643e+07 -2.05976168e+03 -3.29387378e+02 
 2.57039578e+07 -2.06692067e+03 -3.32110278e+02 
 2.63026799e+07 -2.07419998e+03 -3.34700354e+02 
 2.69153480e+07 -2.08159489e+03 -3.37151381e+02 
 2.75422870e+07 -2.08910029e+03 -3.39457311e+02 
 2.81838293e+07 -2.09671069e+03 -3.41612309e+02 
