 frequency       v(finalp,finaln) v(finalp,finaln)
 1.00000000e+06 -4.10457620e+03 -7.72291051e+01 
 1.02329299e+06 -4.10464281e+03 -7.54065804e+01 
 1.04712855e+06 -4.10470632e+03 -7.36239255e+01 
 1.07151931e+06 -4.10476686e+03 -7.18802031e+01 
 1.09647820e+06 -4.10482457e+03 -7.01744959e+01 
 1.12201845e+06 -4.10487957e+03 -6.85059062e+01 
 1.14815362e+06 -4.10493197e+03 -6.68735559e+01 
 1.17489755e+06 -4.10498188e+03 -6.52765853e+01 
 1.20226443e+06 -4.10502941e+03 -6.37141533e+01 
 1.23026877e+06 -4.10507466e+03 -6.21854369e+01 
 1.25892541e+06 -4.10511773e+03 -6.06896304e+01 
 1.28824955e+06 -4.10515870e+03 -5.92259453e+01 
 1.31825674e+06 -4.10519767e+03 -5.77936101e+01 
 1.34896288e+06 -4.10523472e+03 -5.63918693e+01 
 1.38038426e+06 -4.10526991e+03 -5.50199838e+01 
 1.41253754e+06 -4.10530334e+03 -5.36772298e+01 
 1.44543977e+06 -4.10533507e+03 -5.23628988e+01 
 1.47910839e+06 -4.10536517e+03 -5.10762973e+01 
 1.51356125e+06 -4.10539369e+03 -4.98167463e+01 
 1.54881662e+06 -4.10542071e+03 -4.85835810e+01 
 1.58489319e+06 -4.10544628e+03 -4.73761505e+01 
 1.62181010e+06 -4.10547045e+03 -4.61938172e+01 
 1.65958691e+06 -4.10549327e+03 -4.50359569e+01 
 1.69824365e+06 -4.10551480e+03 -4.39019584e+01 
 1.73780083e+06 -4.10553508e+03 -4.27912229e+01 
 1.77827941e+06 -4.10555415e+03 -4.17031637e+01 
 1.81970086e+06 -4.10557205e+03 -4.06372064e+01 
 1.86208714e+06 -4.10558882e+03 -3.95927881e+01 
 1.90546072e+06 -4.10560449e+03 -3.85693574e+01 
 1.94984460e+06 -4.10561911e+03 -3.75663737e+01 
 1.99526231e+06 -4.10563269e+03 -3.65833076e+01 
 2.04173794e+06 -4.10564528e+03 -3.56196401e+01 
 2.08929613e+06 -4.10565689e+03 -3.46748624e+01 
 2.13796209e+06 -4.10566755e+03 -3.37484758e+01 
 2.18776162e+06 -4.10567728e+03 -3.28399916e+01 
 2.23872114e+06 -4.10568611e+03 -3.19489302e+01 
 2.29086765e+06 -4.10569405e+03 -3.10748217e+01 
 2.34422882e+06 -4.10570112e+03 -3.02172049e+01 
 2.39883292e+06 -4.10570733e+03 -2.93756277e+01 
 2.45470892e+06 -4.10571270e+03 -2.85496465e+01 
 2.51188643e+06 -4.10571725e+03 -2.77388259e+01 
 2.57039578e+06 -4.10572097e+03 -2.69427389e+01 
 2.63026799e+06 -4.10572388e+03 -2.61609663e+01 
 2.69153480e+06 -4.10572599e+03 -2.53930967e+01 
 2.75422870e+06 -4.10572729e+03 -2.46387260e+01 
 2.81838293e+06 -4.10572780e+03 -2.38974578e+01 
 2.88403150e+06 -4.10572751e+03 -2.31689025e+01 
 2.95120923e+06 -4.10572642e+03 -2.24526776e+01 
 3.01995172e+06 -4.10572454e+03 -2.17484072e+01 
 3.09029543e+06 -4.10572185e+03 -2.10557222e+01 
 3.16227766e+06 -4.10571836e+03 -2.03742597e+01 
 3.23593657e+06 -4.10571405e+03 -1.97036632e+01 
 3.31131121e+06 -4.10570892e+03 -1.90435820e+01 
 3.38844156e+06 -4.10570296e+03 -1.83936716e+01 
 3.46736850e+06 -4.10569615e+03 -1.77535930e+01 
 3.54813389e+06 -4.10568849e+03 -1.71230128e+01 
 3.63078055e+06 -4.10567995e+03 -1.65016032e+01 
 3.71535229e+06 -4.10567052e+03 -1.58890415e+01 
 3.80189396e+06 -4.10566019e+03 -1.52850102e+01 
