 time            v(bufinp)       v(bufinn)       v(outp)         v(outn)        
 0.00000000e+00  2.23500000e+00  2.23500000e+00  2.78113194e+00  2.78113194e+00 
 2.00000000e-14  2.23501398e+00  2.23498602e+00  2.78114408e+00  2.78111980e+00 
 4.00000000e-14  2.23502796e+00  2.23497204e+00  2.78115522e+00  2.78110866e+00 
 8.00000000e-14  2.23505592e+00  2.23494408e+00  2.78117614e+00  2.78108774e+00 
 1.60000000e-13  2.23511184e+00  2.23488816e+00  2.78121421e+00  2.78104967e+00 
 3.20000000e-13  2.23522368e+00  2.23477632e+00  2.78127718e+00  2.78098670e+00 
 6.40000000e-13  2.23544736e+00  2.23455264e+00  2.78133135e+00  2.78093250e+00 
 1.28000000e-12  2.23589472e+00  2.23410528e+00  2.78109634e+00  2.78116712e+00 
 2.56000000e-12  2.23678937e+00  2.23321063e+00  2.77948722e+00  2.78277331e+00 
 4.56000000e-12  2.23818702e+00  2.23181298e+00  2.77525112e+00  2.78699925e+00 
 6.56000000e-12  2.23958417e+00  2.23041583e+00  2.77007220e+00  2.79216278e+00 
 8.56000000e-12  2.24098059e+00  2.22901941e+00  2.76460190e+00  2.79761373e+00 
 1.05600000e-11  2.24237607e+00  2.22762393e+00  2.75909371e+00  2.80309971e+00 
 1.25600000e-11  2.24377038e+00  2.22622962e+00  2.75361125e+00  2.80855815e+00 
 1.45600000e-11  2.24516331e+00  2.22483669e+00  2.74815537e+00  2.81398901e+00 
 1.65600000e-11  2.24655464e+00  2.22344536e+00  2.74271607e+00  2.81940272e+00 
 1.85600000e-11  2.24794414e+00  2.22205586e+00  2.73728665e+00  2.82480616e+00 
 2.05600000e-11  2.24933159e+00  2.22066841e+00  2.73186471e+00  2.83020176e+00 
 2.25600000e-11  2.25071678e+00  2.21928322e+00  2.72645032e+00  2.83558943e+00 
 2.45600000e-11  2.25209949e+00  2.21790051e+00  2.72104458e+00  2.84096806e+00 
 2.65600000e-11  2.25347950e+00  2.21652050e+00  2.71564884e+00  2.84633630e+00 
 2.85600000e-11  2.25485659e+00  2.21514341e+00  2.71026447e+00  2.85169277e+00 
 3.05600000e-11  2.25623055e+00  2.21376945e+00  2.70489278e+00  2.85703618e+00 
 3.25600000e-11  2.25760115e+00  2.21239885e+00  2.69953502e+00  2.86236526e+00 
 3.45600000e-11  2.25896819e+00  2.21103181e+00  2.69419243e+00  2.86767881e+00 
 3.65600000e-11  2.26033144e+00  2.20966856e+00  2.68886618e+00  2.87297563e+00 
 3.85600000e-11  2.26169069e+00  2.20830931e+00  2.68355747e+00  2.87825456e+00 
 4.05600000e-11  2.26304572e+00  2.20695428e+00  2.67826744e+00  2.88351443e+00 
 4.25600000e-11  2.26439633e+00  2.20560367e+00  2.67299724e+00  2.88875412e+00 
 4.45600000e-11  2.26574229e+00  2.20425771e+00  2.66774801e+00  2.89397251e+00 
 4.65600000e-11  2.26708340e+00  2.20291660e+00  2.66252085e+00  2.89916849e+00 
 4.85600000e-11  2.26841945e+00  2.20158055e+00  2.65731687e+00  2.90434096e+00 
 5.05600000e-11  2.26975021e+00  2.20024979e+00  2.65213714e+00  2.90948887e+00 
