 time            v(detp)         v(detn)        
 0.00000000e+00  2.89648133e+00  2.89648133e+00 
 1.25000000e-15  2.89648133e+00  2.89648133e+00 
 2.50000000e-15  2.89648133e+00  2.89648133e+00 
 5.00000000e-15  2.89648133e+00  2.89648133e+00 
 1.00000000e-14  2.89648133e+00  2.89648133e+00 
 2.00000000e-14  2.89648133e+00  2.89648133e+00 
 2.25000000e-14  2.89648133e+00  2.89648133e+00 
 2.75000000e-14  2.89648133e+00  2.89648133e+00 
 3.75000000e-14  2.89648133e+00  2.89648133e+00 
 5.75000000e-14  2.89648133e+00  2.89648133e+00 
 9.75000000e-14  2.89648133e+00  2.89648133e+00 
 1.77500000e-13  2.89648133e+00  2.89648133e+00 
 3.37500000e-13  2.89648133e+00  2.89648133e+00 
 6.57500000e-13  2.89648133e+00  2.89648133e+00 
 1.29750000e-12  2.89648133e+00  2.89648132e+00 
 2.29750000e-12  2.89648130e+00  2.89648131e+00 
 3.29750000e-12  2.89648118e+00  2.89648136e+00 
 4.29750000e-12  2.89648086e+00  2.89648162e+00 
 5.29750000e-12  2.89648017e+00  2.89648231e+00 
 6.29750000e-12  2.89647896e+00  2.89648365e+00 
 7.25004527e-12  2.89647715e+00  2.89648571e+00 
 8.25004527e-12  2.89647444e+00  2.89648886e+00 
 9.25004527e-12  2.89647079e+00  2.89649312e+00 
 1.02500453e-11  2.89646615e+00  2.89649852e+00 
 1.12500453e-11  2.89646054e+00  2.89650502e+00 
 1.20602532e-11  2.89645533e+00  2.89651103e+00 
 1.28717722e-11  2.89644957e+00  2.89651761e+00 
 1.36279833e-11  2.89644380e+00  2.89652415e+00 
 1.43484946e-11  2.89643801e+00  2.89653066e+00 
 1.51275761e-11  2.89643151e+00  2.89653788e+00 
 1.59809820e-11  2.89642420e+00  2.89654587e+00 
 1.68043990e-11  2.89641702e+00  2.89655356e+00 
 1.78043990e-11  2.89640815e+00  2.89656286e+00 
 1.88043990e-11  2.89639907e+00  2.89657224e+00 
 1.98043990e-11  2.89638968e+00  2.89658190e+00 
 2.08043990e-11  2.89637981e+00  2.89659208e+00 
 2.18043990e-11  2.89636930e+00  2.89660299e+00 
 2.28043990e-11  2.89635801e+00  2.89661482e+00 
 2.38043990e-11  2.89634582e+00  2.89662771e+00 
 2.48043990e-11  2.89633266e+00  2.89664173e+00 
 2.56012191e-11  2.89632147e+00  2.89665370e+00 
 2.63598886e-11  2.89631025e+00  2.89666572e+00 
 2.71192267e-11  2.89629852e+00  2.89667832e+00 
 2.80259057e-11  2.89628393e+00  2.89669396e+00 
 2.86702684e-11  2.89627324e+00  2.89670541e+00 
 2.93467595e-11  2.89626178e+00  2.89671765e+00 
 3.00676568e-11  2.89624938e+00  2.89673083e+00 
 3.09500543e-11  2.89623403e+00  2.89674703e+00 
 3.19500543e-11  2.89621647e+00  2.89676534e+00 
 3.29500543e-11  2.89619876e+00  2.89678363e+00 
 3.39500543e-11  2.89618083e+00  2.89680202e+00 
 3.49500543e-11  2.89616256e+00  2.89682071e+00 
 3.59500543e-11  2.89614380e+00  2.89683995e+00 
 3.69500543e-11  2.89612438e+00  2.89685995e+00 
 3.79500543e-11  2.89610417e+00  2.89688087e+00 
 3.89500543e-11  2.89608305e+00  2.89690286e+00 
 3.99500543e-11  2.89606097e+00  2.89692594e+00 
 4.07324563e-11  2.89604303e+00  2.89694477e+00 
 4.15003409e-11  2.89602488e+00  2.89696386e+00 
 4.22666512e-11  2.89600627e+00  2.89698344e+00 
 4.30854915e-11  2.89598591e+00  2.89700485e+00 
 4.37274146e-11  2.89596967e+00  2.89702193e+00 
 4.44341377e-11  2.89595157e+00  2.89704093e+00 
 4.51662625e-11  2.89593264e+00  2.89706073e+00 
 4.61394722e-11  2.89590731e+00  2.89708709e+00 
 4.71394722e-11  2.89588113e+00  2.89711411e+00 
 4.81394722e-11  2.89585480e+00  2.89714112e+00 
 4.91394722e-11  2.89582823e+00  2.89716826e+00 
 5.01394722e-11  2.89580129e+00  2.89719577e+00 
 5.11394722e-11  2.89577383e+00  2.89722386e+00 
 5.21394722e-11  2.89574567e+00  2.89725275e+00 
 5.31394722e-11  2.89571668e+00  2.89728259e+00 
 5.41394722e-11  2.89568678e+00  2.89731350e+00 
 5.51394722e-11  2.89565593e+00  2.89734550e+00 
 5.59088345e-11  2.89563155e+00  2.89737085e+00 
 5.67300749e-11  2.89560495e+00  2.89739854e+00 
 5.75288515e-11  2.89557857e+00  2.89742603e+00 
 5.82233697e-11  2.89555528e+00  2.89745029e+00 
