 time            v(finalp)       v(finaln)      
 0.00000000e+00  2.78168190e+00  2.78168190e+00 
 1.25000000e-15  2.78168190e+00  2.78168190e+00 
 2.50000000e-15  2.78168190e+00  2.78168190e+00 
 5.00000000e-15  2.78168191e+00  2.78168190e+00 
 1.00000000e-14  2.78168191e+00  2.78168190e+00 
 2.00000000e-14  2.78168191e+00  2.78168190e+00 
 4.00000000e-14  2.78168191e+00  2.78168190e+00 
 8.00000000e-14  2.78168191e+00  2.78168190e+00 
 1.60000000e-13  2.78168190e+00  2.78168190e+00 
 3.20000000e-13  2.78168190e+00  2.78168190e+00 
 6.40000000e-13  2.78168190e+00  2.78168190e+00 
 1.28000000e-12  2.78168189e+00  2.78168189e+00 
 2.28000000e-12  2.78168189e+00  2.78168189e+00 
 3.28000000e-12  2.78168190e+00  2.78168190e+00 
 4.28000000e-12  2.78168190e+00  2.78168190e+00 
 5.28000000e-12  2.78168190e+00  2.78168190e+00 
 6.28000000e-12  2.78168190e+00  2.78168190e+00 
 7.28000000e-12  2.78168190e+00  2.78168190e+00 
 8.28000000e-12  2.78168190e+00  2.78168190e+00 
 9.28000000e-12  2.78168190e+00  2.78168190e+00 
 1.02800000e-11  2.78168190e+00  2.78168190e+00 
 1.12800000e-11  2.78168190e+00  2.78168190e+00 
 1.22800000e-11  2.78168190e+00  2.78168190e+00 
 1.32800000e-11  2.78168190e+00  2.78168190e+00 
 1.42800000e-11  2.78168190e+00  2.78168190e+00 
 1.52800000e-11  2.78168190e+00  2.78168190e+00 
 1.62800000e-11  2.78168190e+00  2.78168190e+00 
 1.72800000e-11  2.78168190e+00  2.78168190e+00 
 1.82800000e-11  2.78168190e+00  2.78168190e+00 
 1.92800000e-11  2.78168190e+00  2.78168190e+00 
 2.02800000e-11  2.78168190e+00  2.78168190e+00 
 2.12800000e-11  2.78168190e+00  2.78168190e+00 
 2.22800000e-11  2.78168190e+00  2.78168190e+00 
 2.32800000e-11  2.78168190e+00  2.78168190e+00 
 2.42800000e-11  2.78168190e+00  2.78168190e+00 
 2.52800000e-11  2.78168190e+00  2.78168190e+00 
 2.62800000e-11  2.78168190e+00  2.78168190e+00 
 2.72800000e-11  2.78168190e+00  2.78168190e+00 
 2.82800000e-11  2.78168190e+00  2.78168190e+00 
 2.92800000e-11  2.78168190e+00  2.78168190e+00 
 3.02800000e-11  2.78168190e+00  2.78168190e+00 
 3.12800000e-11  2.78168190e+00  2.78168190e+00 
 3.22800000e-11  2.78168190e+00  2.78168190e+00 
 3.32800000e-11  2.78168190e+00  2.78168190e+00 
 3.42800000e-11  2.78168190e+00  2.78168190e+00 
 3.52800000e-11  2.78168190e+00  2.78168190e+00 
 3.62800000e-11  2.78168190e+00  2.78168190e+00 
 3.72800000e-11  2.78168190e+00  2.78168190e+00 
 3.81400000e-11  2.78168190e+00  2.78168190e+00 
 3.90000000e-11  2.78168190e+00  2.78168190e+00 
 3.91000000e-11  2.78168190e+00  2.78168190e+00 
 3.93000000e-11  2.78168190e+00  2.78168190e+00 
 3.96500000e-11  2.78168190e+00  2.78168190e+00 
 3.96937500e-11  2.78168190e+00  2.78168190e+00 
 3.97812500e-11  2.78168190e+00  2.78168190e+00 
 3.98906250e-11  2.78168190e+00  2.78168190e+00 
 4.00000000e-11  2.78168190e+00  2.78168190e+00 
 4.00218750e-11  2.78168190e+00  2.78168190e+00 
 4.00656250e-11  2.78168190e+00  2.78168190e+00 
 4.01531250e-11  2.78168190e+00  2.78168190e+00 
 4.03281250e-11  2.78168190e+00  2.78168190e+00 
 4.06781250e-11  2.78168190e+00  2.78168190e+00 
 4.13781250e-11  2.78168190e+00  2.78168190e+00 
 4.23781250e-11  2.78168190e+00  2.78168190e+00 
 4.33781250e-11  2.78168190e+00  2.78168190e+00 
 4.43781250e-11  2.78168190e+00  2.78168190e+00 
 4.53781250e-11  2.78168190e+00  2.78168190e+00 
