 frequency       v(finalp,finaln) v(finalp,finaln)
 1.00000000e+06 -2.07655567e+03 -2.73798856e+01 
 1.02329299e+06 -2.07657226e+03 -2.67436162e+01 
 1.04712855e+06 -2.07658810e+03 -2.61215072e+01 
 1.07151931e+06 -2.07660323e+03 -2.55132300e+01 
 1.09647820e+06 -2.07661767e+03 -2.49184633e+01 
 1.12201845e+06 -2.07663147e+03 -2.43368929e+01 
 1.14815362e+06 -2.07664465e+03 -2.37682115e+01 
 1.17489755e+06 -2.07665723e+03 -2.32121186e+01 
 1.20226443e+06 -2.07666925e+03 -2.26683201e+01 
 1.23026877e+06 -2.07668073e+03 -2.21365288e+01 
 1.25892541e+06 -2.07669169e+03 -2.16164633e+01 
 1.28824955e+06 -2.07670215e+03 -2.11078487e+01 
 1.31825674e+06 -2.07671215e+03 -2.06104160e+01 
 1.34896288e+06 -2.07672170e+03 -2.01239022e+01 
 1.38038426e+06 -2.07673081e+03 -1.96480498e+01 
 1.41253754e+06 -2.07673952e+03 -1.91826071e+01 
 1.44543977e+06 -2.07674783e+03 -1.87273279e+01 
 1.47910839e+06 -2.07675577e+03 -1.82819713e+01 
 1.51356125e+06 -2.07676335e+03 -1.78463016e+01 
 1.54881662e+06 -2.07677060e+03 -1.74200883e+01 
 1.58489319e+06 -2.07677751e+03 -1.70031057e+01 
 1.62181010e+06 -2.07678412e+03 -1.65951331e+01 
 1.65958691e+06 -2.07679042e+03 -1.61959546e+01 
 1.69824365e+06 -2.07679644e+03 -1.58053588e+01 
 1.73780083e+06 -2.07680220e+03 -1.54231390e+01 
 1.77827941e+06 -2.07680769e+03 -1.50490928e+01 
 1.81970086e+06 -2.07681293e+03 -1.46830221e+01 
 1.86208714e+06 -2.07681794e+03 -1.43247331e+01 
 1.90546072e+06 -2.07682273e+03 -1.39740360e+01 
 1.94984460e+06 -2.07682730e+03 -1.36307451e+01 
 1.99526231e+06 -2.07683166e+03 -1.32946786e+01 
 2.04173794e+06 -2.07683582e+03 -1.29656585e+01 
 2.08929613e+06 -2.07683980e+03 -1.26435106e+01 
 2.13796209e+06 -2.07684360e+03 -1.23280640e+01 
 2.18776162e+06 -2.07684723e+03 -1.20191519e+01 
 2.23872114e+06 -2.07685069e+03 -1.17166105e+01 
 2.29086765e+06 -2.07685400e+03 -1.14202795e+01 
 2.34422882e+06 -2.07685716e+03 -1.11300019e+01 
 2.39883292e+06 -2.07686018e+03 -1.08456241e+01 
 2.45470892e+06 -2.07686306e+03 -1.05669952e+01 
 2.51188643e+06 -2.07686581e+03 -1.02939676e+01 
 2.57039578e+06 -2.07686844e+03 -1.00263967e+01 
 2.63026799e+06 -2.07687095e+03 -9.76414077e+00 
 2.69153480e+06 -2.07687334e+03 -9.50706073e+00 
 2.75422870e+06 -2.07687563e+03 -9.25502039e+00 
 2.81838293e+06 -2.07687781e+03 -9.00788618e+00 
 2.88403150e+06 -2.07687990e+03 -8.76552714e+00 
 2.95120923e+06 -2.07688189e+03 -8.52781482e+00 
 3.01995172e+06 -2.07688379e+03 -8.29462325e+00 
 3.09029543e+06 -2.07688560e+03 -8.06582885e+00 
 3.16227766e+06 -2.07688734e+03 -7.84131034e+00 
 3.23593657e+06 -2.07688899e+03 -7.62094873e+00 
 3.31131121e+06 -2.07689057e+03 -7.40462723e+00 
 3.38844156e+06 -2.07689208e+03 -7.19223119e+00 
 3.46736850e+06 -2.07689352e+03 -6.98364802e+00 
 3.54813389e+06 -2.07689489e+03 -6.77876717e+00 
 3.63078055e+06 -2.07689621e+03 -6.57748004e+00 
 3.71535229e+06 -2.07689746e+03 -6.37967994e+00 
 3.80189396e+06 -2.07689865e+03 -6.18526201e+00 
 3.89045145e+06 -2.07689980e+03 -5.99412321e+00 
 3.98107171e+06 -2.07690089e+03 -5.80616220e+00 
 4.07380278e+06 -2.07690193e+03 -5.62127937e+00 
 4.16869383e+06 -2.07690292e+03 -5.43937669e+00 
 4.26579519e+06 -2.07690386e+03 -5.26035775e+00 
 4.36515832e+06 -2.07690477e+03 -5.08412764e+00 
 4.46683592e+06 -2.07690563e+03 -4.91059295e+00 
 4.57088190e+06 -2.07690645e+03 -4.73966167e+00 
 4.67735141e+06 -2.07690724e+03 -4.57124319e+00 
 4.78630092e+06 -2.07690798e+03 -4.40524823e+00 
 4.89778819e+06 -2.07690870e+03 -4.24158879e+00 
 5.01187234e+06 -2.07690938e+03 -4.08017810e+00 
 5.12861384e+06 -2.07691003e+03 -3.92093060e+00 
 5.24807460e+06 -2.07691065e+03 -3.76376185e+00 
