 frequency       v(finalp,finaln) v(finalp,finaln)
 1.00000000e+06 -6.49571260e+03 -4.08425546e+03 
 1.02329299e+06 -6.55858486e+03 -4.01459466e+03 
 1.04712855e+06 -6.61907291e+03 -3.94543860e+03 
 1.07151931e+06 -6.67724931e+03 -3.87684534e+03 
 1.09647820e+06 -6.73318612e+03 -3.80886829e+03 
 1.12201845e+06 -6.78695466e+03 -3.74155644e+03 
 1.14815362e+06 -6.83862545e+03 -3.67495454e+03 
 1.17489755e+06 -6.88826798e+03 -3.60910336e+03 
 1.20226443e+06 -6.93595068e+03 -3.54403990e+03 
 1.23026877e+06 -6.98174079e+03 -3.47979756e+03 
 1.25892541e+06 -7.02570425e+03 -3.41640641e+03 
 1.28824955e+06 -7.06790567e+03 -3.35389332e+03 
 1.31825674e+06 -7.10840825e+03 -3.29228219e+03 
 1.34896288e+06 -7.14727372e+03 -3.23159413e+03 
 1.38038426e+06 -7.18456235e+03 -3.17184761e+03 
 1.41253754e+06 -7.22033286e+03 -3.11305865e+03 
 1.44543977e+06 -7.25464245e+03 -3.05524099e+03 
 1.47910839e+06 -7.28754674e+03 -2.99840622e+03 
 1.51356125e+06 -7.31909982e+03 -2.94256393e+03 
 1.54881662e+06 -7.34935420e+03 -2.88772187e+03 
 1.58489319e+06 -7.37836085e+03 -2.83388606e+03 
 1.62181010e+06 -7.40616918e+03 -2.78106096e+03 
 1.65958691e+06 -7.43282709e+03 -2.72924952e+03 
 1.69824365e+06 -7.45838096e+03 -2.67845335e+03 
 1.73780083e+06 -7.48287570e+03 -2.62867281e+03 
 1.77827941e+06 -7.50635472e+03 -2.57990711e+03 
 1.81970086e+06 -7.52886003e+03 -2.53215442e+03 
 1.86208714e+06 -7.55043222e+03 -2.48541194e+03 
 1.90546072e+06 -7.57111051e+03 -2.43967599e+03 
 1.94984460e+06 -7.59093278e+03 -2.39494209e+03 
 1.99526231e+06 -7.60993558e+03 -2.35120507e+03 
 2.04173794e+06 -7.62815421e+03 -2.30845908e+03 
 2.08929613e+06 -7.64562274e+03 -2.26669771e+03 
 2.13796209e+06 -7.66237400e+03 -2.22591400e+03 
 2.18776162e+06 -7.67843971e+03 -2.18610057e+03 
