 time            v(bufinp)       v(bufinn)       v(outp)         v(outn)        
 0.00000000e+00  2.23500000e+00  2.23500000e+00  2.70519415e+00  2.70519415e+00 
 2.00000000e-14  2.23502309e+00  2.23497691e+00  2.70521323e+00  2.70517507e+00 
 4.00000000e-14  2.23504618e+00  2.23495382e+00  2.70523003e+00  2.70515828e+00 
 8.00000000e-14  2.23509236e+00  2.23490764e+00  2.70526036e+00  2.70512794e+00 
 1.60000000e-13  2.23518473e+00  2.23481527e+00  2.70531210e+00  2.70507621e+00 
 3.20000000e-13  2.23536945e+00  2.23463055e+00  2.70538792e+00  2.70500038e+00 
 6.40000000e-13  2.23573890e+00  2.23426110e+00  2.70541548e+00  2.70497280e+00 
 1.28000000e-12  2.23647779e+00  2.23352221e+00  2.70496241e+00  2.70542564e+00 
 2.56000000e-12  2.23795548e+00  2.23204452e+00  2.70257376e+00  2.70781305e+00 
 4.56000000e-12  2.24026396e+00  2.22973604e+00  2.69681731e+00  2.71356632e+00 
 6.56000000e-12  2.24257161e+00  2.22742839e+00  2.69004557e+00  2.72033374e+00 
 8.56000000e-12  2.24487806e+00  2.22512194e+00  2.68300121e+00  2.72737121e+00 
 1.05600000e-11  2.24718295e+00  2.22281705e+00  2.67594435e+00  2.73441745e+00 
 1.25600000e-11  2.24948592e+00  2.22051408e+00  2.66892709e+00  2.74142009e+00 
 1.45600000e-11  2.25178660e+00  2.21821340e+00  2.66194141e+00  2.74838732e+00 
 1.65600000e-11  2.25408463e+00  2.21591537e+00  2.65497345e+00  2.75533312e+00 
 1.85600000e-11  2.25637964e+00  2.21362036e+00  2.64801572e+00  2.76226505e+00 
 2.05600000e-11  2.25867128e+00  2.21132872e+00  2.64106615e+00  2.76918514e+00 
 2.25600000e-11  2.26095918e+00  2.20904082e+00  2.63412538e+00  2.77609275e+00 
 2.45600000e-11  2.26324298e+00  2.20675702e+00  2.62719492e+00  2.78298633e+00 
 2.65600000e-11  2.26552232e+00  2.20447768e+00  2.62027689e+00  2.78986372e+00 
 2.85600000e-11  2.26779685e+00  2.20220315e+00  2.61337256e+00  2.79672366e+00 
 3.05600000e-11  2.27006619e+00  2.19993381e+00  2.60648279e+00  2.80356532e+00 
 3.25600000e-11  2.27233000e+00  2.19767000e+00  2.59961008e+00  2.81038618e+00 
 3.45600000e-11  2.27458791e+00  2.19541209e+00  2.59275524e+00  2.81718539e+00 
 3.65600000e-11  2.27683957e+00  2.19316043e+00  2.58591997e+00  2.82396131e+00 
 3.85600000e-11  2.27908462e+00  2.19091538e+00  2.57910595e+00  2.83071219e+00 
 4.05600000e-11  2.28132271e+00  2.18867729e+00  2.57231521e+00  2.83743593e+00 
 4.25600000e-11  2.28355349e+00  2.18644651e+00  2.56554788e+00  2.84413250e+00 
 4.45600000e-11  2.28577660e+00  2.18422340e+00  2.55880560e+00  2.85080031e+00 
 4.65600000e-11  2.28799169e+00  2.18200831e+00  2.55209080e+00  2.85743678e+00 
 4.85600000e-11  2.29019841e+00  2.17980159e+00  2.54540428e+00  2.86404112e+00 
 5.05600000e-11  2.29239642e+00  2.17760358e+00  2.53874695e+00  2.87061252e+00 
 5.25600000e-11  2.29458536e+00  2.17541464e+00  2.53212019e+00  2.87714961e+00 
 5.45600000e-11  2.29676489e+00  2.17323511e+00  2.52552545e+00  2.88365095e+00 
 5.65600000e-11  2.29893467e+00  2.17106533e+00  2.51896413e+00  2.89011511e+00 
