 time            v(detp)         v(detn)        
 0.00000000e+00  7.17023642e-01  7.17023642e-01 
 1.00000000e-14  7.17266091e-01  7.17081224e-01 
 2.00000000e-14  7.17497033e-01  7.17124743e-01 
 4.00000000e-14  7.17929429e-01  7.17171676e-01 
 8.00000000e-14  7.18691623e-01  7.17104970e-01 
 1.60000000e-13  7.20175801e-01  7.16733643e-01 
 3.20000000e-13  7.23094525e-01  7.15487710e-01 
 6.40000000e-13  7.28448415e-01  7.12103625e-01 
 1.00735564e-12  7.33762350e-01  7.08186067e-01 
 1.74206691e-12  7.41535222e-01  7.04020433e-01 
 2.42131047e-12  7.45537668e-01  7.07623208e-01 
 2.98203218e-12  7.46258609e-01  7.20536715e-01 
 3.56234595e-12  7.44361425e-01  7.45817893e-01 
 4.17811355e-12  7.40283513e-01  7.81342477e-01 
 4.93902533e-12  7.32955827e-01  8.31596771e-01 
 5.68395164e-12  7.23589019e-01  8.84468438e-01 
 6.35630609e-12  7.13359872e-01  9.33939369e-01 
 7.13297326e-12  6.99354896e-01  9.91883172e-01 
 7.94599551e-12  6.82446267e-01  1.05196965e+00 
 8.94599551e-12  6.59604127e-01  1.12111932e+00 
 9.94599551e-12  6.37042497e-01  1.17757588e+00 
 1.09459955e-11  6.17838050e-01  1.21192573e+00 
 1.19459955e-11  6.04538518e-01  1.21644149e+00 
 1.29459955e-11  5.98721509e-01  1.18749067e+00 
 1.38847080e-11  6.00733277e-01  1.13083929e+00 
 1.48847080e-11  6.10886651e-01  1.04470668e+00 
 1.58847080e-11  6.27863848e-01  9.50590113e-01 
 1.68847080e-11  6.50692940e-01  8.76423657e-01 
 1.75978194e-11  6.77898849e-01  8.38367630e-01 
 1.82885643e-11  7.20907214e-01  8.10551237e-01 
 1.90590379e-11  7.76540592e-01  7.87804313e-01 
 2.00590379e-11  8.52069791e-01  7.64800450e-01 
 2.09821864e-11  9.23487916e-01  7.45482801e-01 
 2.18627197e-11  9.92579217e-01  7.26171528e-01 
 2.28154146e-11  1.06790354e+00  7.02798699e-01 
 2.38154146e-11  1.14638428e+00  6.75281769e-01 
 2.48154146e-11  1.21989682e+00  6.46177622e-01 
 2.58154146e-11  1.27804355e+00  6.19041432e-01 
 2.66593135e-11  1.30632067e+00  6.00631520e-01 
 2.73210514e-11  1.31127921e+00  5.90403242e-01 
 2.79765982e-11  1.29959410e+00  5.84391493e-01 
 2.86128549e-11  1.27249894e+00  5.82601302e-01 
 2.93935354e-11  1.21997977e+00  5.85606887e-01 
 3.02885456e-11  1.13867199e+00  5.95859615e-01 
 3.10144997e-11  1.06096123e+00  6.09608513e-01 
 3.18654765e-11  9.70756090e-01  6.31062343e-01 
 3.28654765e-11  8.88953263e-01  6.69427727e-01 
 3.38654765e-11  8.31519877e-01  7.36841761e-01 
 3.48654765e-11  7.92571177e-01  8.13007598e-01 
 3.58652708e-11  7.63104008e-01  8.91261486e-01 
 3.67913332e-11  7.38566880e-01  9.64709132e-01 
 3.77913332e-11  7.11414532e-01  1.04456616e+00 
 3.87913332e-11  6.82384931e-01  1.12361069e+00 
 3.97913332e-11  6.52547894e-01  1.19697581e+00 
 4.07913332e-11  6.25314867e-01  1.25389815e+00 
 4.17913332e-11  6.04481217e-01  1.28232585e+00 
 4.27913332e-11  5.92477935e-01  1.27487966e+00 
 4.37913332e-11  5.90281091e-01  1.23059964e+00 
 4.46066253e-11  5.95991745e-01  1.17012964e+00 
 4.54531962e-11  6.08966678e-01  1.08993671e+00 
 4.62741202e-11  6.28554758e-01  1.00409775e+00 
 4.71265062e-11  6.59075483e-01  9.26866016e-01 
 4.80271375e-11  7.16556066e-01  8.64752403e-01 
 4.90271375e-11  7.90728389e-01  8.17207432e-01 
 5.00271375e-11  8.67531524e-01  7.83670120e-01 
 5.08389424e-11  9.30816372e-01  7.61530153e-01 
 5.16375202e-11  9.93693384e-01  7.40893351e-01 
 5.24052666e-11  1.05461791e+00  7.20474372e-01 
 5.34052666e-11  1.13425941e+00  6.91664096e-01 
 5.44052666e-11  1.21243760e+00  6.60669536e-01 
 5.50813015e-11  1.26187374e+00  6.39594122e-01 
 5.56618957e-11  1.29901036e+00  6.22511991e-01 
 5.63730565e-11  1.33258114e+00  6.04230853e-01 
 5.71285019e-11  1.34903106e+00  5.89482606e-01 
 5.75361600e-11  1.34875804e+00  5.84150941e-01 
 5.79201895e-11  1.34230444e+00  5.80897377e-01 
 5.82772878e-11  1.33093460e+00  5.79366854e-01 
 5.86901126e-11  1.31163879e+00  5.79206133e-01 
 5.91410107e-11  1.28359373e+00  5.80965696e-01 
 5.96895144e-11  1.24085765e+00  5.85801681e-01 
 6.03691989e-11  1.17741013e+00  5.95979341e-01 
 6.11362439e-11  1.09663918e+00  6.13482498e-01 
 6.18447209e-11  1.01953325e+00  6.36864863e-01 
