 time            v(finalp)       v(finaln)      
 0.00000000e+00  2.72714083e+00  2.72714083e+00 
 1.00000000e-14  2.72714083e+00  2.72714083e+00 
 2.00000000e-14  2.72714083e+00  2.72714083e+00 
 4.00000000e-14  2.72714083e+00  2.72714083e+00 
 8.00000000e-14  2.72714083e+00  2.72714083e+00 
 1.60000000e-13  2.72714083e+00  2.72714083e+00 
 3.20000000e-13  2.72714083e+00  2.72714083e+00 
 6.40000000e-13  2.72714082e+00  2.72714082e+00 
 1.28000000e-12  2.72714077e+00  2.72714077e+00 
 2.28000000e-12  2.72714071e+00  2.72714071e+00 
 3.28000000e-12  2.72714076e+00  2.72714076e+00 
 4.28000000e-12  2.72714090e+00  2.72714090e+00 
 5.28000000e-12  2.72714101e+00  2.72714101e+00 
 6.28000000e-12  2.72714095e+00  2.72714095e+00 
 7.28000000e-12  2.72714061e+00  2.72714060e+00 
 8.28000000e-12  2.72713997e+00  2.72713997e+00 
 9.28000000e-12  2.72713920e+00  2.72713920e+00 
 1.02800000e-11  2.72713867e+00  2.72713866e+00 
 1.12800000e-11  2.72713894e+00  2.72713893e+00 
 1.22800000e-11  2.72714071e+00  2.72714071e+00 
 1.32800000e-11  2.72714470e+00  2.72714469e+00 
 1.42800000e-11  2.72715136e+00  2.72715135e+00 
 1.52800000e-11  2.72716075e+00  2.72716074e+00 
 1.62800000e-11  2.72717233e+00  2.72717233e+00 
 1.72800000e-11  2.72718494e+00  2.72718496e+00 
 1.82800000e-11  2.72719691e+00  2.72719695e+00 
 1.92800000e-11  2.72720627e+00  2.72720635e+00 
 2.02800000e-11  2.72721109e+00  2.72721121e+00 
 2.12800000e-11  2.72720978e+00  2.72720995e+00 
 2.22800000e-11  2.72720138e+00  2.72720163e+00 
 2.32800000e-11  2.72718580e+00  2.72718613e+00 
 2.42800000e-11  2.72716380e+00  2.72716422e+00 
 2.52800000e-11  2.72713696e+00  2.72713749e+00 
 2.62800000e-11  2.72710750e+00  2.72710813e+00 
 2.72800000e-11  2.72707799e+00  2.72707874e+00 
 2.82800000e-11  2.72705108e+00  2.72705194e+00 
 2.92800000e-11  2.72702921e+00  2.72703017e+00 
 3.02800000e-11  2.72701433e+00  2.72701539e+00 
 3.12800000e-11  2.72700777e+00  2.72700892e+00 
 3.22800000e-11  2.72701011e+00  2.72701133e+00 
 3.32800000e-11  2.72702114e+00  2.72702242e+00 
 3.42800000e-11  2.72703995e+00  2.72704128e+00 
 3.52800000e-11  2.72706503e+00  2.72706638e+00 
 3.62800000e-11  2.72709442e+00  2.72709577e+00 
 3.72800000e-11  2.72712588e+00  2.72712722e+00 
 3.81400000e-11  2.72715295e+00  2.72715427e+00 
 3.90000000e-11  2.72717851e+00  2.72717979e+00 
 3.91000000e-11  2.72718136e+00  2.72718263e+00 
 3.93000000e-11  2.72718693e+00  2.72718820e+00 
 3.96500000e-11  2.72719626e+00  2.72719750e+00 
 4.00000000e-11  2.72720494e+00  2.72720617e+00 
 4.00700000e-11  2.72720659e+00  2.72720781e+00 
 4.02100000e-11  2.72720981e+00  2.72721102e+00 
 4.04900000e-11  2.72721590e+00  2.72721710e+00 
 4.10500000e-11  2.72722655e+00  2.72722771e+00 
 4.20500000e-11  2.72724009e+00  2.72724118e+00 
 4.30500000e-11  2.72724638e+00  2.72724739e+00 
 4.40500000e-11  2.72724548e+00  2.72724641e+00 
 4.50500000e-11  2.72723787e+00  2.72723871e+00 
 4.60500000e-11  2.72722439e+00  2.72722516e+00 
 4.70500000e-11  2.72720626e+00  2.72720696e+00 
 4.80500000e-11  2.72718497e+00  2.72718561e+00 
 4.90500000e-11  2.72716220e+00  2.72716278e+00 
 5.00500000e-11  2.72713970e+00  2.72714023e+00 
 5.10500000e-11  2.72711921e+00  2.72711971e+00 
 5.20500000e-11  2.72710228e+00  2.72710275e+00 
 5.30500000e-11  2.72709015e+00  2.72709060e+00 
 5.40500000e-11  2.72708357e+00  2.72708402e+00 
 5.50500000e-11  2.72708272e+00  2.72708318e+00 
 5.60500000e-11  2.72708716e+00  2.72708762e+00 
 5.70500000e-11  2.72709584e+00  2.72709633e+00 
 5.80500000e-11  2.72710728e+00  2.72710780e+00 
 5.90500000e-11  2.72711975e+00  2.72712030e+00 
 6.00500000e-11  2.72713150e+00  2.72713210e+00 
 6.10500000e-11  2.72714101e+00  2.72714166e+00 
 6.20500000e-11  2.72714720e+00  2.72714790e+00 
 6.30500000e-11  2.72714950e+00  2.72715026e+00 
 6.40500000e-11  2.72714794e+00  2.72714876e+00 
 6.50500000e-11  2.72714305e+00  2.72714393e+00 
 6.60500000e-11  2.72713580e+00  2.72713673e+00 
 6.70500000e-11  2.72712741e+00  2.72712838e+00 
 6.80500000e-11  2.72711915e+00  2.72712017e+00 
 6.90500000e-11  2.72711226e+00  2.72711331e+00 
 7.00500000e-11  2.72710772e+00  2.72710878e+00 
 7.10500000e-11  2.72710619e+00  2.72710727e+00 
 7.20500000e-11  2.72710799e+00  2.72710906e+00 
 7.30500000e-11  2.72711304e+00  2.72711410e+00 
 7.40500000e-11  2.72712092e+00  2.72712195e+00 
 7.50500000e-11  2.72713094e+00  2.72713193e+00 
 7.60500000e-11  2.72714221e+00  2.72714316e+00 
 7.70500000e-11  2.72715376e+00  2.72715466e+00 
 7.80500000e-11  2.72716461e+00  2.72716545e+00 
 7.90000000e-11  2.72717349e+00  2.72717427e+00 
 7.91000000e-11  2.72717433e+00  2.72717510e+00 
 7.93000000e-11  2.72717594e+00  2.72717670e+00 
 7.96500000e-11  2.72717851e+00  2.72717925e+00 
 8.00000000e-11  2.72718074e+00  2.72718146e+00 
 8.00700000e-11  2.72718114e+00  2.72718185e+00 
 8.02100000e-11  2.72718190e+00  2.72718261e+00 
 8.04900000e-11  2.72718325e+00  2.72718393e+00 
 8.10500000e-11  2.72718520e+00  2.72718585e+00 
 8.20500000e-11  2.72718622e+00  2.72718681e+00 
 8.30500000e-11  2.72718418e+00  2.72718471e+00 
 8.40500000e-11  2.72717937e+00  2.72717985e+00 
 8.50500000e-11  2.72717219e+00  2.72717262e+00 
 8.60500000e-11  2.72716319e+00  2.72716358e+00 
 8.70500000e-11  2.72715303e+00  2.72715339e+00 
 8.80500000e-11  2.72714245e+00  2.72714279e+00 
 8.90500000e-11  2.72713226e+00  2.72713258e+00 
 9.00500000e-11  2.72712325e+00  2.72712356e+00 
 9.10500000e-11  2.72711619e+00  2.72711650e+00 
 9.20500000e-11  2.72711173e+00  2.72711205e+00 
 9.30500000e-11  2.72711035e+00  2.72711067e+00 
 9.40500000e-11  2.72711222e+00  2.72711256e+00 
 9.50500000e-11  2.72711717e+00  2.72711752e+00 
 9.60500000e-11  2.72712463e+00  2.72712501e+00 
 9.70500000e-11  2.72713371e+00  2.72713411e+00 
 9.80500000e-11  2.72714323e+00  2.72714366e+00 
 9.90500000e-11  2.72715193e+00  2.72715240e+00 
 1.00050000e-10  2.72715862e+00  2.72715912e+00 
 1.01050000e-10  2.72716235e+00  2.72716289e+00 
 1.02050000e-10  2.72716255e+00  2.72716313e+00 
 1.03050000e-10  2.72715912e+00  2.72715974e+00 
 1.04050000e-10  2.72715241e+00  2.72715307e+00 
 1.05050000e-10  2.72714320e+00  2.72714390e+00 
 1.06050000e-10  2.72713255e+00  2.72713328e+00 
 1.07050000e-10  2.72712168e+00  2.72712244e+00 
 1.08050000e-10  2.72711183e+00  2.72711261e+00 
 1.09050000e-10  2.72710409e+00  2.72710489e+00 
 1.10050000e-10  2.72709931e+00  2.72710012e+00 
 1.11050000e-10  2.72709802e+00  2.72709882e+00 
 1.12050000e-10  2.72710036e+00  2.72710116e+00 
 1.13050000e-10  2.72710614e+00  2.72710692e+00 
 1.14050000e-10  2.72711485e+00  2.72711561e+00 
 1.15050000e-10  2.72712573e+00  2.72712646e+00 
 1.16050000e-10  2.72713786e+00  2.72713855e+00 
 1.17050000e-10  2.72715023e+00  2.72715087e+00 
 1.18050000e-10  2.72716186e+00  2.72716247e+00 
 1.19000000e-10  2.72717146e+00  2.72717201e+00 
 1.19100000e-10  2.72717237e+00  2.72717292e+00 
 1.19300000e-10  2.72717413e+00  2.72717467e+00 
 1.19650000e-10  2.72717696e+00  2.72717748e+00 
 1.20000000e-10  2.72717944e+00  2.72717995e+00 
 1.20070000e-10  2.72717989e+00  2.72718040e+00 
 1.20210000e-10  2.72718076e+00  2.72718125e+00 
 1.20490000e-10  2.72718231e+00  2.72718279e+00 
 1.21050000e-10  2.72718467e+00  2.72718512e+00 
 1.22050000e-10  2.72718641e+00  2.72718682e+00 
 1.23050000e-10  2.72718507e+00  2.72718547e+00 
 1.24050000e-10  2.72718079e+00  2.72718146e+00 
 1.25050000e-10  2.72717329e+00  2.72717586e+00 
 1.26050000e-10  2.72716069e+00  2.72717162e+00 
 1.27050000e-10  2.72713678e+00  2.72717622e+00 
 1.28050000e-10  2.72708601e+00  2.72720663e+00 
 1.29050000e-10  2.72697581e+00  2.72729693e+00 
 1.30050000e-10  2.72674627e+00  2.72750853e+00 
 1.31050000e-10  2.72629837e+00  2.72794188e+00 
 1.32050000e-10  2.72548269e+00  2.72874769e+00 
 1.33050000e-10  2.72409124e+00  2.73013500e+00 
 1.34050000e-10  2.72185511e+00  2.73237343e+00 
 1.35050000e-10  2.71845003e+00  2.73578736e+00 
 1.36050000e-10  2.71351106e+00  2.74074069e+00 
 1.37050000e-10  2.70665617e+00  2.74761219e+00 
 1.38050000e-10  2.69751608e+00  2.75676309e+00 
 1.39050000e-10  2.68577108e+00  2.76850104e+00 
 1.40050000e-10  2.67118637e+00  2.78304043e+00 
 1.41050000e-10  2.65364423e+00  2.80046761e+00 
 1.42050000e-10  2.63316805e+00  2.82071568e+00 
 1.43050000e-10  2.60993422e+00  2.84355293e+00 
 1.44050000e-10  2.58426680e+00  2.86859246e+00 
 1.45050000e-10  2.55661895e+00  2.89531421e+00 
 1.46050000e-10  2.52754149e+00  2.92311166e+00 
 1.47050000e-10  2.49764767e+00  2.95134207e+00 
