 frequency       v(finalp,finaln) v(finalp,finaln)
 1.00000000e+06 -2.00005310e+03 -6.52596527e+01 
 1.02329299e+06 -2.00012699e+03 -6.45991252e+01 
 1.04712855e+06 -2.00019972e+03 -6.39726824e+01 
 1.07151931e+06 -2.00027143e+03 -6.33799949e+01 
 1.09647820e+06 -2.00034229e+03 -6.28207501e+01 
 1.12201845e+06 -2.00041243e+03 -6.22946526e+01 
 1.14815362e+06 -2.00048201e+03 -6.18014239e+01 
 1.17489755e+06 -2.00055117e+03 -6.13408019e+01 
 1.20226443e+06 -2.00062007e+03 -6.09125411e+01 
 1.23026877e+06 -2.00068884e+03 -6.05164125e+01 
 1.25892541e+06 -2.00075764e+03 -6.01522033e+01 
 1.28824955e+06 -2.00082659e+03 -5.98197168e+01 
 1.31825674e+06 -2.00089587e+03 -5.95187722e+01 
 1.34896288e+06 -2.00096560e+03 -5.92492049e+01 
 1.38038426e+06 -2.00103593e+03 -5.90108658e+01 
 1.41253754e+06 -2.00110702e+03 -5.88036215e+01 
 1.44543977e+06 -2.00117901e+03 -5.86273544e+01 
 1.47910839e+06 -2.00125206e+03 -5.84819620e+01 
 1.51356125e+06 -2.00132632e+03 -5.83673575e+01 
 1.54881662e+06 -2.00140194e+03 -5.82834693e+01 
 1.58489319e+06 -2.00147909e+03 -5.82302409e+01 
 1.62181010e+06 -2.00155792e+03 -5.82076309e+01 
 1.65958691e+06 -2.00163861e+03 -5.82156130e+01 
 1.69824365e+06 -2.00172132e+03 -5.82541758e+01 
 1.73780083e+06 -2.00180623e+03 -5.83233229e+01 
 1.77827941e+06 -2.00189351e+03 -5.84230725e+01 
 1.81970086e+06 -2.00198334e+03 -5.85534576e+01 
 1.86208714e+06 -2.00207593e+03 -5.87145258e+01 
 1.90546072e+06 -2.00217145e+03 -5.89063392e+01 
 1.94984460e+06 -2.00227011e+03 -5.91289745e+01 
 1.99526231e+06 -2.00237212e+03 -5.93825228e+01 
 2.04173794e+06 -2.00247769e+03 -5.96670894e+01 
 2.08929613e+06 -2.00258703e+03 -5.99827941e+01 
 2.13796209e+06 -2.00270039e+03 -6.03297705e+01 
 2.18776162e+06 -2.00281798e+03 -6.07081666e+01 
 2.23872114e+06 -2.00294007e+03 -6.11181442e+01 
 2.29086765e+06 -2.00306690e+03 -6.15598792e+01 
 2.34422882e+06 -2.00319873e+03 -6.20335611e+01 
 2.39883292e+06 -2.00333584e+03 -6.25393933e+01 
 2.45470892e+06 -2.00347852e+03 -6.30775925e+01 
 2.51188643e+06 -2.00362706e+03 -6.36483891e+01 
 2.57039578e+06 -2.00378176e+03 -6.42520268e+01 
 2.63026799e+06 -2.00394294e+03 -6.48887623e+01 
 2.69153480e+06 -2.00411094e+03 -6.55588657e+01 
 2.75422870e+06 -2.00428611e+03 -6.62626196e+01 
 2.81838293e+06 -2.00446880e+03 -6.70003195e+01 
 2.88403150e+06 -2.00465939e+03 -6.77722733e+01 
 2.95120923e+06 -2.00485826e+03 -6.85788013e+01 
 3.01995172e+06 -2.00506583e+03 -6.94202357e+01 
 3.09029543e+06 -2.00528252e+03 -7.02969206e+01 
 3.16227766e+06 -2.00550877e+03 -7.12092116e+01 
 3.23593657e+06 -2.00574504e+03 -7.21574753e+01 
 3.31131121e+06 -2.00599181e+03 -7.31420896e+01 
 3.38844156e+06 -2.00624958e+03 -7.41634426e+01 
 3.46736850e+06 -2.00651887e+03 -7.52219325e+01 
 3.54813389e+06 -2.00680022e+03 -7.63179676e+01 
 3.63078055e+06 -2.00709420e+03 -7.74519650e+01 
 3.71535229e+06 -2.00740140e+03 -7.86243507e+01 
 3.80189396e+06 -2.00772242e+03 -7.98355591e+01 
 3.89045145e+06 -2.00805792e+03 -8.10860320e+01 
 3.98107171e+06 -2.00840856e+03 -8.23762183e+01 
 4.07380278e+06 -2.00877502e+03 -8.37065730e+01 
 4.16869383e+06 -2.00915804e+03 -8.50775570e+01 
 4.26579519e+06 -2.00955838e+03 -8.64896355e+01 
 4.36515832e+06 -2.00997680e+03 -8.79432780e+01 
 4.46683592e+06 -2.01041414e+03 -8.94389567e+01 
 4.57088190e+06 -2.01087123e+03 -9.09771458e+01 
 4.67735141e+06 -2.01134897e+03 -9.25583203e+01 
 4.78630092e+06 -2.01184828e+03 -9.41829549e+01 
 4.89778819e+06 -2.01237012e+03 -9.58515227e+01 
 5.01187234e+06 -2.01291548e+03 -9.75644941e+01 
 5.12861384e+06 -2.01348539e+03 -9.93223348e+01 
 5.24807460e+06 -2.01408094e+03 -1.01125505e+02 
 5.37031796e+06 -2.01470325e+03 -1.02974457e+02 
 5.49540874e+06 -2.01535347e+03 -1.04869633e+02 
 5.62341325e+06 -2.01603281e+03 -1.06811467e+02 
 5.75439937e+06 -2.01674254e+03 -1.08800376e+02 
 5.88843655e+06 -2.01748394e+03 -1.10836764e+02 
 6.02559586e+06 -2.01825837e+03 -1.12921016e+02 
 6.16595002e+06 -2.01906722e+03 -1.15053499e+02 
 6.30957344e+06 -2.01991194e+03 -1.17234556e+02 
 6.45654229e+06 -2.02079404e+03 -1.19464504e+02 
 6.60693448e+06 -2.02171507e+03 -1.21743633e+02 
 6.76082975e+06 -2.02267663e+03 -1.24072202e+02 
 6.91830971e+06 -2.02368039e+03 -1.26450434e+02 
 7.07945784e+06 -2.02472806e+03 -1.28878516e+02 
