 time            v(bufinp)       v(bufinn)       v(outp)         v(outn)        
 0.00000000e+00  2.23500000e+00  2.23500000e+00  2.79881566e+00  2.79881566e+00 
 2.00000000e-14  2.23501398e+00  2.23498602e+00  2.79882642e+00  2.79880490e+00 
 4.00000000e-14  2.23502796e+00  2.23497204e+00  2.79883534e+00  2.79879598e+00 
 8.00000000e-14  2.23505592e+00  2.23494408e+00  2.79885058e+00  2.79878075e+00 
 1.60000000e-13  2.23511184e+00  2.23488816e+00  2.79887417e+00  2.79875715e+00 
 3.20000000e-13  2.23522368e+00  2.23477632e+00  2.79890267e+00  2.79872865e+00 
 6.40000000e-13  2.23544736e+00  2.23455264e+00  2.79889140e+00  2.79873990e+00 
 1.28000000e-12  2.23589472e+00  2.23410528e+00  2.79865030e+00  2.79898075e+00 
 2.56000000e-12  2.23678937e+00  2.23321063e+00  2.79771113e+00  2.79991760e+00 
 4.56000000e-12  2.23818702e+00  2.23181298e+00  2.79585065e+00  2.80176775e+00 
 6.56000000e-12  2.23958417e+00  2.23041583e+00  2.79389525e+00  2.80370369e+00 
 8.56000000e-12  2.24098059e+00  2.22901941e+00  2.79195082e+00  2.80561920e+00 
 1.05600000e-11  2.24237607e+00  2.22762393e+00  2.79002109e+00  2.80751072e+00 
 1.25600000e-11  2.24377038e+00  2.22622962e+00  2.78809512e+00  2.80938949e+00 
 1.45600000e-11  2.24516331e+00  2.22483669e+00  2.78616744e+00  2.81126125e+00 
 1.65600000e-11  2.24655464e+00  2.22344536e+00  2.78423704e+00  2.81312726e+00 
 1.85600000e-11  2.24794414e+00  2.22205586e+00  2.78230421e+00  2.81498746e+00 
 2.05600000e-11  2.24933159e+00  2.22066841e+00  2.78036983e+00  2.81684125e+00 
 2.25600000e-11  2.25071678e+00  2.21928322e+00  2.77843454e+00  2.81868823e+00 
 2.45600000e-11  2.25209949e+00  2.21790051e+00  2.77649880e+00  2.82052820e+00 
 2.65600000e-11  2.25347950e+00  2.21652050e+00  2.77456302e+00  2.82236097e+00 
 2.85600000e-11  2.25485659e+00  2.21514341e+00  2.77262767e+00  2.82418634e+00 
 3.05600000e-11  2.25623055e+00  2.21376945e+00  2.77069358e+00  2.82600379e+00 
 3.25600000e-11  2.25760115e+00  2.21239885e+00  2.76876078e+00  2.82781342e+00 
 3.45600000e-11  2.25896819e+00  2.21103181e+00  2.76682959e+00  2.82961516e+00 
 3.65600000e-11  2.26033144e+00  2.20966856e+00  2.76490055e+00  2.83140869e+00 
 3.85600000e-11  2.26169069e+00  2.20830931e+00  2.76297418e+00  2.83319375e+00 
 4.05600000e-11  2.26304572e+00  2.20695428e+00  2.76105095e+00  2.83497009e+00 
 4.25600000e-11  2.26439633e+00  2.20560367e+00  2.75913131e+00  2.83673752e+00 
 4.45600000e-11  2.26574229e+00  2.20425771e+00  2.75721570e+00  2.83849582e+00 
 4.65600000e-11  2.26708340e+00  2.20291660e+00  2.75530453e+00  2.84024478e+00 
 4.85600000e-11  2.26841945e+00  2.20158055e+00  2.75339826e+00  2.84198421e+00 
 5.05600000e-11  2.26975021e+00  2.20024979e+00  2.75149730e+00  2.84371389e+00 
 5.25600000e-11  2.27107549e+00  2.19892451e+00  2.74960208e+00  2.84543362e+00 
 5.45600000e-11  2.27239507e+00  2.19760493e+00  2.74771303e+00  2.84714320e+00 
 5.65600000e-11  2.27370875e+00  2.19629125e+00  2.74583056e+00  2.84884243e+00 
 5.85600000e-11  2.27501631e+00  2.19498369e+00  2.74395510e+00  2.85053112e+00 
 6.05600000e-11  2.27631756e+00  2.19368244e+00  2.74208705e+00  2.85220906e+00 
 6.25600000e-11  2.27761228e+00  2.19238772e+00  2.74022682e+00  2.85387606e+00 
 6.45600000e-11  2.27890027e+00  2.19109973e+00  2.73837483e+00  2.85553193e+00 
 6.65600000e-11  2.28018133e+00  2.18981867e+00  2.73653148e+00  2.85717647e+00 
 6.85600000e-11  2.28145525e+00  2.18854475e+00  2.73469717e+00  2.85880951e+00 
 7.05600000e-11  2.28272184e+00  2.18727816e+00  2.73287228e+00  2.86043084e+00 
 7.25600000e-11  2.28398089e+00  2.18601911e+00  2.73105723e+00  2.86204029e+00 
 7.45600000e-11  2.28523221e+00  2.18476779e+00  2.72925240e+00  2.86363768e+00 
 7.65600000e-11  2.28647560e+00  2.18352440e+00  2.72745818e+00  2.86522282e+00 
 7.85600000e-11  2.28771085e+00  2.18228915e+00  2.72567495e+00  2.86679553e+00 
 8.05600000e-11  2.28893779e+00  2.18106221e+00  2.72390309e+00  2.86835564e+00 
 8.25600000e-11  2.29015620e+00  2.17984380e+00  2.72214298e+00  2.86990298e+00 
 8.45600000e-11  2.29136591e+00  2.17863409e+00  2.72039499e+00  2.87143738e+00 
 8.65600000e-11  2.29256672e+00  2.17743328e+00  2.71865949e+00  2.87295866e+00 
 8.85600000e-11  2.29375843e+00  2.17624157e+00  2.71693685e+00  2.87446667e+00 
 9.05600000e-11  2.29494087e+00  2.17505913e+00  2.71522742e+00  2.87596123e+00 
 9.25600000e-11  2.29611384e+00  2.17388616e+00  2.71353158e+00  2.87744220e+00 
