 time            v(detp)         v(detn)        
 0.00000000e+00  2.81974012e+00  2.81974028e+00 
 1.00000000e-14  2.81980424e+00  2.81971460e+00 
 2.00000000e-14  2.81984520e+00  2.81969147e+00 
 4.00000000e-14  2.81989918e+00  2.81964093e+00 
 8.00000000e-14  2.81995221e+00  2.81952028e+00 
 1.60000000e-13  2.82004627e+00  2.81926261e+00 
 3.20000000e-13  2.82023497e+00  2.81886177e+00 
 6.40000000e-13  2.82015488e+00  2.81864694e+00 
 1.28000000e-12  2.81730378e+00  2.82043462e+00 
 1.98815011e-12  2.80990023e+00  2.82551144e+00 
 2.78510945e-12  2.79652730e+00  2.83437714e+00 
 3.78510945e-12  2.77324567e+00  2.84842246e+00 
 4.78510945e-12  2.74360392e+00  2.86329328e+00 
 5.78510945e-12  2.70899139e+00  2.87698172e+00 
 6.78510945e-12  2.67276284e+00  2.88864778e+00 
 7.78510945e-12  2.63899472e+00  2.89837401e+00 
 8.78510945e-12  2.61105753e+00  2.90659547e+00 
 9.78510945e-12  2.59103108e+00  2.91370566e+00 
 1.07851095e-11  2.57965700e+00  2.91994575e+00 
 1.17851095e-11  2.57666488e+00  2.92546293e+00 
 1.27851095e-11  2.58111520e+00  2.93037870e+00 
 1.37851095e-11  2.59178804e+00  2.93486472e+00 
 1.47851095e-11  2.60755433e+00  2.93904018e+00 
 1.57851095e-11  2.62753339e+00  2.94212028e+00 
 1.67851095e-11  2.65129773e+00  2.94135989e+00 
 1.77851095e-11  2.67908878e+00  2.93371820e+00 
 1.87851095e-11  2.71115504e+00  2.91940322e+00 
 1.97851095e-11  2.74657664e+00  2.90119393e+00 
 2.07851095e-11  2.78206850e+00  2.88211602e+00 
 2.17851095e-11  2.81126742e+00  2.86462067e+00 
 2.27851095e-11  2.82989502e+00  2.84958405e+00 
 2.37851095e-11  2.83991536e+00  2.83578327e+00 
 2.47851095e-11  2.84485926e+00  2.82133034e+00 
 2.57851095e-11  2.84645663e+00  2.80466607e+00 
 2.67851095e-11  2.84518138e+00  2.78601420e+00 
 2.77851095e-11  2.84263258e+00  2.76917243e+00 
 2.87851095e-11  2.83981309e+00  2.75778385e+00 
 2.97851095e-11  2.83610344e+00  2.75277434e+00 
