 time            v(finalp)       v(finaln)      
 0.00000000e+00  2.80107304e+00  2.80107304e+00 
 1.00000000e-14  2.80107305e+00  2.80107304e+00 
 2.00000000e-14  2.80107305e+00  2.80107304e+00 
 4.00000000e-14  2.80107305e+00  2.80107304e+00 
 8.00000000e-14  2.80107305e+00  2.80107303e+00 
 1.60000000e-13  2.80107303e+00  2.80107300e+00 
 3.20000000e-13  2.80107299e+00  2.80107297e+00 
 6.40000000e-13  2.80107302e+00  2.80107305e+00 
 1.28000000e-12  2.80107321e+00  2.80107327e+00 
 2.28000000e-12  2.80107245e+00  2.80107224e+00 
 3.28000000e-12  2.80107042e+00  2.80106980e+00 
 4.28000000e-12  2.80106810e+00  2.80106722e+00 
 5.28000000e-12  2.80106645e+00  2.80106560e+00 
 6.28000000e-12  2.80106600e+00  2.80106538e+00 
 7.28000000e-12  2.80106674e+00  2.80106647e+00 
 8.28000000e-12  2.80106839e+00  2.80106848e+00 
 9.28000000e-12  2.80107054e+00  2.80107094e+00 
 1.02800000e-11  2.80107283e+00  2.80107342e+00 
 1.12800000e-11  2.80107494e+00  2.80107563e+00 
 1.22800000e-11  2.80107668e+00  2.80107737e+00 
 1.32800000e-11  2.80107795e+00  2.80107859e+00 
 1.42800000e-11  2.80107873e+00  2.80107927e+00 
 1.52800000e-11  2.80107906e+00  2.80107948e+00 
 1.62800000e-11  2.80107899e+00  2.80107930e+00 
 1.72800000e-11  2.80107862e+00  2.80107882e+00 
 1.82800000e-11  2.80107804e+00  2.80107813e+00 
 1.92800000e-11  2.80107731e+00  2.80107733e+00 
 2.02800000e-11  2.80107652e+00  2.80107648e+00 
 2.12800000e-11  2.80107572e+00  2.80107563e+00 
 2.22800000e-11  2.80107496e+00  2.80107484e+00 
 2.32800000e-11  2.80107426e+00  2.80107413e+00 
 2.42800000e-11  2.80107365e+00  2.80107351e+00 
 2.52800000e-11  2.80107313e+00  2.80107300e+00 
 2.62800000e-11  2.80107271e+00  2.80107258e+00 
 2.72800000e-11  2.80107238e+00  2.80107227e+00 
 2.82800000e-11  2.80107215e+00  2.80107205e+00 
 2.92800000e-11  2.80107199e+00  2.80107191e+00 
 3.02800000e-11  2.80107189e+00  2.80107183e+00 
 3.12800000e-11  2.80107185e+00  2.80107180e+00 
 3.22800000e-11  2.80107186e+00  2.80107182e+00 
 3.32800000e-11  2.80107189e+00  2.80107186e+00 
 3.42800000e-11  2.80107195e+00  2.80107193e+00 
 3.52800000e-11  2.80107203e+00  2.80107201e+00 
 3.62800000e-11  2.80107211e+00  2.80107210e+00 
 3.72800000e-11  2.80107219e+00  2.80107219e+00 
 3.81400000e-11  2.80107226e+00  2.80107227e+00 
 3.90000000e-11  2.80107233e+00  2.80107233e+00 
 3.91000000e-11  2.80107234e+00  2.80107234e+00 
 3.93000000e-11  2.80107235e+00  2.80107235e+00 
 3.96500000e-11  2.80107237e+00  2.80107238e+00 
 4.00000000e-11  2.80107242e+00  2.80107243e+00 
 4.00700000e-11  2.80107243e+00  2.80107245e+00 
 4.02100000e-11  2.80107245e+00  2.80107246e+00 
 4.04900000e-11  2.80107247e+00  2.80107248e+00 
 4.10500000e-11  2.80107242e+00  2.80107240e+00 
 4.20500000e-11  2.80107182e+00  2.80107163e+00 
 4.30500000e-11  2.80107072e+00  2.80107034e+00 
 4.40500000e-11  2.80106963e+00  2.80106916e+00 
 4.50500000e-11  2.80106902e+00  2.80106861e+00 
 4.60500000e-11  2.80106912e+00  2.80106888e+00 
 4.70500000e-11  2.80106988e+00  2.80106986e+00 
 4.80500000e-11  2.80107110e+00  2.80107129e+00 
 4.90500000e-11  2.80107252e+00  2.80107287e+00 
 5.00500000e-11  2.80107390e+00  2.80107435e+00 
 5.10500000e-11  2.80107508e+00  2.80107556e+00 
 5.20500000e-11  2.80107596e+00  2.80107640e+00 
 5.30500000e-11  2.80107649e+00  2.80107687e+00 
 5.40500000e-11  2.80107669e+00  2.80107699e+00 
 5.50500000e-11  2.80107660e+00  2.80107681e+00 
 5.60500000e-11  2.80107629e+00  2.80107640e+00 
 5.70500000e-11  2.80107581e+00  2.80107585e+00 
 5.80500000e-11  2.80107524e+00  2.80107521e+00 
 5.90500000e-11  2.80107462e+00  2.80107455e+00 
 6.00500000e-11  2.80107400e+00  2.80107390e+00 
 6.10500000e-11  2.80107342e+00  2.80107330e+00 
 6.20500000e-11  2.80107291e+00  2.80107278e+00 
 6.30500000e-11  2.80107247e+00  2.80107234e+00 
 6.40500000e-11  2.80107211e+00  2.80107199e+00 
 6.50500000e-11  2.80107184e+00  2.80107172e+00 
 6.60500000e-11  2.80107164e+00  2.80107154e+00 
 6.70500000e-11  2.80107152e+00  2.80107143e+00 
 6.80500000e-11  2.80107146e+00  2.80107139e+00 
 6.90500000e-11  2.80107145e+00  2.80107139e+00 
 7.00500000e-11  2.80107148e+00  2.80107144e+00 
 7.10500000e-11  2.80107155e+00  2.80107151e+00 
 7.20500000e-11  2.80107163e+00  2.80107161e+00 
 7.30500000e-11  2.80107173e+00  2.80107172e+00 
 7.40500000e-11  2.80107184e+00  2.80107183e+00 
 7.50500000e-11  2.80107195e+00  2.80107195e+00 
 7.60500000e-11  2.80107206e+00  2.80107206e+00 
 7.70500000e-11  2.80107216e+00  2.80107216e+00 
 7.80500000e-11  2.80107225e+00  2.80107226e+00 
 7.90000000e-11  2.80107233e+00  2.80107234e+00 
 7.91000000e-11  2.80107234e+00  2.80107235e+00 
 7.93000000e-11  2.80107235e+00  2.80107235e+00 
 7.96500000e-11  2.80107238e+00  2.80107239e+00 
 8.00000000e-11  2.80107243e+00  2.80107245e+00 
 8.00700000e-11  2.80107245e+00  2.80107247e+00 
 8.02100000e-11  2.80107247e+00  2.80107249e+00 
 8.04900000e-11  2.80107249e+00  2.80107251e+00 
 8.10500000e-11  2.80107246e+00  2.80107245e+00 
 8.20500000e-11  2.80107189e+00  2.80107171e+00 
 8.30500000e-11  2.80107082e+00  2.80107044e+00 
 8.40500000e-11  2.80106973e+00  2.80106926e+00 
 8.50500000e-11  2.80106911e+00  2.80106870e+00 
 8.60500000e-11  2.80106918e+00  2.80106894e+00 
 8.70500000e-11  2.80106992e+00  2.80106989e+00 
 8.80500000e-11  2.80107110e+00  2.80107128e+00 
 8.90500000e-11  2.80107250e+00  2.80107284e+00 
 9.00500000e-11  2.80107386e+00  2.80107430e+00 
 9.10500000e-11  2.80107503e+00  2.80107549e+00 
 9.20500000e-11  2.80107591e+00  2.80107634e+00 
 9.30500000e-11  2.80107644e+00  2.80107682e+00 
 9.40500000e-11  2.80107666e+00  2.80107695e+00 
 9.50500000e-11  2.80107659e+00  2.80107679e+00 
 9.60500000e-11  2.80107630e+00  2.80107642e+00 
 9.70500000e-11  2.80107585e+00  2.80107589e+00 
 9.80500000e-11  2.80107529e+00  2.80107528e+00 
 9.90500000e-11  2.80107470e+00  2.80107463e+00 
 1.00050000e-10  2.80107411e+00  2.80107401e+00 
 1.01050000e-10  2.80107355e+00  2.80107343e+00 
 1.02050000e-10  2.80107305e+00  2.80107293e+00 
 1.03050000e-10  2.80107263e+00  2.80107250e+00 
 1.04050000e-10  2.80107229e+00  2.80107217e+00 
 1.05050000e-10  2.80107203e+00  2.80107191e+00 
 1.06050000e-10  2.80107184e+00  2.80107174e+00 
 1.07050000e-10  2.80107173e+00  2.80107164e+00 
 1.08050000e-10  2.80107167e+00  2.80107160e+00 
 1.09050000e-10  2.80107167e+00  2.80107161e+00 
