 frequency       v(finalp,finaln) v(finalp,finaln)
 1.00000000e+06 -1.70210907e+03 -3.84371608e+02 
 1.02329299e+06 -1.70505808e+03 -3.76064887e+02 
 1.04712855e+06 -1.70788032e+03 -3.67916921e+02 
 1.07151931e+06 -1.71058100e+03 -3.59925988e+02 
 1.09647820e+06 -1.71316511e+03 -3.52090292e+02 
 1.12201845e+06 -1.71563747e+03 -3.44407963e+02 
 1.14815362e+06 -1.71800272e+03 -3.36877073e+02 
 1.17489755e+06 -1.72026532e+03 -3.29495638e+02 
 1.20226443e+06 -1.72242956e+03 -3.22261625e+02 
 1.23026877e+06 -1.72449957e+03 -3.15172963e+02 
 1.25892541e+06 -1.72647930e+03 -3.08227546e+02 
 1.28824955e+06 -1.72837258e+03 -3.01423238e+02 
 1.31825674e+06 -1.73018305e+03 -2.94757881e+02 
 1.34896288e+06 -1.73191424e+03 -2.88229295e+02 
 1.38038426e+06 -1.73356952e+03 -2.81835291e+02 
 1.41253754e+06 -1.73515213e+03 -2.75573666e+02 
 1.44543977e+06 -1.73666518e+03 -2.69442212e+02 
 1.47910839e+06 -1.73811164e+03 -2.63438719e+02 
 1.51356125e+06 -1.73949439e+03 -2.57560979e+02 
 1.54881662e+06 -1.74081616e+03 -2.51806786e+02 
 1.58489319e+06 -1.74207958e+03 -2.46173940e+02 
 1.62181010e+06 -1.74328718e+03 -2.40660254e+02 
 1.65958691e+06 -1.74444137e+03 -2.35263548e+02 
 1.69824365e+06 -1.74554447e+03 -2.29981659e+02 
 1.73780083e+06 -1.74659869e+03 -2.24812439e+02 
 1.77827941e+06 -1.74760617e+03 -2.19753755e+02 
 1.81970086e+06 -1.74856894e+03 -2.14803496e+02 
 1.86208714e+06 -1.74948895e+03 -2.09959570e+02 
 1.90546072e+06 -1.75036807e+03 -2.05219907e+02 
 1.94984460e+06 -1.75120808e+03 -2.00582459e+02 
 1.99526231e+06 -1.75201070e+03 -1.96045202e+02 
