 time            v(bufinp)       v(bufinn)       v(outp)         v(outn)        
 0.00000000e+00  2.23500000e+00  2.23500000e+00  2.66442025e+00  2.66442025e+00 
 2.00000000e-14  2.23502309e+00  2.23497691e+00  2.66443974e+00  2.66440077e+00 
 4.00000000e-14  2.23504618e+00  2.23495382e+00  2.66445720e+00  2.66438331e+00 
 8.00000000e-14  2.23509236e+00  2.23490764e+00  2.66448916e+00  2.66435135e+00 
 1.60000000e-13  2.23518473e+00  2.23481527e+00  2.66454453e+00  2.66429597e+00 
 3.20000000e-13  2.23536945e+00  2.23463055e+00  2.66462823e+00  2.66421228e+00 
 6.40000000e-13  2.23573890e+00  2.23426110e+00  2.66468017e+00  2.66416030e+00 
 1.28000000e-12  2.23647779e+00  2.23352221e+00  2.66435631e+00  2.66448360e+00 
 2.56000000e-12  2.23795548e+00  2.23204452e+00  2.66274783e+00  2.66608783e+00 
 3.92610272e-12  2.23953236e+00  2.23046764e+00  2.66057540e+00  2.66825097e+00 
 5.61359291e-12  2.24147975e+00  2.22852025e+00  2.65800640e+00  2.67080298e+00 
 7.48876577e-12  2.24364285e+00  2.22635715e+00  2.65540872e+00  2.67337777e+00 
 9.48876577e-12  2.24594863e+00  2.22405137e+00  2.65274399e+00  2.67601676e+00 
 1.14887658e-11  2.24825267e+00  2.22174733e+00  2.65006171e+00  2.67867331e+00 
 1.34887658e-11  2.25055462e+00  2.21944538e+00  2.64734893e+00  2.68136006e+00 
 1.54887658e-11  2.25285411e+00  2.21714589e+00  2.64463054e+00  2.68405155e+00 
 1.74887658e-11  2.25515079e+00  2.21484921e+00  2.64191934e+00  2.68673482e+00 
 1.94887658e-11  2.25744428e+00  2.21255572e+00  2.63921386e+00  2.68941159e+00 
 2.14887658e-11  2.25973423e+00  2.21026577e+00  2.63651054e+00  2.69208566e+00 
 2.34887658e-11  2.26202027e+00  2.20797973e+00  2.63380816e+00  2.69475826e+00 
 2.54887658e-11  2.26430205e+00  2.20569795e+00  2.63110466e+00  2.69743138e+00 
 2.74887658e-11  2.26657919e+00  2.20342081e+00  2.62839337e+00  2.70011163e+00 
 2.94887658e-11  2.26885136e+00  2.20114864e+00  2.62566142e+00  2.70281178e+00 
 3.14887658e-11  2.27111817e+00  2.19888183e+00  2.62288964e+00  2.70555086e+00 
 3.34887658e-11  2.27337929e+00  2.19662071e+00  2.62005326e+00  2.70835339e+00 
 3.54887658e-11  2.27563434e+00  2.19436566e+00  2.61712477e+00  2.71124651e+00 
 3.74887658e-11  2.27788297e+00  2.19211703e+00  2.61407980e+00  2.71425409e+00 
 3.94887658e-11  2.28012484e+00  2.18987516e+00  2.61090531e+00  2.71738865e+00 
 4.14887658e-11  2.28235958e+00  2.18764042e+00  2.60760693e+00  2.72064408e+00 
 4.34887658e-11  2.28458684e+00  2.18541316e+00  2.60421189e+00  2.72399287e+00 
 4.54887658e-11  2.28680626e+00  2.18319374e+00  2.60076506e+00  2.72739023e+00 
 4.74887658e-11  2.28901751e+00  2.18098249e+00  2.59731811e+00  2.73078497e+00 
 4.94887658e-11  2.29122023e+00  2.17877977e+00  2.59391552e+00  2.73413348e+00 
 5.14887658e-11  2.29341407e+00  2.17658593e+00  2.59058274e+00  2.73741127e+00 
 5.34887658e-11  2.29559869e+00  2.17440131e+00  2.58732179e+00  2.74061719e+00 
 5.54887658e-11  2.29777374e+00  2.17222626e+00  2.58411608e+00  2.74376827e+00 
 5.74887658e-11  2.29993887e+00  2.17006113e+00  2.58094211e+00  2.74688789e+00 
 5.94887658e-11  2.30209375e+00  2.16790625e+00  2.57778250e+00  2.74999296e+00 
 6.14887658e-11  2.30423803e+00  2.16576197e+00  2.57463441e+00  2.75308567e+00 
 6.34887658e-11  2.30637139e+00  2.16362861e+00  2.57151047e+00  2.75615294e+00 
 6.54887658e-11  2.30849347e+00  2.16150653e+00  2.56843325e+00  2.75917215e+00 
 6.74887658e-11  2.31060394e+00  2.15939606e+00  2.56542696e+00  2.76211937e+00 
 6.94887658e-11  2.31270248e+00  2.15729752e+00  2.56251080e+00  2.76497593e+00 
 7.14887658e-11  2.31478875e+00  2.15521125e+00  2.55969577e+00  2.76773128e+00 
 7.34887658e-11  2.31686241e+00  2.15313759e+00  2.55698481e+00  2.77038282e+00 
 7.54887658e-11  2.31892315e+00  2.15107685e+00  2.55437403e+00  2.77293454e+00 
 7.74887658e-11  2.32097064e+00  2.14902936e+00  2.55185372e+00  2.77539615e+00 
 7.94887658e-11  2.32300455e+00  2.14699545e+00  2.54940852e+00  2.77778293e+00 
 8.14887658e-11  2.32502457e+00  2.14497543e+00  2.54701797e+00  2.78011528e+00 
 8.34887658e-11  2.32703037e+00  2.14296963e+00  2.54465852e+00  2.78241661e+00 
 8.54887658e-11  2.32902163e+00  2.14097837e+00  2.54230725e+00  2.78470966e+00 
 8.74887658e-11  2.33099805e+00  2.13900195e+00  2.53994632e+00  2.78701195e+00 
 8.94887658e-11  2.33295931e+00  2.13704069e+00  2.53756646e+00  2.78933241e+00 
 9.14887658e-11  2.33490510e+00  2.13509490e+00  2.53516789e+00  2.79167052e+00 
 9.34887658e-11  2.33683512e+00  2.13316488e+00  2.53275822e+00  2.79401853e+00 
 9.54887658e-11  2.33874905e+00  2.13125095e+00  2.53034814e+00  2.79636578e+00 
 9.74887658e-11  2.34064660e+00  2.12935340e+00  2.52794638e+00  2.79870375e+00 
 9.94887658e-11  2.34252747e+00  2.12747253e+00  2.52555592e+00  2.80102972e+00 
 1.01488766e-10  2.34439136e+00  2.12560864e+00  2.52317256e+00  2.80334811e+00 
 1.03488766e-10  2.34623797e+00  2.12376203e+00  2.52078637e+00  2.80566899e+00 
 1.05488766e-10  2.34806702e+00  2.12193298e+00  2.51838516e+00  2.80800450e+00 
 1.07488766e-10  2.34987822e+00  2.12012178e+00  2.51595882e+00  2.81036462e+00 
 1.09488766e-10  2.35167127e+00  2.11832873e+00  2.51350290e+00  2.81275363e+00 
