 time            v(detp)         v(detn)        
 0.00000000e+00  3.05197449e+00  3.03050386e+00 
 1.00000000e-14  3.05197449e+00  3.03050386e+00 
 2.00000000e-14  3.05197449e+00  3.03050386e+00 
 4.00000000e-14  3.05197449e+00  3.03050386e+00 
 8.00000000e-14  3.05197449e+00  3.03050386e+00 
 1.60000000e-13  3.05197449e+00  3.03050384e+00 
 3.20000000e-13  3.05197448e+00  3.03050298e+00 
 6.40000000e-13  3.05197406e+00  3.03048070e+00 
 1.28000000e-12  3.05195637e+00  3.03002149e+00 
 2.28000000e-12  3.05164665e+00  3.02515343e+00 
 3.28000000e-12  3.05045563e+00  3.01146527e+00 
 4.28000000e-12  3.04789173e+00  2.98972926e+00 
 5.28000000e-12  3.04385964e+00  2.96431162e+00 
 6.28000000e-12  3.03868166e+00  2.93965843e+00 
 7.28000000e-12  3.03287421e+00  2.91853792e+00 
 8.28000000e-12  3.02692123e+00  2.90215571e+00 
 9.28000000e-12  3.02116575e+00  2.89068003e+00 
 1.02800000e-11  3.01580473e+00  2.88367091e+00 
 1.12800000e-11  3.01091400e+00  2.88015393e+00 
 1.22800000e-11  3.00648419e+00  2.87887701e+00 
 1.32800000e-11  3.00246312e+00  2.87875909e+00 
 1.42800000e-11  2.99879291e+00  2.87914611e+00 
 1.52800000e-11  2.99542900e+00  2.87973585e+00 
 1.62800000e-11  2.99233999e+00  2.88036617e+00 
 1.72800000e-11  2.98948348e+00  2.88051583e+00 
 1.82800000e-11  2.98670911e+00  2.87764995e+00 
 1.92800000e-11  2.98370455e+00  2.86794213e+00 
 2.02800000e-11  2.98020916e+00  2.85129100e+00 
 2.12800000e-11  2.97623370e+00  2.83140105e+00 
 2.22800000e-11  2.97203257e+00  2.81251862e+00 
 2.32800000e-11  2.96792065e+00  2.79732797e+00 
 2.42800000e-11  2.96413374e+00  2.78678551e+00 
 2.52800000e-11  2.96078642e+00  2.78064329e+00 
 2.62800000e-11  2.95788604e+00  2.77791489e+00 
 2.72800000e-11  2.95537002e+00  2.77732879e+00 
 2.82800000e-11  2.95314960e+00  2.77782450e+00 
 2.92800000e-11  2.95114430e+00  2.77876618e+00 
 3.02800000e-11  2.94929713e+00  2.77987090e+00 
 3.12800000e-11  2.94757129e+00  2.78097872e+00 
 3.22800000e-11  2.94592415e+00  2.78151090e+00 
 3.32800000e-11  2.94422382e+00  2.77886087e+00 
 3.42800000e-11  2.94222658e+00  2.76935381e+00 
 3.52800000e-11  2.93977556e+00  2.75314092e+00 
 3.62800000e-11  2.93695415e+00  2.73397586e+00 
 3.72800000e-11  2.93402546e+00  2.71598707e+00 
 3.82800000e-11  2.93127207e+00  2.70172115e+00 
 3.92800000e-11  2.92888616e+00  2.69204029e+00 
