 time            v(bufinp)       v(bufinn)       v(outp)         v(outn)        
 0.00000000e+00  1.80000000e+00  1.80000000e+00  2.65065041e+00  2.65065041e+00 
 5.00000000e-15  1.80000491e+00  1.79999509e+00  2.65065278e+00  2.65064805e+00 
 1.00000000e-14  1.80000982e+00  1.79999018e+00  2.65065453e+00  2.65064630e+00 
 2.00000000e-14  1.80001963e+00  1.79998037e+00  2.65065712e+00  2.65064371e+00 
 4.00000000e-14  1.80003927e+00  1.79996073e+00  2.65065892e+00  2.65064191e+00 
 8.00000000e-14  1.80007854e+00  1.79992146e+00  2.65065805e+00  2.65064278e+00 
 1.60000000e-13  1.80015708e+00  1.79984292e+00  2.65065133e+00  2.65064950e+00 
 3.20000000e-13  1.80031416e+00  1.79968584e+00  2.65062509e+00  2.65067573e+00 
 6.40000000e-13  1.80062832e+00  1.79937168e+00  2.65053401e+00  2.65076680e+00 
 1.14000000e-12  1.80111918e+00  1.79888082e+00  2.65032566e+00  2.65097509e+00 
 1.64000000e-12  1.80161004e+00  1.79838996e+00  2.65006714e+00  2.65123349e+00 
 2.14000000e-12  1.80210088e+00  1.79789912e+00  2.64977556e+00  2.65152491e+00 
 2.64000000e-12  1.80259170e+00  1.79740830e+00  2.64945716e+00  2.65184311e+00 
 3.14000000e-12  1.80308249e+00  1.79691751e+00  2.64911506e+00  2.65218492e+00 
 3.64000000e-12  1.80357325e+00  1.79642675e+00  2.64875118e+00  2.65254844e+00 
 4.14000000e-12  1.80406398e+00  1.79593602e+00  2.64836717e+00  2.65293203e+00 
 4.64000000e-12  1.80455466e+00  1.79544534e+00  2.64796437e+00  2.65333433e+00 
 5.14000000e-12  1.80504531e+00  1.79495469e+00  2.64754413e+00  2.65375400e+00 
 5.64000000e-12  1.80553590e+00  1.79446410e+00  2.64710758e+00  2.65418992e+00 
 6.14000000e-12  1.80602644e+00  1.79397356e+00  2.64665588e+00  2.65464091e+00 
 6.64000000e-12  1.80651691e+00  1.79348309e+00  2.64619001e+00  2.65510600e+00 
 7.14000000e-12  1.80700733e+00  1.79299267e+00  2.64571100e+00  2.65558418e+00 
 7.64000000e-12  1.80749767e+00  1.79250233e+00  2.64521968e+00  2.65607459e+00 
 8.14000000e-12  1.80798794e+00  1.79201206e+00  2.64471695e+00  2.65657636e+00 
 8.64000000e-12  1.80847813e+00  1.79152187e+00  2.64420354e+00  2.65708874e+00 
 9.14000000e-12  1.80896824e+00  1.79103176e+00  2.64368022e+00  2.65761098e+00 
 9.64000000e-12  1.80945826e+00  1.79054174e+00  2.64314765e+00  2.65814242e+00 
 1.01400000e-11  1.80994819e+00  1.79005181e+00  2.64260647e+00  2.65868240e+00 
 1.06400000e-11  1.81043802e+00  1.78956198e+00  2.64205727e+00  2.65923036e+00 
 1.11400000e-11  1.81092774e+00  1.78907226e+00  2.64150061e+00  2.65978573e+00 
 1.16400000e-11  1.81141736e+00  1.78858264e+00  2.64093699e+00  2.66034801e+00 
 1.21400000e-11  1.81190686e+00  1.78809314e+00  2.64036692e+00  2.66091670e+00 
 1.26400000e-11  1.81239625e+00  1.78760375e+00  2.63979082e+00  2.66149138e+00 
 1.31400000e-11  1.81288551e+00  1.78711449e+00  2.63920913e+00  2.66207161e+00 
 1.36400000e-11  1.81337465e+00  1.78662535e+00  2.63862222e+00  2.66265702e+00 
 1.41400000e-11  1.81386366e+00  1.78613634e+00  2.63803049e+00  2.66324723e+00 
 1.46400000e-11  1.81435253e+00  1.78564747e+00  2.63743425e+00  2.66384190e+00 
