 time            v(detp)         v(detn)        
 0.00000000e+00  2.28509145e+00  2.28519073e+00 
 2.00000000e-15  2.28509145e+00  2.28519073e+00 
 4.00000000e-15  2.28509145e+00  2.28519073e+00 
 8.00000000e-15  2.28509145e+00  2.28519073e+00 
 1.60000000e-14  2.28509145e+00  2.28519073e+00 
 3.20000000e-14  2.28509145e+00  2.28519074e+00 
 6.40000000e-14  2.28509144e+00  2.28519076e+00 
 1.28000000e-13  2.28509133e+00  2.28519100e+00 
 2.56000000e-13  2.28508759e+00  2.28519341e+00 
 4.56000000e-13  2.28504508e+00  2.28520623e+00 
 6.56000000e-13  2.28490385e+00  2.28523467e+00 
 8.56000000e-13  2.28459559e+00  2.28528415e+00 
 1.05600000e-12  2.28405881e+00  2.28536021e+00 
 1.25600000e-12  2.28324158e+00  2.28546788e+00 
 1.45600000e-12  2.28210348e+00  2.28561182e+00 
 1.65600000e-12  2.28061640e+00  2.28579590e+00 
 1.85600000e-12  2.27876470e+00  2.28602314e+00 
 2.05600000e-12  2.27654469e+00  2.28629554e+00 
 2.25600000e-12  2.27396394e+00  2.28661404e+00 
 2.45600000e-12  2.27104025e+00  2.28697849e+00 
 2.65600000e-12  2.26780046e+00  2.28738768e+00 
 2.85600000e-12  2.26427933e+00  2.28783935e+00 
 3.05600000e-12  2.26051822e+00  2.28833026e+00 
 3.25600000e-12  2.25656387e+00  2.28885626e+00 
 3.45600000e-12  2.25246721e+00  2.28941239e+00 
 3.65600000e-12  2.24828217e+00  2.28999299e+00 
 3.85600000e-12  2.24406454e+00  2.29059176e+00 
 4.05600000e-12  2.23987092e+00  2.29120194e+00 
 4.25600000e-12  2.23575771e+00  2.29181640e+00 
 4.45600000e-12  2.23178016e+00  2.29242779e+00 
 4.65600000e-12  2.22799152e+00  2.29302861e+00 
 4.85600000e-12  2.22444224e+00  2.29361142e+00 
 5.05600000e-12  2.22117929e+00  2.29416890e+00 
 5.25600000e-12  2.21824549e+00  2.29469397e+00 
 5.45600000e-12  2.21567906e+00  2.29517997e+00 
 5.65600000e-12  2.21351310e+00  2.29562067e+00 
 5.85600000e-12  2.21177529e+00  2.29601044e+00 
 6.05600000e-12  2.21048765e+00  2.29634430e+00 
 6.25600000e-12  2.20966637e+00  2.29661802e+00 
 6.45600000e-12  2.20932174e+00  2.29682814e+00 
 6.65600000e-12  2.20945823e+00  2.29697203e+00 
 6.85600000e-12  2.21007461e+00  2.29704795e+00 
 7.05600000e-12  2.21116416e+00  2.29705502e+00 
 7.25600000e-12  2.21271495e+00  2.29699323e+00 
 7.45600000e-12  2.21471026e+00  2.29686341e+00 
 7.65600000e-12  2.21712898e+00  2.29666724e+00 
 7.85600000e-12  2.21994609e+00  2.29640714e+00 
 8.05600000e-12  2.22313317e+00  2.29608625e+00 
 8.25600000e-12  2.22665899e+00  2.29570835e+00 
 8.45600000e-12  2.23049003e+00  2.29527778e+00 
 8.65600000e-12  2.23459101e+00  2.29479933e+00 
