 time            v(bufinp)       v(bufinn)       v(outp)         v(outn)        
 0.00000000e+00  1.80000000e+00  1.80000000e+00  2.69455771e+00  2.69455771e+00 
 5.00000000e-15  1.80000471e+00  1.79999529e+00  2.69455764e+00  2.69455778e+00 
 1.00000000e-14  1.80000942e+00  1.79999058e+00  2.69455754e+00  2.69455788e+00 
 2.00000000e-14  1.80001885e+00  1.79998115e+00  2.69455732e+00  2.69455810e+00 
 4.00000000e-14  1.80003770e+00  1.79996230e+00  2.69455688e+00  2.69455853e+00 
 8.00000000e-14  1.80007540e+00  1.79992460e+00  2.69455623e+00  2.69455919e+00 
 1.60000000e-13  1.80015080e+00  1.79984920e+00  2.69455624e+00  2.69455917e+00 
 3.20000000e-13  1.80030159e+00  1.79969841e+00  2.69456416e+00  2.69455126e+00 
 6.40000000e-13  1.80060318e+00  1.79939682e+00  2.69461919e+00  2.69449621e+00 
 1.14000000e-12  1.80107442e+00  1.79892558e+00  2.69480593e+00  2.69430937e+00 
 1.64000000e-12  1.80154564e+00  1.79845436e+00  2.69508968e+00  2.69402537e+00 
 2.14000000e-12  1.80201684e+00  1.79798316e+00  2.69543989e+00  2.69367483e+00 
 2.64000000e-12  1.80248803e+00  1.79751197e+00  2.69583824e+00  2.69327601e+00 
 3.14000000e-12  1.80295919e+00  1.79704081e+00  2.69627511e+00  2.69283852e+00 
 3.64000000e-12  1.80343032e+00  1.79656968e+00  2.69674461e+00  2.69236826e+00 
 4.14000000e-12  1.80390142e+00  1.79609858e+00  2.69724244e+00  2.69186950e+00 
 4.64000000e-12  1.80437248e+00  1.79562752e+00  2.69776510e+00  2.69134575e+00 
 5.14000000e-12  1.80484349e+00  1.79515651e+00  2.69830960e+00  2.69080002e+00 
 5.64000000e-12  1.80531446e+00  1.79468554e+00  2.69887329e+00  2.69023494e+00 
 6.14000000e-12  1.80578538e+00  1.79421462e+00  2.69945388e+00  2.68965281e+00 
 6.64000000e-12  1.80625624e+00  1.79374376e+00  2.70004931e+00  2.68905569e+00 
 7.14000000e-12  1.80672703e+00  1.79327297e+00  2.70065780e+00  2.68844537e+00 
 7.64000000e-12  1.80719777e+00  1.79280223e+00  2.70127774e+00  2.68782343e+00 
 8.14000000e-12  1.80766843e+00  1.79233157e+00  2.70190776e+00  2.68719127e+00 
 8.64000000e-12  1.80813901e+00  1.79186099e+00  2.70254661e+00  2.68655013e+00 
 9.14000000e-12  1.80860951e+00  1.79139049e+00  2.70319321e+00  2.68590109e+00 
 9.64000000e-12  1.80907993e+00  1.79092007e+00  2.70384662e+00  2.68524511e+00 
 1.01400000e-11  1.80955026e+00  1.79044974e+00  2.70450597e+00  2.68458303e+00 
 1.06400000e-11  1.81002050e+00  1.78997950e+00  2.70517055e+00  2.68391560e+00 
 1.11400000e-11  1.81049063e+00  1.78950937e+00  2.70583969e+00  2.68324347e+00 
 1.16400000e-11  1.81096066e+00  1.78903934e+00  2.70651282e+00  2.68256723e+00 
 1.21400000e-11  1.81143059e+00  1.78856941e+00  2.70718944e+00  2.68188738e+00 
 1.26400000e-11  1.81190040e+00  1.78809960e+00  2.70786909e+00  2.68120438e+00 
 1.31400000e-11  1.81237009e+00  1.78762991e+00  2.70855139e+00  2.68051861e+00 
 1.36400000e-11  1.81283967e+00  1.78716033e+00  2.70923598e+00  2.67983045e+00 
 1.41400000e-11  1.81330911e+00  1.78669089e+00  2.70992257e+00  2.67914018e+00 
 1.46400000e-11  1.81377842e+00  1.78622158e+00  2.71061088e+00  2.67844810e+00 
 1.51400000e-11  1.81424760e+00  1.78575240e+00  2.71130067e+00  2.67775443e+00 
 1.56400000e-11  1.81471664e+00  1.78528336e+00  2.71199174e+00  2.67705941e+00 
 1.61400000e-11  1.81518553e+00  1.78481447e+00  2.71268389e+00  2.67636320e+00 
 1.66400000e-11  1.81565427e+00  1.78434573e+00  2.71337696e+00  2.67566599e+00 
 1.71400000e-11  1.81612286e+00  1.78387714e+00  2.71407081e+00  2.67496792e+00 
 1.76400000e-11  1.81659129e+00  1.78340871e+00  2.71476530e+00  2.67426912e+00 
 1.81400000e-11  1.81705956e+00  1.78294044e+00  2.71546033e+00  2.67356971e+00 
 1.86400000e-11  1.81752765e+00  1.78247235e+00  2.71615579e+00  2.67286980e+00 
 1.91400000e-11  1.81799557e+00  1.78200443e+00  2.71685158e+00  2.67216947e+00 
 1.96400000e-11  1.81846332e+00  1.78153668e+00  2.71754764e+00  2.67146882e+00 
 2.01400000e-11  1.81893088e+00  1.78106912e+00  2.71824389e+00  2.67076790e+00 
 2.06400000e-11  1.81939826e+00  1.78060174e+00  2.71894026e+00  2.67006681e+00 
 2.11400000e-11  1.81986545e+00  1.78013455e+00  2.71963670e+00  2.66936558e+00 
 2.16400000e-11  1.82033244e+00  1.77966756e+00  2.72033316e+00  2.66866427e+00 
 2.21400000e-11  1.82079922e+00  1.77920078e+00  2.72102960e+00  2.66796294e+00 
 2.26400000e-11  1.82126581e+00  1.77873419e+00  2.72172597e+00  2.66726162e+00 
 2.31400000e-11  1.82173218e+00  1.77826782e+00  2.72242223e+00  2.66656036e+00 
 2.36400000e-11  1.82219834e+00  1.77780166e+00  2.72311836e+00  2.66585919e+00 
 2.41400000e-11  1.82266428e+00  1.77733572e+00  2.72381432e+00  2.66515815e+00 
 2.46400000e-11  1.82313000e+00  1.77687000e+00  2.72451009e+00  2.66445725e+00 
 2.51400000e-11  1.82359548e+00  1.77640452e+00  2.72520564e+00  2.66375654e+00 
 2.56400000e-11  1.82406074e+00  1.77593926e+00  2.72590095e+00  2.66305603e+00 
 2.61400000e-11  1.82452576e+00  1.77547424e+00  2.72659600e+00  2.66235574e+00 
 2.66400000e-11  1.82499053e+00  1.77500947e+00  2.72729076e+00  2.66165571e+00 
 2.71400000e-11  1.82545506e+00  1.77454494e+00  2.72798523e+00  2.66095594e+00 
 2.76400000e-11  1.82591934e+00  1.77408066e+00  2.72867938e+00  2.66025647e+00 
 2.81400000e-11  1.82638336e+00  1.77361664e+00  2.72937321e+00  2.65955729e+00 
 2.86400000e-11  1.82684712e+00  1.77315288e+00  2.73006668e+00  2.65885843e+00 
 2.91400000e-11  1.82731062e+00  1.77268938e+00  2.73075980e+00  2.65815991e+00 
 2.96400000e-11  1.82777384e+00  1.77222616e+00  2.73145255e+00  2.65746173e+00 
 3.01400000e-11  1.82823680e+00  1.77176320e+00  2.73214491e+00  2.65676392e+00 
