 time            v(detp)         v(detn)        
 0.00000000e+00  2.82423046e+00  2.82423046e+00 
 2.00000000e-15  2.82423046e+00  2.82423046e+00 
 4.00000000e-15  2.82423046e+00  2.82423046e+00 
 8.00000000e-15  2.82423046e+00  2.82423046e+00 
 1.60000000e-14  2.82423046e+00  2.82423046e+00 
 3.20000000e-14  2.82423046e+00  2.82423046e+00 
 6.40000000e-14  2.82423046e+00  2.82423046e+00 
 1.28000000e-13  2.82423047e+00  2.82423047e+00 
 2.56000000e-13  2.82423047e+00  2.82423051e+00 
 4.56000000e-13  2.82423027e+00  2.82423064e+00 
 6.56000000e-13  2.82422935e+00  2.82423069e+00 
 8.56000000e-13  2.82422711e+00  2.82423040e+00 
 1.05600000e-12  2.82422306e+00  2.82422951e+00 
 1.25600000e-12  2.82421687e+00  2.82422780e+00 
 1.45600000e-12  2.82420833e+00  2.82422508e+00 
 1.65600000e-12  2.82419742e+00  2.82422118e+00 
 1.85600000e-12  2.82418425e+00  2.82421598e+00 
 2.05600000e-12  2.82416910e+00  2.82420942e+00 
 2.25600000e-12  2.82415236e+00  2.82420143e+00 
 2.45600000e-12  2.82413451e+00  2.82419201e+00 
 2.65600000e-12  2.82411612e+00  2.82418114e+00 
 2.85600000e-12  2.82409778e+00  2.82416883e+00 
 3.05600000e-12  2.82408009e+00  2.82415510e+00 
 3.25600000e-12  2.82406364e+00  2.82413998e+00 
 3.45600000e-12  2.82404893e+00  2.82412347e+00 
 3.65600000e-12  2.82403636e+00  2.82410563e+00 
 3.85600000e-12  2.82402619e+00  2.82408649e+00 
 4.05600000e-12  2.82401853e+00  2.82406612e+00 
 4.25600000e-12  2.82401335e+00  2.82404459e+00 
 4.45600000e-12  2.82401053e+00  2.82402198e+00 
 4.65600000e-12  2.82400988e+00  2.82399841e+00 
 4.85600000e-12  2.82401119e+00  2.82397399e+00 
 5.05600000e-12  2.82401425e+00  2.82394883e+00 
 5.25600000e-12  2.82401889e+00  2.82392306e+00 
 5.45600000e-12  2.82402496e+00  2.82389681e+00 
 5.65600000e-12  2.82403236e+00  2.82387022e+00 
 5.85600000e-12  2.82404102e+00  2.82384343e+00 
 6.05600000e-12  2.82405088e+00  2.82381658e+00 
 6.25600000e-12  2.82406191e+00  2.82378978e+00 
 6.45600000e-12  2.82407409e+00  2.82376316e+00 
 6.65600000e-12  2.82408743e+00  2.82373686e+00 
 6.85600000e-12  2.82410192e+00  2.82371097e+00 
 7.05600000e-12  2.82411757e+00  2.82368560e+00 
 7.25600000e-12  2.82413438e+00  2.82366085e+00 
 7.45600000e-12  2.82415238e+00  2.82363682e+00 
 7.65600000e-12  2.82417157e+00  2.82361358e+00 
 7.85600000e-12  2.82419196e+00  2.82359122e+00 
 8.05600000e-12  2.82421356e+00  2.82356981e+00 
 8.25600000e-12  2.82423638e+00  2.82354941e+00 
 8.45600000e-12  2.82426042e+00  2.82353007e+00 
 8.65600000e-12  2.82428570e+00  2.82351187e+00 
 8.85600000e-12  2.82431221e+00  2.82349484e+00 
 9.05600000e-12  2.82433996e+00  2.82347902e+00 
 9.25600000e-12  2.82436895e+00  2.82346447e+00 
 9.45600000e-12  2.82439918e+00  2.82345121e+00 
 9.65600000e-12  2.82443065e+00  2.82343928e+00 
 9.85600000e-12  2.82446334e+00  2.82342871e+00 
 1.00560000e-11  2.82449726e+00  2.82341951e+00 
 1.02560000e-11  2.82453239e+00  2.82341171e+00 
 1.04560000e-11  2.82456871e+00  2.82340532e+00 
 1.06560000e-11  2.82460623e+00  2.82340036e+00 
 1.08560000e-11  2.82464490e+00  2.82339684e+00 
 1.10560000e-11  2.82468472e+00  2.82339476e+00 
 1.12560000e-11  2.82472565e+00  2.82339413e+00 
 1.14560000e-11  2.82476766e+00  2.82339494e+00 
 1.16560000e-11  2.82481071e+00  2.82339719e+00 
 1.18560000e-11  2.82485474e+00  2.82340087e+00 
 1.20560000e-11  2.82489970e+00  2.82340597e+00 
 1.22560000e-11  2.82494550e+00  2.82341247e+00 
 1.24560000e-11  2.82499206e+00  2.82342035e+00 
 1.26560000e-11  2.82503926e+00  2.82342957e+00 
 1.28560000e-11  2.82508694e+00  2.82344010e+00 
 1.30560000e-11  2.82513493e+00  2.82345188e+00 
 1.32560000e-11  2.82518302e+00  2.82346485e+00 
 1.34560000e-11  2.82523094e+00  2.82347894e+00 
 1.36560000e-11  2.82527837e+00  2.82349404e+00 
 1.38560000e-11  2.82532496e+00  2.82351005e+00 
 1.40560000e-11  2.82537030e+00  2.82352681e+00 
 1.42560000e-11  2.82541393e+00  2.82354417e+00 
 1.44560000e-11  2.82545538e+00  2.82356192e+00 
 1.46560000e-11  2.82549414e+00  2.82357984e+00 
 1.48560000e-11  2.82552973e+00  2.82359768e+00 
 1.50560000e-11  2.82556166e+00  2.82361519e+00 
 1.52560000e-11  2.82558950e+00  2.82363209e+00 
 1.54560000e-11  2.82561288e+00  2.82364810e+00 
