 frequency       v(finalp,finaln) v(finalp,finaln) v(v1p,v1n)      v(v1p,v1n)      v(vga1p,vga1n)  v(vga1p,vga1n)  v(v2p,v2n)      v(v2p,v2n)      v(vga2p,vga2n)  v(vga2p,vga2n)  v(bufinp,bufinn) v(bufinp,bufinn) v(outp,outn)    v(outp,outn)   
 1.00000000e+06 -7.98600267e+02  1.51634036e+03 -3.46992214e+02 -2.13917579e+02  3.89773476e+02  2.39458051e+02  1.13680059e+02  3.31632093e+02 -5.56482047e+02 -1.61556055e+03  5.43100951e+02 -1.03111692e+03 -7.98858215e+02  1.51679951e+03 
 1.02329299e+06 -7.68839312e+02  1.58455144e+03 -3.51294256e+02 -2.11639227e+02  3.94582019e+02  2.36888278e+02  1.22640005e+02  3.34166647e+02 -6.00153932e+02 -1.62779259e+03  5.22865698e+02 -1.07750194e+03 -7.69088994e+02  1.58503164e+03 
 1.04712855e+06 -7.35687184e+02  1.65230224e+03 -3.55504685e+02 -2.09299842e+02  3.99287320e+02  2.34250791e+02  1.31675481e+02  3.36413238e+02 -6.44187593e+02 -1.63862004e+03  5.00324482e+02 -1.12357406e+03 -7.35927587e+02  1.65280339e+03 
 1.07151931e+06 -6.99170171e+02  1.71938046e+03 -3.59622077e+02 -2.06903788e+02  4.03887828e+02  2.31550503e+02  1.40770540e+02  3.38370529e+02 -6.88505239e+02 -1.64803682e+03  4.75495174e+02 -1.16918895e+03 -6.99400291e+02  1.71990240e+03 
 1.09647820e+06 -6.59331203e+02  1.78557665e+03 -3.63645262e+02 -2.04455417e+02  4.08382278e+02  2.28792306e+02  1.49909354e+02  3.40038238e+02 -7.33029708e+02 -1.65604197e+03  4.48406967e+02 -1.21420418e+03 -6.59550047e+02  1.78611914e+03 
 1.12201845e+06 -6.16229446e+02  1.85068568e+03 -3.67573318e+02 -2.01959049e+02  4.12769683e+02  2.25981056e+02  1.59076300e+02  3.41417116e+02 -7.77684863e+02 -1.66263958e+03  4.19100087e+02 -1.25848025e+03 -6.16436037e+02  1.85124843e+03 
 1.14815362e+06 -5.69939735e+02  1.91450819e+03 -3.71405563e+02 -1.99418960e+02  4.17049323e+02  2.23121555e+02  1.68256035e+02  3.42508908e+02 -8.22395971e+02 -1.66783856e+03  3.87625421e+02 -1.30188161e+03 -5.70133119e+02  1.91509086e+03 
 1.17489755e+06 -5.20551865e+02  1.97685200e+03 -3.75141544e+02 -1.96839367e+02  4.21220739e+02  2.20218536e+02  1.77433568e+02  3.43316308e+02 -8.67090048e+02 -1.67165246e+03  3.54044027e+02 -1.34427757e+03 -5.20731114e+02  1.97745417e+03 
 1.20226443e+06 -4.68169752e+02  2.03753332e+03 -3.78781034e+02 -1.94224416e+02  4.25283720e+02  2.17276647e+02  1.86594328e+02  3.43842915e+02 -9.11696183e+02 -1.67409921e+03  3.18426563e+02 -1.38554316e+03 -4.68333969e+02  2.03815454e+03 
 1.23026877e+06 -4.12910474e+02  2.09637799e+03 -3.82324012e+02 -1.91578167e+02  4.29238287e+02  2.14300442e+02  1.95724222e+02  3.44093179e+02 -9.56145826e+02 -1.67520089e+03  2.80852638e+02 -1.42555996e+03 -4.13058794e+02  2.09701774e+03 
 1.25892541e+06 -3.54903207e+02  2.15322245e+03 -3.85770659e+02 -1.88904590e+02  4.33084688e+02  2.11294364e+02  2.04809689e+02  3.44072344e+02 -1.00037305e+03 -1.67498342e+03  2.41410091e+02 -1.46421675e+03 -3.55034804e+02  2.15388017e+03 
 1.28824955e+06 -2.94288081e+02  2.20791469e+03 -3.89121347e+02 -1.86207549e+02  4.36823380e+02  2.08262742e+02  2.13837749e+02  3.43786389e+02 -1.04431479e+03 -1.67347629e+03  2.00194204e+02 -1.50141015e+03 -2.94402170e+02  2.20858977e+03 
 1.31825674e+06 -2.31214961e+02  2.26031500e+03 -3.92376622e+02 -1.83490799e+02  4.40455018e+02  2.05209773e+02  2.22796040e+02  3.43241966e+02 -1.08791101e+03 -1.67071225e+03  1.57306884e+02 -1.53704518e+03 -2.31310801e+02  2.26100681e+03 
 1.34896288e+06 -1.65842186e+02  2.31029664e+03 -3.95537197e+02 -1.80757974e+02  4.43980441e+02  2.02139523e+02  2.31672856e+02  3.42446339e+02 -1.13110490e+03 -1.66672702e+03  1.12855798e+02 -1.57103564e+03 -1.65919084e+02  2.31100448e+03 
 1.38038426e+06 -9.83352666e+01  2.35774629e+03 -3.98603941e+02 -1.78012586e+02  4.47400658e+02  1.99055914e+02  2.40457172e+02  3.41407315e+02 -1.17384298e+03 -1.66155894e+03  6.69534900e+01 -1.60330448e+03 -9.83925776e+01  2.35846943e+03 
 1.41253754e+06 -2.88655707e+01  2.40256440e+03 -4.01577862e+02 -1.75258016e+02  4.50716838e+02  1.95962722e+02  2.49138665e+02  3.40133185e+02 -1.21607521e+03 -1.65524866e+03  1.97164864e+01 -1.63378401e+03 -2.89027000e+01  2.40330210e+03 
 1.44543977e+06  4.23909910e+01  2.44466541e+03 -4.04460101e+02 -1.72497512e+02  4.53930293e+02  1.92863571e+02  2.57707732e+02  3.38632658e+02 -1.25775508e+03 -1.64783886e+03 -2.87355965e+01 -1.66241605e+03  4.23745858e+01  2.44541689e+03 
 1.47910839e+06  1.15255264e+02  2.48397783e+03 -4.07251916e+02 -1.69734186e+02  4.57042466e+02  1.89761931e+02  2.66155493e+02  3.36914793e+02 -1.29883961e+03 -1.63937393e+03 -7.82809365e+01 -1.68915199e+03  1.15260072e+02  2.48474230e+03 
 1.51356125e+06  1.89546118e+02  2.52044416e+03 -4.09954677e+02 -1.66971011e+02  4.60054922e+02  1.86661114e+02  2.74473803e+02  3.34988947e+02 -1.33928941e+03 -1.62989962e+03 -1.28796368e+02 -1.71395272e+03  1.89572575e+02  2.52122080e+03 
 1.54881662e+06  2.65081672e+02  2.55402073e+03 -4.12569845e+02 -1.64210819e+02  4.62969330e+02  1.83564275e+02  2.82655242e+02  3.32864707e+02 -1.37906864e+03 -1.61946284e+03 -1.80158214e+02 -1.73678854e+03  2.65130159e+02  2.55480871e+03 
 1.58489319e+06  3.41680463e+02  2.58467738e+03 -4.15098974e+02 -1.61456303e+02  4.65787454e+02  1.80474409e+02  2.90693115e+02  3.30551839e+02 -1.41814499e+03 -1.60811129e+03 -2.32243084e+02 -1.75763896e+03  3.41751309e+02  2.58547587e+03 
 1.62181010e+06  4.19162555e+02  2.61239712e+03 -4.17543688e+02 -1.58710013e+02  4.68511142e+02  1.77394354e+02  2.98581438e+02  3.28060226e+02 -1.45648962e+03 -1.59589327e+03 -2.84928622e+02 -1.77649242e+03  4.19256033e+02  2.61320528e+03 
