 time            v(bufinp)       v(bufinn)       v(outp)         v(outn)        
 0.00000000e+00  1.80000000e+00  1.80000000e+00  2.69238308e+00  2.69238308e+00 
 5.00000000e-15  1.80000628e+00  1.79999372e+00  2.69238564e+00  2.69238053e+00 
 1.00000000e-14  1.80001257e+00  1.79998743e+00  2.69238741e+00  2.69237876e+00 
 2.00000000e-14  1.80002513e+00  1.79997487e+00  2.69238985e+00  2.69237632e+00 
 4.00000000e-14  1.80005027e+00  1.79994973e+00  2.69239108e+00  2.69237508e+00 
 8.00000000e-14  1.80010053e+00  1.79989947e+00  2.69238976e+00  2.69237641e+00 
 1.60000000e-13  1.80020106e+00  1.79979894e+00  2.69238278e+00  2.69238339e+00 
 3.20000000e-13  1.80040212e+00  1.79959788e+00  2.69235482e+00  2.69241134e+00 
 6.40000000e-13  1.80080425e+00  1.79919575e+00  2.69225431e+00  2.69251184e+00 
 1.14000000e-12  1.80143255e+00  1.79856745e+00  2.69201085e+00  2.69275524e+00 
 1.64000000e-12  1.80206085e+00  1.79793915e+00  2.69169036e+00  2.69307561e+00 
 2.14000000e-12  1.80268912e+00  1.79731088e+00  2.69131065e+00  2.69345523e+00 
 2.64000000e-12  1.80331737e+00  1.79668263e+00  2.69088023e+00  2.69388555e+00 
 3.14000000e-12  1.80394558e+00  1.79605442e+00  2.69040473e+00  2.69436093e+00 
 3.64000000e-12  1.80457376e+00  1.79542624e+00  2.68988849e+00  2.69487703e+00 
 4.14000000e-12  1.80520189e+00  1.79479811e+00  2.68933536e+00  2.69543001e+00 
 4.64000000e-12  1.80582997e+00  1.79417003e+00  2.68874870e+00  2.69601652e+00 
 5.14000000e-12  1.80645799e+00  1.79354201e+00  2.68813162e+00  2.69663344e+00 
 5.64000000e-12  1.80708595e+00  1.79291405e+00  2.68748685e+00  2.69727805e+00 
 6.14000000e-12  1.80771384e+00  1.79228616e+00  2.68681697e+00  2.69794776e+00 
 6.64000000e-12  1.80834165e+00  1.79165835e+00  2.68612425e+00  2.69864032e+00 
 7.14000000e-12  1.80896938e+00  1.79103062e+00  2.68541081e+00  2.69935361e+00 
 7.64000000e-12  1.80959702e+00  1.79040298e+00  2.68467852e+00  2.70008574e+00 
 8.14000000e-12  1.81022457e+00  1.78977543e+00  2.68392915e+00  2.70083497e+00 
 8.64000000e-12  1.81085201e+00  1.78914799e+00  2.68316424e+00  2.70159974e+00 
 9.14000000e-12  1.81147935e+00  1.78852065e+00  2.68238525e+00  2.70237859e+00 
