 time            v(detp)         v(detn)        
 0.00000000e+00  2.39423039e+00  2.39423039e+00 
 2.00000000e-15  2.39423039e+00  2.39423039e+00 
 4.00000000e-15  2.39423039e+00  2.39423039e+00 
 8.00000000e-15  2.39423039e+00  2.39423039e+00 
 1.60000000e-14  2.39423040e+00  2.39423039e+00 
 3.20000000e-14  2.39423056e+00  2.39423043e+00 
 6.40000000e-14  2.39423270e+00  2.39423076e+00 
 1.28000000e-13  2.39425633e+00  2.39422719e+00 
 2.56000000e-13  2.39446333e+00  2.39401412e+00 
 4.56000000e-13  2.39546554e+00  2.39151839e+00 
 6.56000000e-13  2.39751810e+00  2.38356485e+00 
 8.56000000e-13  2.40079670e+00  2.36729378e+00 
 1.05600000e-12  2.40533892e+00  2.34121321e+00 
 1.25600000e-12  2.41101483e+00  2.30536711e+00 
 1.45600000e-12  2.41754001e+00  2.26121793e+00 
 1.65600000e-12  2.42448184e+00  2.21131229e+00 
 1.85600000e-12  2.43129503e+00  2.15886027e+00 
 2.05600000e-12  2.43734924e+00  2.10734802e+00 
 2.25600000e-12  2.44195396e+00  2.06029772e+00 
 2.45600000e-12  2.44440484e+00  2.02097329e+00 
 2.65600000e-12  2.44408405e+00  1.99206413e+00 
 2.85600000e-12  2.44061486e+00  1.97538641e+00 
 3.05600000e-12  2.43394886e+00  1.97155492e+00 
 3.25600000e-12  2.42428139e+00  1.97995057e+00 
 3.45600000e-12  2.41191536e+00  1.99904914e+00 
 3.65600000e-12  2.39718284e+00  2.02684729e+00 
 3.85600000e-12  2.38042183e+00  2.06122240e+00 
 4.05600000e-12  2.36196368e+00  2.10017712e+00 
 4.25600000e-12  2.34212855e+00  2.14197000e+00 
 4.45600000e-12  2.32122018e+00  2.18516808e+00 
 4.65600000e-12  2.29952465e+00  2.22864985e+00 
 4.85600000e-12  2.27730970e+00  2.27157939e+00 
 5.05600000e-12  2.25482614e+00  2.31336887e+00 
 5.25600000e-12  2.23230891e+00  2.35363802e+00 
 5.45600000e-12  2.20997883e+00  2.39217659e+00 
 5.65600000e-12  2.18804325e+00  2.42891003e+00 
 5.85600000e-12  2.16669613e+00  2.46386924e+00 
 6.05600000e-12  2.14611609e+00  2.49716210e+00 
 6.25600000e-12  2.12646331e+00  2.52894715e+00 
 6.45600000e-12  2.10787499e+00  2.55940844e+00 
 6.65600000e-12  2.09046133e+00  2.58873340e+00 
 6.85600000e-12  2.07430322e+00  2.61709488e+00 
 7.05600000e-12  2.05945085e+00  2.64463775e+00 
 7.25600000e-12  2.04592573e+00  2.67147177e+00 
 7.45600000e-12  2.03372447e+00  2.69766970e+00 
 7.65600000e-12  2.02282558e+00  2.72327107e+00 
 7.85600000e-12  2.01319416e+00  2.74828731e+00 
 8.05600000e-12  2.00478538e+00  2.77270756e+00 
 8.25600000e-12  1.99754911e+00  2.79650552e+00 
 8.45600000e-12  1.99143244e+00  2.81964491e+00 
 8.65600000e-12  1.98638194e+00  2.84208429e+00 
 8.85600000e-12  1.98234471e+00  2.86378049e+00 
 9.05600000e-12  1.97926937e+00  2.88469138e+00 
 9.25600000e-12  1.97710621e+00  2.90477755e+00 
 9.45600000e-12  1.97580756e+00  2.92400371e+00 
 9.65600000e-12  1.97532762e+00  2.94233942e+00 
 9.85600000e-12  1.97562258e+00  2.95975984e+00 
 1.00560000e-11  1.97665036e+00  2.97624605e+00 
 1.02560000e-11  1.97837065e+00  2.99178564e+00 
 1.04560000e-11  1.98074468e+00  3.00637285e+00 
 1.06560000e-11  1.98373524e+00  3.02000895e+00 
 1.08560000e-11  1.98730647e+00  3.03270226e+00 
 1.10560000e-11  1.99142395e+00  3.04446813e+00 
 1.12560000e-11  1.99605453e+00  3.05532868e+00 
 1.14560000e-11  2.00116653e+00  3.06531227e+00 
 1.16560000e-11  2.00672976e+00  3.07445275e+00 
 1.18560000e-11  2.01271589e+00  3.08278840e+00 
 1.20560000e-11  2.01909897e+00  3.09036064e+00 
 1.22560000e-11  2.02585648e+00  3.09721234e+00 
 1.24560000e-11  2.03297106e+00  3.10338564e+00 
 1.26560000e-11  2.04043340e+00  3.10891901e+00 
 1.28560000e-11  2.04824689e+00  3.11384290e+00 
 1.30560000e-11  2.05643437e+00  3.11817293e+00 
 1.32560000e-11  2.06504698e+00  3.12189892e+00 
 1.34560000e-11  2.07417375e+00  3.12496675e+00 
 1.36560000e-11  2.08394975e+00  3.12724873e+00 
 1.38560000e-11  2.09456128e+00  3.12849623e+00 
 1.40560000e-11  2.10624912e+00  3.12826785e+00 
 1.42560000e-11  2.11931348e+00  3.12583061e+00 
 1.44560000e-11  2.13412185e+00  3.12004442e+00 
 1.46560000e-11  2.15111425e+00  3.10926567e+00 
 1.48560000e-11  2.17079254e+00  3.09133393e+00 
 1.50560000e-11  2.19367859e+00  3.06371201e+00 
 1.52560000e-11  2.22023281e+00  3.02381548e+00 
 1.54560000e-11  2.25073130e+00  2.96951121e+00 
 1.56560000e-11  2.28509578e+00  2.89971902e+00 
 1.58560000e-11  2.32269162e+00  2.81495486e+00 
 1.60560000e-11  2.36226021e+00  2.71755968e+00 
 1.62560000e-11  2.40216778e+00  2.61144993e+00 
 1.64560000e-11  2.44088343e+00  2.50123923e+00 
 1.66560000e-11  2.47725036e+00  2.39133679e+00 
 1.68560000e-11  2.51051764e+00  2.28553711e+00 
 1.70560000e-11  2.54019200e+00  2.18679542e+00 
 1.72560000e-11  2.56595141e+00  2.09734410e+00 
 1.74560000e-11  2.58757881e+00  2.01892866e+00 
 1.76560000e-11  2.60484091e+00  1.95294834e+00 
 1.78560000e-11  2.61744697e+00  1.90059412e+00 
 1.80560000e-11  2.62506742e+00  1.86288397e+00 
 1.82560000e-11  2.62748369e+00  1.84051186e+00 
 1.84560000e-11  2.62474663e+00  1.83349235e+00 
 1.86560000e-11  2.61719530e+00  1.84092486e+00 
 1.88560000e-11  2.60532437e+00  1.86105641e+00 
 1.90560000e-11  2.58967105e+00  1.89158563e+00 
 1.92560000e-11  2.57076883e+00  1.93006109e+00 
 1.94560000e-11  2.54913031e+00  1.97415766e+00 
 1.96560000e-11  2.52524228e+00  2.02182760e+00 
 1.98560000e-11  2.49955924e+00  2.07136090e+00 
 2.00560000e-11  2.47250116e+00  2.12139323e+00 
 2.02560000e-11  2.44445206e+00  2.17088246e+00 
 2.04560000e-11  2.41576218e+00  2.21907110e+00 
 2.06560000e-11  2.38675121e+00  2.26544487e+00 
 2.08560000e-11  2.35771369e+00  2.30969402e+00 
 2.10560000e-11  2.32892515e+00  2.35168032e+00 
 2.12560000e-11  2.30064742e+00  2.39140706e+00 
 2.14560000e-11  2.27313283e+00  2.42899468e+00 
 2.16560000e-11  2.24662414e+00  2.46465531e+00 
 2.18560000e-11  2.22134830e+00  2.49866165e+00 
 2.20560000e-11  2.19750485e+00  2.53131230e+00 
 2.22560000e-11  2.17525217e+00  2.56289497e+00 
 2.24560000e-11  2.15469753e+00  2.59365465e+00 
 2.26560000e-11  2.13589415e+00  2.62377248e+00 
 2.28560000e-11  2.11884603e+00  2.65335802e+00 
 2.30560000e-11  2.10351815e+00  2.68245320e+00 
 2.32560000e-11  2.08984840e+00  2.71104429e+00 
 2.34560000e-11  2.07775886e+00  2.73907729e+00 
 2.36560000e-11  2.06716451e+00  2.76647317e+00 
 2.38560000e-11  2.05797927e+00  2.79314088e+00 
 2.40560000e-11  2.05011953e+00  2.81898723e+00 
 2.42560000e-11  2.04350592e+00  2.84392376e+00 
 2.44560000e-11  2.03806392e+00  2.86787114e+00 
 2.46560000e-11  2.03372380e+00  2.89076164e+00 
 2.48560000e-11  2.03042030e+00  2.91254035e+00 
 2.50560000e-11  2.02809215e+00  2.93316559e+00 
 2.52560000e-11  2.02668164e+00  2.95260882e+00 
 2.54560000e-11  2.02613422e+00  2.97085428e+00 
 2.56560000e-11  2.02639814e+00  2.98789844e+00 
 2.58560000e-11  2.02742423e+00  3.00374939e+00 
 2.60560000e-11  2.02916569e+00  3.01842599e+00 
 2.62560000e-11  2.03157798e+00  3.03195694e+00 
 2.64560000e-11  2.03461882e+00  3.04437962e+00 
 2.66560000e-11  2.03824829e+00  3.05573873e+00 
 2.68560000e-11  2.04242916e+00  3.06608468e+00 
 2.70560000e-11  2.04712756e+00  3.07547173e+00 
 2.72560000e-11  2.05231415e+00  3.08395573e+00 
 2.74560000e-11  2.05796626e+00  3.09159138e+00 
 2.76560000e-11  2.06407129e+00  3.09842850e+00 
 2.78560000e-11  2.07063206e+00  3.10450663e+00 
 2.80560000e-11  2.07767442e+00  3.10984670e+00 
 2.82560000e-11  2.08525649e+00  3.11443766e+00 
 2.84560000e-11  2.09347798e+00  3.11821450e+00 
 2.86560000e-11  2.10248721e+00  3.12102278e+00 
 2.88560000e-11  2.11248521e+00  3.12256275e+00 
 2.90560000e-11  2.12372926e+00  3.12230733e+00 
 2.92560000e-11  2.13653890e+00  3.11939467e+00 
 2.94560000e-11  2.15130394e+00  3.11251381e+00 
 2.96560000e-11  2.16848539e+00  3.09983045e+00 
 2.98560000e-11  2.18859411e+00  3.07902374e+00 
 3.00560000e-11  2.21213311e+00  3.04749690e+00 
 3.02560000e-11  2.23949664e+00  3.00277964e+00 
 3.04560000e-11  2.27082157e+00  2.94308604e+00 
 3.06560000e-11  2.30578959e+00  2.86792718e+00 
 3.08560000e-11  2.34346316e+00  2.77852941e+00 
 3.10560000e-11  2.38238164e+00  2.67786163e+00 
 3.12560000e-11  2.42094984e+00  2.57017791e+00 
 3.14560000e-11  2.45784718e+00  2.46008046e+00 
 3.16560000e-11  2.49213526e+00  2.35172792e+00 
 3.18560000e-11  2.52321974e+00  2.24858517e+00 
 3.20560000e-11  2.55070272e+00  2.15331192e+00 
 3.22560000e-11  2.57429939e+00  2.06792103e+00 
 3.24560000e-11  2.59377899e+00  1.99402126e+00 
 3.26560000e-11  2.60887314e+00  1.93295114e+00 
 3.28560000e-11  2.61926191e+00  1.88587561e+00 
 3.30560000e-11  2.62463026e+00  1.85374784e+00 
 3.32560000e-11  2.62483823e+00  1.83707377e+00 
 3.34560000e-11  2.62004639e+00  1.83554661e+00 
 3.36560000e-11  2.61066443e+00  1.84791257e+00 
 3.38560000e-11  2.59720660e+00  1.87216609e+00 
 3.40560000e-11  2.58020583e+00  1.90590595e+00 
 3.42560000e-11  2.56018343e+00  1.94670109e+00 
 3.44560000e-11  2.53763822e+00  1.99231716e+00 
 3.46560000e-11  2.51304080e+00  2.04082817e+00 
 3.48560000e-11  2.48682906e+00  2.09065431e+00 
 3.50560000e-11  2.45940575e+00  2.14055542e+00 
 3.52560000e-11  2.43113893e+00  2.18960082e+00 
 3.54560000e-11  2.40236410e+00  2.23712892e+00 
 3.56560000e-11  2.37338868e+00  2.28270644e+00 
 3.58560000e-11  2.34449723e+00  2.32609128e+00 
 3.60560000e-11  2.31595805e+00  2.36720175e+00 
 3.62560000e-11  2.28802774e+00  2.40608774e+00 
 3.64560000e-11  2.26095424e+00  2.44290686e+00 
 3.66560000e-11  2.23497428e+00  2.47789759e+00 
 3.68560000e-11  2.21030522e+00  2.51134624e+00 
 3.70560000e-11  2.18713187e+00  2.54355106e+00 
 3.72560000e-11  2.16559368e+00  2.57478658e+00 
 3.74560000e-11  2.14577704e+00  2.60527524e+00 
 3.76560000e-11  2.12771550e+00  2.63517137e+00 
 3.78560000e-11  2.11139688e+00  2.66455804e+00 
 3.80560000e-11  2.09677454e+00  2.69345468e+00 
 3.82560000e-11  2.08377921e+00  2.72183070e+00 
 3.84560000e-11  2.07232951e+00  2.74962116e+00 
 3.86560000e-11  2.06233950e+00  2.77674132e+00 
 3.88560000e-11  2.05372385e+00  2.80309851e+00 
 3.90560000e-11  2.04640048e+00  2.82860079e+00 
 3.92560000e-11  2.04029193e+00  2.85316285e+00 
 3.94560000e-11  2.03532558e+00  2.87670957e+00 
 3.96560000e-11  2.03143355e+00  2.89917800e+00 
 3.98560000e-11  2.02855221e+00  2.92051822e+00 
 4.00560000e-11  2.02662180e+00  2.94069352e+00 
 4.02560000e-11  2.02558592e+00  2.95968018e+00 
 4.04560000e-11  2.02539122e+00  2.97746711e+00 
 4.06560000e-11  2.02598701e+00  2.99405517e+00 
 4.08560000e-11  2.02732515e+00  3.00945656e+00 
 4.10560000e-11  2.02935977e+00  3.02369392e+00 
 4.12560000e-11  2.03204726e+00  3.03679930e+00 
 4.14560000e-11  2.03534628e+00  3.04881295e+00 
 4.16560000e-11  2.03921795e+00  3.05978187e+00 
 4.18560000e-11  2.04362628e+00  3.06975810e+00 
 4.20560000e-11  2.04853898e+00  3.07879675e+00 
 4.22560000e-11  2.05392896e+00  3.08695355e+00 
 4.24560000e-11  2.05977690e+00  3.09428187e+00 
