 time            v(finalp)       v(finaln)      
 0.00000000e+00  2.69231189e+00  2.69231189e+00 
 2.50000000e-15  2.69231189e+00  2.69231189e+00 
 5.00000000e-15  2.69231189e+00  2.69231189e+00 
 1.00000000e-14  2.69231189e+00  2.69231189e+00 
 2.00000000e-14  2.69231189e+00  2.69231189e+00 
 4.00000000e-14  2.69231189e+00  2.69231189e+00 
 8.00000000e-14  2.69231189e+00  2.69231189e+00 
 1.60000000e-13  2.69231189e+00  2.69231189e+00 
 3.20000000e-13  2.69231189e+00  2.69231189e+00 
 5.70000000e-13  2.69231189e+00  2.69231189e+00 
 8.20000000e-13  2.69231190e+00  2.69231190e+00 
 1.07000000e-12  2.69231190e+00  2.69231190e+00 
 1.32000000e-12  2.69231190e+00  2.69231190e+00 
 1.57000000e-12  2.69231190e+00  2.69231190e+00 
 1.82000000e-12  2.69231190e+00  2.69231190e+00 
 2.07000000e-12  2.69231190e+00  2.69231189e+00 
 2.32000000e-12  2.69231190e+00  2.69231189e+00 
 2.57000000e-12  2.69231191e+00  2.69231188e+00 
 2.82000000e-12  2.69231193e+00  2.69231185e+00 
 3.07000000e-12  2.69231196e+00  2.69231181e+00 
 3.32000000e-12  2.69231203e+00  2.69231174e+00 
 3.57000000e-12  2.69231215e+00  2.69231163e+00 
 3.82000000e-12  2.69231234e+00  2.69231144e+00 
 4.07000000e-12  2.69231263e+00  2.69231115e+00 
 4.32000000e-12  2.69231306e+00  2.69231072e+00 
 4.57000000e-12  2.69231368e+00  2.69231010e+00 
 4.82000000e-12  2.69231455e+00  2.69230924e+00 
 5.07000000e-12  2.69231571e+00  2.69230808e+00 
 5.32000000e-12  2.69231724e+00  2.69230655e+00 
 5.57000000e-12  2.69231921e+00  2.69230458e+00 
 5.82000000e-12  2.69232166e+00  2.69230213e+00 
 6.07000000e-12  2.69232467e+00  2.69229912e+00 
 6.32000000e-12  2.69232828e+00  2.69229551e+00 
 6.57000000e-12  2.69233251e+00  2.69229128e+00 
 6.82000000e-12  2.69233736e+00  2.69228643e+00 
 7.07000000e-12  2.69234283e+00  2.69228096e+00 
 7.32000000e-12  2.69234887e+00  2.69227492e+00 
 7.57000000e-12  2.69235538e+00  2.69226840e+00 
 7.82000000e-12  2.69236228e+00  2.69226151e+00 
 8.07000000e-12  2.69236941e+00  2.69225438e+00 
 8.32000000e-12  2.69237661e+00  2.69224717e+00 
 8.57000000e-12  2.69238371e+00  2.69224008e+00 
 8.82000000e-12  2.69239049e+00  2.69223329e+00 
 9.07000000e-12  2.69239677e+00  2.69222702e+00 
 9.32000000e-12  2.69240234e+00  2.69222145e+00 
 9.57000000e-12  2.69240703e+00  2.69221675e+00 
 9.82000000e-12  2.69241070e+00  2.69221309e+00 
