 frequency       v(finalp,finaln) v(finalp,finaln) v(v1p,v1n)      v(v1p,v1n)      v(vga1p,vga1n)  v(vga1p,vga1n)  v(v2p,v2n)      v(v2p,v2n)      v(vga2p,vga2n)  v(vga2p,vga2n)  v(bufinp,bufinn) v(bufinp,bufinn) v(outp,outn)    v(outp,outn)   
 1.00000000e+06 -2.04243317e+03  5.10486436e+03 -4.98741593e+02 -1.80963995e+02  1.35337124e+03  4.88885112e+02  1.03389440e+03  8.62752556e+02 -4.66821816e+03 -3.87941725e+03  1.40903825e+03 -3.52137709e+03 -2.04243324e+03  5.10486434e+03 
 1.02329299e+06 -1.89985692e+03  5.28514566e+03 -5.01367263e+02 -1.77774990e+02  1.36044118e+03  4.80248784e+02  1.05189878e+03  8.51993024e+02 -4.74899563e+03 -3.83072567e+03  1.31069428e+03 -3.64574095e+03 -1.89985699e+03  5.28514563e+03 
 1.04712855e+06 -1.74881010e+03  5.45977776e+03 -5.03900697e+02 -1.74605396e+02  1.36726222e+03  4.71666246e+02  1.06939490e+03  8.41014083e+02 -4.82747964e+03 -3.78106297e+03  1.20650729e+03 -3.76620826e+03 -1.74881018e+03  5.45977773e+03 
 1.07151931e+06 -1.58971650e+03  5.62830427e+03 -5.06344124e+02 -1.71457463e+02  1.37384042e+03  4.63143517e+02  1.08638498e+03  8.29840045e+02 -4.90368123e+03 -3.73053838e+03  1.09676961e+03 -3.88246421e+03 -1.58971658e+03  5.62830425e+03 
 1.09647820e+06 -1.42302681e+03  5.79030685e+03 -5.08699803e+02 -1.68333289e+02  1.38018191e+03  4.54686204e+02  1.10287233e+03  8.18494351e+02 -4.97761622e+03 -3.67925720e+03  9.81792126e+02 -3.99422021e+03 -1.42302690e+03  5.79030682e+03 
 1.12201845e+06 -1.24921485e+03  5.94540660e+03 -5.10970011e+02 -1.65234819e+02  1.38629288e+03  4.46299504e+02  1.11886125e+03  8.06999542e+02 -5.04930489e+03 -3.62732058e+03  8.61901657e+02 -4.10121493e+03 -1.24921494e+03  5.94540658e+03 
 1.14815362e+06 -1.06877370e+03  6.09326517e+03 -5.13157039e+02 -1.62163854e+02  1.39217953e+03  4.37988227e+02  1.13435696e+03  7.95377237e+02 -5.11877155e+03 -3.57482552e+03  7.37438338e+02 -4.20321494e+03 -1.06877379e+03  6.09326515e+03 
 1.17489755e+06 -8.82211934e+02  6.23358532e+03 -5.15263182e+02 -1.59122054e+02  1.39784811e+03  4.29756800e+02  1.14936548e+03  7.83648118e+02 -5.18604414e+03 -3.52186474e+03  6.08752976e+02 -4.30001522e+03 -8.82212035e+02  6.23358531e+03 
 1.20226443e+06 -6.90049833e+02  6.36611128e+03 -5.17290737e+02 -1.56110942e+02  1.40330481e+03  4.21609284e+02  1.16389358e+03  7.71831925e+02 -5.25115389e+03 -3.46852669e+03  4.76204451e+02 -4.39143934e+03 -6.90049939e+02  6.36611126e+03 
 1.23026877e+06 -4.92815697e+02  6.49062859e+03 -5.19241988e+02 -1.53131911e+02  1.40855584e+03  4.13549387e+02  1.17794870e+03  7.59947452e+02 -5.31413494e+03 -3.41489554e+03  3.40157182e+02 -4.47733937e+03 -4.92815807e+02  6.49062858e+03 
 1.25892541e+06 -2.91042298e+02  6.60696373e+03 -5.21119209e+02 -1.50186227e+02  1.41360734e+03  4.05580477e+02  1.19153884e+03  7.48012548e+02 -5.37502398e+03 -3.36105118e+03  2.00978671e+02 -4.55759562e+03 -2.91042412e+02  6.60696373e+03 
 1.28824955e+06 -8.52634655e+01  6.71498339e+03 -5.22924656e+02 -1.47275036e+02  1.41846543e+03  3.97705599e+02  1.20467253e+03  7.36044127e+02 -5.43386000e+03 -3.30706926e+03  5.90371510e+01 -4.63211612e+03 -8.52635849e+01  6.71498339e+03 
 1.31825674e+06  1.23989144e+02  6.81459343e+03 -5.24660562e+02 -1.44399366e+02  1.42313615e+03  3.89927486e+02  1.21735872e+03  7.24058175e+02 -5.49068389e+03 -3.25302127e+03 -8.53006474e+01 -4.70083592e+03  1.23989020e+02  6.81459343e+03 
 1.34896288e+06  3.36189089e+02  6.90573761e+03 -5.26329132e+02 -1.41560137e+02  1.42762545e+03  3.82248572e+02  1.22960678e+03  7.12069770e+02 -5.54553822e+03 -3.19897457e+03 -2.31671587e+02 -4.76371626e+03  3.36188960e+02  6.90573762e+03 
 1.38038426e+06  5.50817961e+02  6.98839614e+03 -5.27932542e+02 -1.38758164e+02  1.43193921e+03  3.74671012e+02  1.24142634e+03  7.00093096e+02 -5.59846696e+03 -3.14499248e+03 -3.79718074e+02 -4.82074347e+03  5.50817828e+02  6.98839615e+03 
 1.41253754e+06  7.67367980e+02  7.06258392e+03 -5.29472932e+02 -1.35994159e+02  1.43608323e+03  3.67196690e+02  1.25282736e+03  6.88141464e+02 -5.64951520e+03 -3.09113443e+03 -5.29089844e+02 -4.87192782e+03  7.67367842e+02  7.06258393e+03 
 1.44543977e+06  9.85344345e+02  7.12834873e+03 -5.30952409e+02 -1.33268743e+02  1.44006319e+03  3.59827237e+02  1.26381995e+03  6.76227336e+02 -5.69872893e+03 -3.03745597e+03 -6.79445586e+02 -4.91730229e+03  9.85344202e+02  7.12834875e+03 
 1.47910839e+06  1.20426735e+03  7.18576920e+03 -5.32373036e+02 -1.30582443e+02  1.44388467e+03  3.52564041e+02  1.27441442e+03  6.64362346e+02 -5.74615485e+03 -2.98400898e+03 -8.30454399e+02 -4.95692110e+03  1.20426720e+03  7.18576923e+03 
 1.51356125e+06  1.42367422e+03  7.23495274e+03 -5.33736840e+02 -1.27935704e+02  1.44755314e+03  3.45408262e+02  1.28462117e+03  6.52557330e+02 -5.79184011e+03 -2.93084170e+03 -9.81797069e+02 -4.99085834e+03  1.42367407e+03  7.23495276e+03 
 1.54881662e+06  1.64312075e+03  7.27603329e+03 -5.35045801e+02 -1.25328891e+02  1.45107394e+03  3.38360847e+02  1.29445071e+03  6.40822354e+02 -5.83583220e+03 -2.87799895e+03 -1.13316719e+03 -5.01920642e+03  1.64312060e+03  7.27603332e+03 
 1.58489319e+06  1.86218267e+03  7.30916915e+03 -5.36301857e+02 -1.22762290e+02  1.45445230e+03  3.31422539e+02  1.30391355e+03  6.29166735e+02 -5.87817870e+03 -2.82552216e+03 -1.28427208e+03 -5.04207452e+03  1.86218251e+03  7.30916919e+03 
 1.62181010e+06  2.08045674e+03  7.33454069e+03 -5.37506898e+02 -1.20236120e+02  1.45769333e+03  3.24593893e+02  1.31302021e+03  6.17599078e+02 -5.91892720e+03 -2.77344957e+03 -1.43483360e+03 -5.05958707e+03  2.08045657e+03  7.33454073e+03 
 1.65958691e+06  2.29756166e+03  7.35234806e+03 -5.38662770e+02 -1.17750532e+02  1.46080200e+03  3.17875282e+02  1.32178120e+03  6.06127301e+02 -5.95812512e+03 -2.72181633e+03 -1.58458874e+03 -5.07188213e+03  2.29756149e+03  7.35234811e+03 
