 time            v(bufinp)       v(bufinn)       v(outp)         v(outn)        
 0.00000000e+00  1.80000000e+00  1.80000000e+00  2.69783080e+00  2.69783080e+00 
 5.00000000e-15  1.80000628e+00  1.79999372e+00  2.69783257e+00  2.69782902e+00 
 1.00000000e-14  1.80001257e+00  1.79998743e+00  2.69783392e+00  2.69782767e+00 
 2.00000000e-14  1.80002513e+00  1.79997487e+00  2.69783605e+00  2.69782554e+00 
 4.00000000e-14  1.80005027e+00  1.79994973e+00  2.69783823e+00  2.69782336e+00 
 8.00000000e-14  1.80010053e+00  1.79989947e+00  2.69783895e+00  2.69782264e+00 
 1.60000000e-13  1.80020106e+00  1.79979894e+00  2.69783319e+00  2.69782840e+00 
 3.20000000e-13  1.80040212e+00  1.79959788e+00  2.69780659e+00  2.69785500e+00 
 6.40000000e-13  1.80080425e+00  1.79919575e+00  2.69771763e+00  2.69794394e+00 
 1.14000000e-12  1.80143255e+00  1.79856745e+00  2.69752630e+00  2.69813515e+00 
 1.64000000e-12  1.80206085e+00  1.79793915e+00  2.69730008e+00  2.69836115e+00 
 2.14000000e-12  1.80268912e+00  1.79731088e+00  2.69704621e+00  2.69861482e+00 
 2.64000000e-12  1.80331737e+00  1.79668263e+00  2.69676092e+00  2.69889991e+00 
 3.14000000e-12  1.80394558e+00  1.79605442e+00  2.69643970e+00  2.69922095e+00 
 3.64000000e-12  1.80457376e+00  1.79542624e+00  2.69607973e+00  2.69958083e+00 
 4.14000000e-12  1.80520189e+00  1.79479811e+00  2.69567973e+00  2.69998086e+00 
 4.64000000e-12  1.80582997e+00  1.79417003e+00  2.69523986e+00  2.70042098e+00 
 5.14000000e-12  1.80645799e+00  1.79354201e+00  2.69476106e+00  2.70090024e+00 
 5.64000000e-12  1.80708595e+00  1.79291405e+00  2.69424500e+00  2.70141701e+00 
 6.14000000e-12  1.80771384e+00  1.79228616e+00  2.69369368e+00  2.70196927e+00 
 6.64000000e-12  1.80834165e+00  1.79165835e+00  2.69310936e+00  2.70255476e+00 
 7.14000000e-12  1.80896938e+00  1.79103062e+00  2.69249435e+00  2.70317110e+00 
 7.64000000e-12  1.80959702e+00  1.79040298e+00  2.69185101e+00  2.70381589e+00 
 8.14000000e-12  1.81022457e+00  1.78977543e+00  2.69118161e+00  2.70448677e+00 
 8.64000000e-12  1.81085201e+00  1.78914799e+00  2.69048839e+00  2.70518144e+00 
 9.14000000e-12  1.81147935e+00  1.78852065e+00  2.68977340e+00  2.70589775e+00 
 9.64000000e-12  1.81210658e+00  1.78789342e+00  2.68903862e+00  2.70663362e+00 
 1.01400000e-11  1.81273368e+00  1.78726632e+00  2.68828586e+00  2.70738716e+00 
 1.06400000e-11  1.81336066e+00  1.78663934e+00  2.68751683e+00  2.70815659e+00 
 1.11400000e-11  1.81398751e+00  1.78601249e+00  2.68673306e+00  2.70894029e+00 
 1.16400000e-11  1.81461422e+00  1.78538578e+00  2.68593598e+00  2.70973673e+00 
 1.21400000e-11  1.81524078e+00  1.78475922e+00  2.68512690e+00  2.71054458e+00 
 1.26400000e-11  1.81586720e+00  1.78413280e+00  2.68430699e+00  2.71136256e+00 
 1.31400000e-11  1.81649346e+00  1.78350654e+00  2.68347735e+00  2.71218957e+00 
 1.36400000e-11  1.81711955e+00  1.78288045e+00  2.68263895e+00  2.71302457e+00 
 1.41400000e-11  1.81774548e+00  1.78225452e+00  2.68179268e+00  2.71386665e+00 
 1.46400000e-11  1.81837123e+00  1.78162877e+00  2.68093935e+00  2.71471496e+00 
 1.51400000e-11  1.81899680e+00  1.78100320e+00  2.68007968e+00  2.71556876e+00 
 1.56400000e-11  1.81962219e+00  1.78037781e+00  2.67921435e+00  2.71642738e+00 
 1.61400000e-11  1.82024738e+00  1.77975262e+00  2.67834394e+00  2.71729022e+00 
 1.66400000e-11  1.82087237e+00  1.77912763e+00  2.67746901e+00  2.71815672e+00 
 1.71400000e-11  1.82149715e+00  1.77850285e+00  2.67659004e+00  2.71902642e+00 
 1.76400000e-11  1.82212172e+00  1.77787828e+00  2.67570747e+00  2.71989888e+00 
 1.81400000e-11  1.82274607e+00  1.77725393e+00  2.67482169e+00  2.72077370e+00 
 1.86400000e-11  1.82337020e+00  1.77662980e+00  2.67393309e+00  2.72165054e+00 
