 time            v(detp)         v(detn)        
 0.00000000e+00  2.36592684e+00  2.36596224e+00 
 2.00000000e-15  2.36592684e+00  2.36596224e+00 
 4.00000000e-15  2.36592684e+00  2.36596224e+00 
 8.00000000e-15  2.36592684e+00  2.36596224e+00 
 1.60000000e-14  2.36592684e+00  2.36596224e+00 
 3.20000000e-14  2.36592684e+00  2.36596224e+00 
 6.40000000e-14  2.36592684e+00  2.36596224e+00 
 1.28000000e-13  2.36592683e+00  2.36596225e+00 
 2.56000000e-13  2.36592666e+00  2.36596239e+00 
 4.56000000e-13  2.36592432e+00  2.36596324e+00 
 6.56000000e-13  2.36591594e+00  2.36596522e+00 
 8.56000000e-13  2.36589709e+00  2.36596857e+00 
 1.05600000e-12  2.36586456e+00  2.36597325e+00 
 1.25600000e-12  2.36581721e+00  2.36597890e+00 
 1.45600000e-12  2.36575602e+00  2.36598489e+00 
 1.65600000e-12  2.36568374e+00  2.36599042e+00 
 1.85600000e-12  2.36560415e+00  2.36599462e+00 
 2.05600000e-12  2.36552140e+00  2.36599667e+00 
 2.25600000e-12  2.36543954e+00  2.36599575e+00 
 2.45600000e-12  2.36536236e+00  2.36599103e+00 
 2.65600000e-12  2.36529334e+00  2.36598160e+00 
 2.85600000e-12  2.36523574e+00  2.36596643e+00 
 3.05600000e-12  2.36519262e+00  2.36594443e+00 
 3.25600000e-12  2.36516655e+00  2.36591448e+00 
 3.45600000e-12  2.36515925e+00  2.36587572e+00 
 3.65600000e-12  2.36517106e+00  2.36582780e+00 
 3.85600000e-12  2.36520086e+00  2.36577093e+00 
 4.05600000e-12  2.36524644e+00  2.36570577e+00 
 4.25600000e-12  2.36530512e+00  2.36563310e+00 
 4.45600000e-12  2.36537435e+00  2.36555369e+00 
 4.65600000e-12  2.36545197e+00  2.36546820e+00 
 4.85600000e-12  2.36553629e+00  2.36537724e+00 
 5.05600000e-12  2.36562607e+00  2.36528139e+00 
 5.25600000e-12  2.36572043e+00  2.36518122e+00 
 5.45600000e-12  2.36581878e+00  2.36507731e+00 
 5.65600000e-12  2.36592081e+00  2.36497023e+00 
 5.85600000e-12  2.36602638e+00  2.36486060e+00 
 6.05600000e-12  2.36613549e+00  2.36474901e+00 
 6.25600000e-12  2.36624825e+00  2.36463607e+00 
 6.45600000e-12  2.36636479e+00  2.36452230e+00 
