 time            v(bufinp)       v(bufinn)       v(outp)         v(outn)        
 0.00000000e+00  1.80000000e+00  1.80000000e+00  2.47606239e+00  2.47606239e+00 
 5.00000000e-15  1.80000491e+00  1.79999509e+00  2.47606492e+00  2.47605987e+00 
 1.00000000e-14  1.80000982e+00  1.79999018e+00  2.47606685e+00  2.47605793e+00 
 2.00000000e-14  1.80001963e+00  1.79998037e+00  2.47606981e+00  2.47605497e+00 
 4.00000000e-14  1.80003927e+00  1.79996073e+00  2.47607221e+00  2.47605258e+00 
 8.00000000e-14  1.80007854e+00  1.79992146e+00  2.47607172e+00  2.47605307e+00 
 1.60000000e-13  1.80015708e+00  1.79984292e+00  2.47606455e+00  2.47606024e+00 
 3.20000000e-13  1.80031416e+00  1.79968584e+00  2.47603618e+00  2.47608860e+00 
 6.40000000e-13  1.80062832e+00  1.79937168e+00  2.47593794e+00  2.47618684e+00 
 1.14000000e-12  1.80111918e+00  1.79888082e+00  2.47571442e+00  2.47641024e+00 
 1.64000000e-12  1.80161004e+00  1.79838996e+00  2.47543764e+00  2.47668682e+00 
 2.14000000e-12  1.80210088e+00  1.79789912e+00  2.47512454e+00  2.47699974e+00 
 2.64000000e-12  1.80259170e+00  1.79740830e+00  2.47478077e+00  2.47734328e+00 
 3.14000000e-12  1.80308249e+00  1.79691751e+00  2.47440919e+00  2.47771458e+00 
 3.64000000e-12  1.80357325e+00  1.79642675e+00  2.47401167e+00  2.47811180e+00 
 4.14000000e-12  1.80406398e+00  1.79593602e+00  2.47358990e+00  2.47853324e+00 
 4.64000000e-12  1.80455466e+00  1.79544534e+00  2.47314532e+00  2.47897748e+00 
 5.14000000e-12  1.80504531e+00  1.79495469e+00  2.47267938e+00  2.47944308e+00 
 5.64000000e-12  1.80553590e+00  1.79446410e+00  2.47219334e+00  2.47992879e+00 
 6.14000000e-12  1.80602644e+00  1.79397356e+00  2.47168849e+00  2.48043333e+00 
 6.64000000e-12  1.80651691e+00  1.79348309e+00  2.47116596e+00  2.48095558e+00 
 7.14000000e-12  1.80700733e+00  1.79299267e+00  2.47062688e+00  2.48149443e+00 
 7.64000000e-12  1.80749767e+00  1.79250233e+00  2.47007225e+00  2.48204887e+00 
 8.14000000e-12  1.80798794e+00  1.79201206e+00  2.46950307e+00  2.48261791e+00 
 8.64000000e-12  1.80847813e+00  1.79152187e+00  2.46892025e+00  2.48320067e+00 
 9.14000000e-12  1.80896824e+00  1.79103176e+00  2.46832464e+00  2.48379626e+00 
 9.64000000e-12  1.80945826e+00  1.79054174e+00  2.46771706e+00  2.48440391e+00 
 1.01400000e-11  1.80994819e+00  1.79005181e+00  2.46709826e+00  2.48502282e+00 
 1.06400000e-11  1.81043802e+00  1.78956198e+00  2.46646896e+00  2.48565231e+00 
 1.11400000e-11  1.81092774e+00  1.78907226e+00  2.46582984e+00  2.48629169e+00 
 1.16400000e-11  1.81141736e+00  1.78858264e+00  2.46518150e+00  2.48694032e+00 
 1.21400000e-11  1.81190686e+00  1.78809314e+00  2.46452457e+00  2.48759762e+00 
 1.26400000e-11  1.81239625e+00  1.78760375e+00  2.46385957e+00  2.48826301e+00 
 1.31400000e-11  1.81288551e+00  1.78711449e+00  2.46318705e+00  2.48893597e+00 
 1.36400000e-11  1.81337465e+00  1.78662535e+00  2.46250747e+00  2.48961601e+00 
 1.41400000e-11  1.81386366e+00  1.78613634e+00  2.46182132e+00  2.49030264e+00 
 1.46400000e-11  1.81435253e+00  1.78564747e+00  2.46112900e+00  2.49099544e+00 
 1.51400000e-11  1.81484125e+00  1.78515875e+00  2.46043093e+00  2.49169398e+00 
