 time            v(detp)         v(detn)        
 0.00000000e+00  1.30499269e+00  1.30499269e+00 
 2.00000000e-15  1.30499269e+00  1.30499269e+00 
 4.00000000e-15  1.30499269e+00  1.30499269e+00 
 8.00000000e-15  1.30499269e+00  1.30499269e+00 
 1.60000000e-14  1.30499269e+00  1.30499269e+00 
 3.20000000e-14  1.30499269e+00  1.30499269e+00 
 6.40000000e-14  1.30499270e+00  1.30499270e+00 
 1.28000000e-13  1.30499275e+00  1.30499275e+00 
 2.56000000e-13  1.30499203e+00  1.30499204e+00 
 4.56000000e-13  1.30497804e+00  1.30497822e+00 
 6.56000000e-13  1.30492589e+00  1.30492655e+00 
 8.56000000e-13  1.30480650e+00  1.30480821e+00 
 1.05600000e-12  1.30459341e+00  1.30459694e+00 
 1.25600000e-12  1.30426409e+00  1.30427043e+00 
 1.45600000e-12  1.30380093e+00  1.30381122e+00 
 1.65600000e-12  1.30319150e+00  1.30320704e+00 
 1.85600000e-12  1.30242859e+00  1.30245078e+00 
 2.05600000e-12  1.30150997e+00  1.30154029e+00 
 2.25600000e-12  1.30043830e+00  1.30047826e+00 
 2.45600000e-12  1.29922061e+00  1.29927170e+00 
 2.65600000e-12  1.29786793e+00  1.29793162e+00 
 2.85600000e-12  1.29639491e+00  1.29647259e+00 
 3.05600000e-12  1.29481931e+00  1.29491226e+00 
 3.25600000e-12  1.29316144e+00  1.29327081e+00 
 3.45600000e-12  1.29144383e+00  1.29157059e+00 
 3.65600000e-12  1.28969061e+00  1.28983554e+00 
 3.85600000e-12  1.28792698e+00  1.28809065e+00 
 4.05600000e-12  1.28617888e+00  1.28636163e+00 
 4.25600000e-12  1.28447238e+00  1.28467430e+00 
 4.45600000e-12  1.28283318e+00  1.28305412e+00 
 4.65600000e-12  1.28128635e+00  1.28152586e+00 
 4.85600000e-12  1.27985569e+00  1.28011308e+00 
 5.05600000e-12  1.27856343e+00  1.27883774e+00 
 5.25600000e-12  1.27742995e+00  1.27771994e+00 
 5.45600000e-12  1.27647334e+00  1.27677755e+00 
 5.65600000e-12  1.27570917e+00  1.27602588e+00 
 5.85600000e-12  1.27515038e+00  1.27547766e+00 
 6.05600000e-12  1.27480700e+00  1.27514272e+00 
 6.25600000e-12  1.27468611e+00  1.27502796e+00 
 6.45600000e-12  1.27479186e+00  1.27513738e+00 
 6.65600000e-12  1.27512541e+00  1.27547200e+00 
 6.85600000e-12  1.27568505e+00  1.27603003e+00 
 7.05600000e-12  1.27646640e+00  1.27680701e+00 
 7.25600000e-12  1.27746251e+00  1.27779594e+00 
 7.45600000e-12  1.27866409e+00  1.27898753e+00 
 7.65600000e-12  1.28005984e+00  1.28037050e+00 
