 frequency       v(finalp,finaln) v(finalp,finaln) v(v1p,v1n)      v(v1p,v1n)      v(vga1p,vga1n)  v(vga1p,vga1n)  v(v2p,v2n)      v(v2p,v2n)      v(vga2p,vga2n)  v(vga2p,vga2n)  v(bufinp,bufinn) v(bufinp,bufinn) v(outp,outn)    v(outp,outn)   
 1.00000000e+06 -8.93189576e+02  8.89235316e+02 -1.92112150e+02 -1.92425162e+02  3.65086820e+02  3.64139420e+02 -2.39982514e-01  3.61151048e+02 -1.18871282e+00 -8.23027701e+02  4.06690445e+02 -4.04869916e+02 -8.93491301e+02  8.89531252e+02 
 1.02329299e+06 -8.91933830e+02  9.51534578e+02 -1.96542655e+02 -1.92381369e+02  3.73470225e+02  3.64021083e+02  8.26092505e+00  3.69379180e+02 -2.05995806e+01 -8.41696947e+02  4.06119641e+02 -4.33235331e+02 -8.92235345e+02  9.51851355e+02 
 1.04712855e+06 -8.87720516e+02  1.01509531e+03 -2.00968814e+02 -1.92235676e+02  3.81843779e+02  3.63710002e+02  1.71356417e+01  3.77394595e+02 -4.08583450e+01 -8.59877961e+02  4.04202273e+02 -4.62175141e+02 -8.88020842e+02  1.01543336e+03 
 1.07151931e+06 -8.80437574e+02  1.07973689e+03 -2.05385953e+02 -1.91988467e+02  3.90198645e+02  3.63206997e+02  2.63730100e+01  3.85176147e+02 -6.19393073e+01 -8.77522805e+02  4.00887318e+02 -4.91607107e+02 -8.80735693e+02  1.08009658e+03 
 1.09647820e+06 -8.69987422e+02  1.14526825e+03 -2.09789432e+02 -1.91640392e+02  3.98526061e+02  3.62513392e+02  3.59603503e+01  3.92703468e+02 -8.38133213e+01 -8.94585336e+02  3.96130348e+02 -5.21444236e+02 -8.70282285e+02  1.14564988e+03 
 1.12201845e+06 -8.56288023e+02  1.21148929e+03 -2.14174672e+02 -1.91192366e+02  4.06817384e+02  3.61631006e+02  4.58835334e+01  3.99957098e+02 -1.06447960e+02 -9.11021508e+02  3.89894007e+02 -5.51595427e+02 -8.56578551e+02  1.21189311e+03 
 1.14815362e+06 -8.39273770e+02  1.27819242e+03 -2.18537168e+02 -1.90645559e+02  4.15064121e+02  3.60562145e+02  5.61270646e+01  4.06918609e+02 -1.29807712e+02 -9.26789638e+02  3.82148425e+02 -5.81966170e+02 -8.39558864e+02  1.27861861e+03 
 1.17489755e+06 -8.18896204e+02  1.34516422e+03 -2.22872512e+02 -1.90001393e+02  4.23257962e+02  3.59309580e+02  6.66741797e+01  4.13570713e+02 -1.53854196e+02 -9.41850662e+02  3.72871538e+02 -6.12459287e+02 -8.19174748e+02  1.34561287e+03 
 1.20226443e+06 -7.95124539e+02  1.41218709e+03 -2.27176404e+02 -1.89261527e+02  4.31390818e+02  3.57876536e+02  7.75069517e+01  4.19897364e+02 -1.78546415e+02 -9.56168363e+02  3.62049324e+02 -6.42975709e+02 -7.95395406e+02  1.41265822e+03 
 1.23026877e+06 -7.67945982e+02  1.47904102e+03 -2.31444677e+02 -1.88427853e+02  4.39454845e+02  3.56266671e+02  8.86064062e+01  4.25883849e+02 -2.03841011e+02 -9.69709569e+02  3.49675961e+02 -6.73415268e+02 -7.68208041e+02  1.47953460e+03 
 1.25892541e+06 -7.37365872e+02  1.54550536e+03 -2.35673303e+02 -1.87502482e+02  4.47442478e+02  3.54484050e+02  9.99526443e+01  4.31516863e+02 -2.29692551e+02 -9.82444325e+02  3.35753875e+02 -7.03677502e+02 -7.37617992e+02  1.54602127e+03 
 1.28824955e+06 -7.03407597e+02  1.61136059e+03 -2.39858415e+02 -1.86487729e+02  4.55346454e+02  3.52533125e+02  1.11524972e+02  4.36784574e+02 -2.56053824e+02 -9.94346038e+02  3.20293714e+02 -7.33662462e+02 -7.03648656e+02  1.61189863e+03 
 1.31825674e+06 -6.66112333e+02  1.67639002e+03 -2.43996315e+02 -1.85386102e+02  4.63159836e+02  3.50418707e+02  1.23302032e+02  4.41676670e+02 -2.82876137e+02 -1.00539158e+03  3.03314225e+02 -7.63271494e+02 -6.66341222e+02  1.67694994e+03 
 1.34896288e+06 -6.25538587e+02  1.74038151e+03 -2.48083487e+02 -1.84200286e+02  4.70876037e+02  3.48145935e+02  1.35261944e+02  4.46184400e+02 -3.10109635e+02 -1.01556139e+03  2.84842044e+02 -7.92408006e+02 -6.25754216e+02  1.74096297e+03 
 1.38038426e+06 -5.81761560e+02  1.80312902e+03 -2.52116607e+02 -1.82933129e+02  4.78488833e+02  3.45720252e+02  1.47382437e+02  4.50300591e+02 -3.37703604e+02 -1.02483948e+03  2.64911409e+02 -8.20978198e+02 -5.81962864e+02  1.80373163e+03 
