 time            v(bufinp)       v(bufinn)       v(outp)         v(outn)        
 0.00000000e+00  1.80000000e+00  1.80000000e+00  2.71559339e+00  2.71559339e+00 
 5.00000000e-15  1.80000491e+00  1.79999509e+00  2.71559437e+00  2.71559241e+00 
 1.00000000e-14  1.80000982e+00  1.79999018e+00  2.71559501e+00  2.71559177e+00 
 2.00000000e-14  1.80001963e+00  1.79998037e+00  2.71559587e+00  2.71559091e+00 
 4.00000000e-14  1.80003927e+00  1.79996073e+00  2.71559638e+00  2.71559039e+00 
 8.00000000e-14  1.80007854e+00  1.79992146e+00  2.71559611e+00  2.71559066e+00 
 1.60000000e-13  1.80015708e+00  1.79984292e+00  2.71559212e+00  2.71559465e+00 
 3.20000000e-13  1.80031416e+00  1.79968584e+00  2.71557197e+00  2.71561479e+00 
 6.40000000e-13  1.80062832e+00  1.79937168e+00  2.71548794e+00  2.71569871e+00 
 1.14000000e-12  1.80111918e+00  1.79888082e+00  2.71525286e+00  2.71593310e+00 
 1.64000000e-12  1.80161004e+00  1.79838996e+00  2.71490663e+00  2.71627774e+00 
 2.14000000e-12  1.80210088e+00  1.79789912e+00  2.71446413e+00  2.71671764e+00 
 2.64000000e-12  1.80259170e+00  1.79740830e+00  2.71393773e+00  2.71724037e+00 
 3.14000000e-12  1.80308249e+00  1.79691751e+00  2.71333813e+00  2.71783520e+00 
 3.64000000e-12  1.80357325e+00  1.79642675e+00  2.71267477e+00  2.71849273e+00 
 4.14000000e-12  1.80406398e+00  1.79593602e+00  2.71195586e+00  2.71920480e+00 
 4.64000000e-12  1.80455466e+00  1.79544534e+00  2.71118865e+00  2.71996421e+00 
 5.14000000e-12  1.80504531e+00  1.79495469e+00  2.71037942e+00  2.72076476e+00 
 5.64000000e-12  1.80553590e+00  1.79446410e+00  2.70953372e+00  2.72160094e+00 
 6.14000000e-12  1.80602644e+00  1.79397356e+00  2.70865634e+00  2.72246804e+00 
 6.64000000e-12  1.80651691e+00  1.79348309e+00  2.70775151e+00  2.72336184e+00 
 7.14000000e-12  1.80700733e+00  1.79299267e+00  2.70682288e+00  2.72427875e+00 
 7.64000000e-12  1.80749767e+00  1.79250233e+00  2.70587366e+00  2.72521553e+00 
 8.14000000e-12  1.80798794e+00  1.79201206e+00  2.70490664e+00  2.72616943e+00 
 8.64000000e-12  1.80847813e+00  1.79152187e+00  2.70392425e+00  2.72713799e+00 
 9.14000000e-12  1.80896824e+00  1.79103176e+00  2.70292860e+00  2.72811907e+00 
 9.64000000e-12  1.80945826e+00  1.79054174e+00  2.70192156e+00  2.72911078e+00 
 1.01400000e-11  1.80994819e+00  1.79005181e+00  2.70090472e+00  2.73011151e+00 
 1.06400000e-11  1.81043802e+00  1.78956198e+00  2.69987950e+00  2.73111977e+00 
 1.11400000e-11  1.81092774e+00  1.78907226e+00  2.69884711e+00  2.73213432e+00 
 1.16400000e-11  1.81141736e+00  1.78858264e+00  2.69780864e+00  2.73315402e+00 
 1.21400000e-11  1.81190686e+00  1.78809314e+00  2.69676501e+00  2.73417791e+00 
 1.26400000e-11  1.81239625e+00  1.78760375e+00  2.69571704e+00  2.73520509e+00 
 1.31400000e-11  1.81288551e+00  1.78711449e+00  2.69466545e+00  2.73623482e+00 
 1.36400000e-11  1.81337465e+00  1.78662535e+00  2.69361088e+00  2.73726642e+00 
 1.41400000e-11  1.81386366e+00  1.78613634e+00  2.69255386e+00  2.73829928e+00 
 1.46400000e-11  1.81435253e+00  1.78564747e+00  2.69149491e+00  2.73933288e+00 
