 time            v(detp)         v(detn)        
 0.00000000e+00  2.14096806e+00  2.14096806e+00 
 2.00000000e-15  2.14096806e+00  2.14096806e+00 
 4.00000000e-15  2.14096806e+00  2.14096806e+00 
 8.00000000e-15  2.14096806e+00  2.14096806e+00 
 1.60000000e-14  2.14096807e+00  2.14096807e+00 
 3.20000000e-14  2.14096812e+00  2.14096809e+00 
 6.40000000e-14  2.14096874e+00  2.14096837e+00 
 1.28000000e-13  2.14097551e+00  2.14097018e+00 
 2.56000000e-13  2.14103049e+00  2.14095520e+00 
 4.56000000e-13  2.14126273e+00  2.14064580e+00 
 6.56000000e-13  2.14168294e+00  2.13954437e+00 
 8.56000000e-13  2.14229604e+00  2.13712885e+00 
 1.05600000e-12  2.14310421e+00  2.13296522e+00 
 1.25600000e-12  2.14410059e+00  2.12673239e+00 
 1.45600000e-12  2.14526776e+00  2.11824635e+00 
 1.65600000e-12  2.14657507e+00  2.10747112e+00 
 1.85600000e-12  2.14797857e+00  2.09451855e+00 
 2.05600000e-12  2.14942094e+00  2.07963841e+00 
 2.25600000e-12  2.15083240e+00  2.06320097e+00 
 2.45600000e-12  2.15213196e+00  2.04567470e+00 
 2.65600000e-12  2.15322885e+00  2.02760096e+00 
 2.85600000e-12  2.15402433e+00  2.00956831e+00 
 3.05600000e-12  2.15441349e+00  1.99218718e+00 
 3.25600000e-12  2.15428745e+00  1.97606666e+00 
 3.45600000e-12  2.15353580e+00  1.96179266e+00 
 3.65600000e-12  2.15204982e+00  1.94990826e+00 
 3.85600000e-12  2.14972625e+00  1.94089468e+00 
 4.05600000e-12  2.14647215e+00  1.93515362e+00 
 4.25600000e-12  2.14221004e+00  1.93299047e+00 
 4.45600000e-12  2.13688328e+00  1.93460055e+00 
 4.65600000e-12  2.13046035e+00  1.94005996e+00 
 4.85600000e-12  2.12293747e+00  1.94932419e+00 
 5.05600000e-12  2.11433871e+00  1.96223541e+00 
 5.25600000e-12  2.10471397e+00  1.97853858e+00 
 5.45600000e-12  2.09413515e+00  1.99790368e+00 
 5.65600000e-12  2.08269171e+00  2.01995108e+00 
 5.85600000e-12  2.07048591e+00  2.04427603e+00 
 6.05600000e-12  2.05762873e+00  2.07047041e+00 
 6.25600000e-12  2.04423622e+00  2.09813976e+00 
 6.45600000e-12  2.03042676e+00  2.12691586e+00 
 6.65600000e-12  2.01631862e+00  2.15646471e+00 
 6.85600000e-12  2.00202837e+00  2.18649107e+00 
 7.05600000e-12  1.98766929e+00  2.21673988e+00 
 7.25600000e-12  1.97335037e+00  2.24699568e+00 
 7.45600000e-12  1.95917525e+00  2.27708028e+00 
 7.65600000e-12  1.94524141e+00  2.30684945e+00 
 7.85600000e-12  1.93163936e+00  2.33618883e+00 
 8.05600000e-12  1.91845206e+00  2.36500957e+00 
 8.25600000e-12  1.90575427e+00  2.39324376e+00 
 8.45600000e-12  1.89361223e+00  2.42084018e+00 
 8.65600000e-12  1.88208336e+00  2.44776028e+00 
 8.85600000e-12  1.87121631e+00  2.47397471e+00 
 9.05600000e-12  1.86105112e+00  2.49946041e+00 
 9.25600000e-12  1.85161969e+00  2.52419837e+00 
 9.45600000e-12  1.84294631e+00  2.54817184e+00 
 9.65600000e-12  1.83504846e+00  2.57136526e+00 
 9.85600000e-12  1.82793759e+00  2.59376342e+00 
 1.00560000e-11  1.82162006e+00  2.61535109e+00 
 1.02560000e-11  1.81609798e+00  2.63611268e+00 
 1.04560000e-11  1.81137015e+00  2.65603221e+00 
 1.06560000e-11  1.80743288e+00  2.67509305e+00 
 1.08560000e-11  1.80428092e+00  2.69327780e+00 
 1.10560000e-11  1.80190821e+00  2.71056783e+00 
 1.12560000e-11  1.80030882e+00  2.72694276e+00 
 1.14560000e-11  1.79947771e+00  2.74237951e+00 
 1.16560000e-11  1.79941171e+00  2.75685119e+00 
 1.18560000e-11  1.80011034e+00  2.77032535e+00 
 1.20560000e-11  1.80157675e+00  2.78276193e+00 
 1.22560000e-11  1.80381864e+00  2.79411047e+00 
 1.24560000e-11  1.80684902e+00  2.80430679e+00 
 1.26560000e-11  1.81068686e+00  2.81326876e+00 
 1.28560000e-11  1.81535743e+00  2.82089146e+00 
 1.30560000e-11  1.82089201e+00  2.82704155e+00 
 1.32560000e-11  1.82732705e+00  2.83155136e+00 
 1.34560000e-11  1.83470198e+00  2.83421328e+00 
 1.36560000e-11  1.84305554e+00  2.83477586e+00 
 1.38560000e-11  1.85242001e+00  2.83294392e+00 
 1.40560000e-11  1.86281312e+00  2.82838582e+00 
 1.42560000e-11  1.87422816e+00  2.82075120e+00 
 1.44560000e-11  1.88662466e+00  2.80970055e+00 
 1.46560000e-11  1.89992294e+00  2.79494265e+00 
 1.48560000e-11  1.91400620e+00  2.77627070e+00 
 1.50560000e-11  1.92872999e+00  2.75358574e+00 
 1.52560000e-11  1.94393568e+00  2.72690170e+00 
 1.54560000e-11  1.95946347e+00  2.69633474e+00 
 1.56560000e-11  1.97516154e+00  2.66208565e+00 
 1.58560000e-11  1.99089064e+00  2.62442365e+00 
 1.60560000e-11  2.00652505e+00  2.58367590e+00 
 1.62560000e-11  2.02195136e+00  2.54022294e+00 
 1.64560000e-11  2.03706643e+00  2.49449697e+00 
 1.66560000e-11  2.05177542e+00  2.44698015e+00 
 1.68560000e-11  2.06599017e+00  2.39820014e+00 
 1.70560000e-11  2.07962805e+00  2.34872193e+00 
 1.72560000e-11  2.09261251e+00  2.29913968e+00 
 1.74560000e-11  2.10487061e+00  2.25005980e+00 
 1.76560000e-11  2.11632961e+00  2.20208034e+00 
 1.78560000e-11  2.12691956e+00  2.15578466e+00 
 1.80560000e-11  2.13657388e+00  2.11173236e+00 
 1.82560000e-11  2.14522695e+00  2.07044622e+00 
 1.84560000e-11  2.15281343e+00  2.03240557e+00 
 1.86560000e-11  2.15926792e+00  1.99804163e+00 
 1.88560000e-11  2.16452501e+00  1.96773422e+00 
 1.90560000e-11  2.16852014e+00  1.94180893e+00 
