 frequency       v(finalp,finaln) v(finalp,finaln) v(v1p,v1n)      v(v1p,v1n)      v(vga1p,vga1n)  v(vga1p,vga1n)  v(v2p,v2n)      v(v2p,v2n)      v(vga2p,vga2n)  v(vga2p,vga2n)  v(bufinp,bufinn) v(bufinp,bufinn) v(outp,outn)    v(outp,outn)   
 1.00000000e+06 -8.97525197e+01  5.95462808e+03 -5.91104982e+02 -2.35790043e+02  1.33923465e+03  5.29732311e+02  9.67332989e+02  9.13338619e+02 -3.64902564e+03 -3.39224413e+03  5.02913831e+01 -3.33185340e+03 -8.99201045e+01  5.96415395e+03 
 1.02329299e+06  7.33284978e+01  6.06636403e+03 -5.94780845e+02 -2.31854411e+02  1.34744279e+03  5.20842306e+02  9.87599984e+02  9.03611018e+02 -3.72402873e+03 -3.35457464e+03 -4.09559940e+01 -3.39437614e+03  7.34207906e+01  6.07606931e+03 
 1.04712855e+06  2.40846276e+02  6.17257647e+03 -5.98334202e+02 -2.27929026e+02  1.35537598e+03  5.11978405e+02  1.00735691e+03  8.93554836e+02 -3.79706917e+03 -3.31571441e+03 -1.34685884e+02 -3.45380840e+03  2.41205533e+02  6.18245239e+03 
 1.07151931e+06  4.12474920e+02  6.27307249e+03 -6.01767495e+02 -2.24017431e+02  1.36303982e+03  5.03148449e+02  1.02660067e+03  8.83197742e+02 -3.86813811e+03 -3.27576951e+03 -2.30715941e+02 -3.51004225e+03  4.13107708e+02  6.28310995e+03 
 1.09647820e+06  5.87879479e+02  6.36768200e+03 -6.05083251e+02 -2.20122967e+02  1.37044008e+03  4.94359826e+02  1.04532963e+03  8.72566725e+02 -3.93723236e+03 -3.23484320e+03 -3.28858750e+02 -3.56298250e+03  5.88791831e+02  6.37787163e+03 
 1.12201845e+06  7.66717774e+02  6.45625810e+03 -6.08284065e+02 -2.16248776e+02  1.37758268e+03  4.85619477e+02  1.06354354e+03  8.61688029e+02 -4.00435399e+03 -3.19303576e+03 -4.28922851e+02 -3.61254699e+03  7.67915176e+02  6.46659031e+03 
 1.14815362e+06  9.48642230e+02  6.53867730e+03 -6.11372593e+02 -2.12397804e+02  1.38447365e+03  4.76933902e+02  1.08124345e+03  8.50587094e+02 -4.06950998e+03 -3.15044422e+03 -5.30713769e+02 -3.65866659e+03  9.50129614e+02  6.54914228e+03 
 1.17489755e+06  1.13330169e+03  6.61483949e+03 -6.14351537e+02 -2.08572805e+02  1.39111915e+03  4.68309172e+02  1.09843159e+03  8.39288520e+02 -4.13271185e+03 -3.10716222e+03 -6.34035021e+02 -3.70128531e+03  1.13508343e+03  6.62542730e+03 
 1.20226443e+06  1.32034322e+03  6.68466792e+03 -6.17223634e+02 -2.04776346e+02  1.39752538e+03  4.59750936e+02  1.11511129e+03  8.27816021e+02 -4.19397526e+03 -3.06327989e+03 -7.38689126e+02 -3.74036019e+03  1.32242312e+03  6.69536847e+03 
 1.23026877e+06  1.50941383e+03  6.74810886e+03 -6.19991648e+02 -2.01010811e+02  1.40369861e+03  4.51264437e+02  1.13128690e+03  8.16192404e+02 -4.25331968e+03 -3.01888370e+03 -8.44478579e+02 -3.77586117e+03  1.51179513e+03  6.75891198e+03 
 1.25892541e+06  1.70016217e+03  6.80513123e+03 -6.22658357e+02 -1.97278406e+02  1.40964512e+03  4.42854517e+02  1.14696366e+03  8.04439542e+02 -4.31076802e+03 -2.97405643e+03 -9.51206798e+02 -3.80777088e+03  1.70284757e+03  6.81602672e+03 
