 time            v(bufinp)       v(bufinn)       v(outp)         v(outn)        
 0.00000000e+00  1.80000000e+00  1.80000000e+00  2.71959726e+00  2.71959726e+00 
 5.00000000e-15  1.80000628e+00  1.79999372e+00  2.71960175e+00  2.71959276e+00 
 1.00000000e-14  1.80001257e+00  1.79998743e+00  2.71960719e+00  2.71958732e+00 
 2.00000000e-14  1.80002513e+00  1.79997487e+00  2.71961870e+00  2.71957582e+00 
 4.00000000e-14  1.80005027e+00  1.79994973e+00  2.71964190e+00  2.71955261e+00 
 8.00000000e-14  1.80010053e+00  1.79989947e+00  2.71968453e+00  2.71950998e+00 
 1.60000000e-13  1.80020106e+00  1.79979894e+00  2.71975614e+00  2.71943838e+00 
 3.20000000e-13  1.80040212e+00  1.79959788e+00  2.71984455e+00  2.71934995e+00 
 6.40000000e-13  1.80080425e+00  1.79919575e+00  2.71982784e+00  2.71936648e+00 
 1.14000000e-12  1.80143255e+00  1.79856745e+00  2.71942451e+00  2.71976879e+00 
 1.64000000e-12  1.80206085e+00  1.79793915e+00  2.71876602e+00  2.72042488e+00 
 2.14000000e-12  1.80268912e+00  1.79731088e+00  2.71804189e+00  2.72114486e+00 
 2.64000000e-12  1.80331737e+00  1.79668263e+00  2.71734654e+00  2.72183423e+00 
 3.14000000e-12  1.80394558e+00  1.79605442e+00  2.71669357e+00  2.72247952e+00 
 3.64000000e-12  1.80457376e+00  1.79542624e+00  2.71605195e+00  2.72311196e+00 
 4.14000000e-12  1.80520189e+00  1.79479811e+00  2.71537761e+00  2.72377577e+00 
 4.64000000e-12  1.80582997e+00  1.79417003e+00  2.71463538e+00  2.72450633e+00 
 5.14000000e-12  1.80645799e+00  1.79354201e+00  2.71380708e+00  2.72532209e+00 
 5.64000000e-12  1.80708595e+00  1.79291405e+00  2.71289231e+00  2.72622391e+00 
 6.14000000e-12  1.80771384e+00  1.79228616e+00  2.71190277e+00  2.72720068e+00 
 6.64000000e-12  1.80834165e+00  1.79165835e+00  2.71085666e+00  2.72823480e+00 
 7.14000000e-12  1.80896938e+00  1.79103062e+00  2.70977253e+00  2.72930823e+00 
 7.64000000e-12  1.80959702e+00  1.79040298e+00  2.70866639e+00  2.73040523e+00 
 8.14000000e-12  1.81022457e+00  1.78977543e+00  2.70754950e+00  2.73151461e+00 
 8.64000000e-12  1.81085201e+00  1.78914799e+00  2.70642906e+00  2.73262912e+00 
 9.14000000e-12  1.81147935e+00  1.78852065e+00  2.70530840e+00  2.73374536e+00 
 9.64000000e-12  1.81210658e+00  1.78789342e+00  2.70418887e+00  2.73486196e+00 
 1.01400000e-11  1.81273368e+00  1.78726632e+00  2.70307027e+00  2.73597915e+00 
 1.06400000e-11  1.81336066e+00  1.78663934e+00  2.70195228e+00  2.73709732e+00 
 1.11400000e-11  1.81398751e+00  1.78601249e+00  2.70083431e+00  2.73821706e+00 
 1.16400000e-11  1.81461422e+00  1.78538578e+00  2.69971626e+00  2.73933838e+00 
 1.21400000e-11  1.81524078e+00  1.78475922e+00  2.69859798e+00  2.74046126e+00 
 1.26400000e-11  1.81586720e+00  1.78413280e+00  2.69747976e+00  2.74158519e+00 
 1.31400000e-11  1.81649346e+00  1.78350654e+00  2.69636170e+00  2.74270983e+00 
 1.36400000e-11  1.81711955e+00  1.78288045e+00  2.69524419e+00  2.74383461e+00 
 1.41400000e-11  1.81774548e+00  1.78225452e+00  2.69412729e+00  2.74495932e+00 
 1.46400000e-11  1.81837123e+00  1.78162877e+00  2.69301125e+00  2.74608357e+00 
 1.51400000e-11  1.81899680e+00  1.78100320e+00  2.69189600e+00  2.74720734e+00 
 1.56400000e-11  1.81962219e+00  1.78037781e+00  2.69078163e+00  2.74833038e+00 
 1.61400000e-11  1.82024738e+00  1.77975262e+00  2.68966795e+00  2.74945275e+00 
 1.66400000e-11  1.82087237e+00  1.77912763e+00  2.68855499e+00  2.75057426e+00 
 1.71400000e-11  1.82149715e+00  1.77850285e+00  2.68744254e+00  2.75169499e+00 
 1.76400000e-11  1.82212172e+00  1.77787828e+00  2.68633065e+00  2.75281477e+00 
 1.81400000e-11  1.82274607e+00  1.77725393e+00  2.68521915e+00  2.75393367e+00 
 1.86400000e-11  1.82337020e+00  1.77662980e+00  2.68410812e+00  2.75505156e+00 
 1.91400000e-11  1.82399410e+00  1.77600590e+00  2.68299743e+00  2.75616849e+00 
 1.96400000e-11  1.82461776e+00  1.77538224e+00  2.68188715e+00  2.75728432e+00 
 2.01400000e-11  1.82524118e+00  1.77475882e+00  2.68077717e+00  2.75839910e+00 
 2.06400000e-11  1.82586435e+00  1.77413565e+00  2.67966756e+00  2.75951270e+00 
 2.11400000e-11  1.82648726e+00  1.77351274e+00  2.67855822e+00  2.76062515e+00 
 2.16400000e-11  1.82710991e+00  1.77289009e+00  2.67744921e+00  2.76173633e+00 
 2.21400000e-11  1.82773230e+00  1.77226770e+00  2.67634045e+00  2.76284630e+00 
 2.26400000e-11  1.82835441e+00  1.77164559e+00  2.67523201e+00  2.76395494e+00 
 2.31400000e-11  1.82897624e+00  1.77102376e+00  2.67412383e+00  2.76506233e+00 
 2.36400000e-11  1.82959779e+00  1.77040221e+00  2.67301597e+00  2.76616834e+00 
 2.41400000e-11  1.83021904e+00  1.76978096e+00  2.67190837e+00  2.76727303e+00 
 2.46400000e-11  1.83083999e+00  1.76916001e+00  2.67080110e+00  2.76837629e+00 
 2.51400000e-11  1.83146064e+00  1.76853936e+00  2.66969409e+00  2.76947818e+00 
 2.56400000e-11  1.83208098e+00  1.76791902e+00  2.66858743e+00  2.77057860e+00 
 2.61400000e-11  1.83270101e+00  1.76729899e+00  2.66748106e+00  2.77167758e+00 
 2.66400000e-11  1.83332071e+00  1.76667929e+00  2.66637507e+00  2.77277505e+00 
