 time            v(detp)         v(detn)        
 0.00000000e+00  2.83947487e+00  2.83947487e+00 
 2.00000000e-15  2.83947487e+00  2.83947487e+00 
 4.00000000e-15  2.83947487e+00  2.83947487e+00 
 8.00000000e-15  2.83947487e+00  2.83947487e+00 
 1.60000000e-14  2.83947489e+00  2.83947488e+00 
 3.20000000e-14  2.83947514e+00  2.83947496e+00 
 6.40000000e-14  2.83947857e+00  2.83947606e+00 
 1.28000000e-13  2.83951262e+00  2.83948237e+00 
 2.56000000e-13  2.83974503e+00  2.83939573e+00 
 4.56000000e-13  2.84056847e+00  2.83803678e+00 
 6.56000000e-13  2.84192761e+00  2.83349913e+00 
 8.56000000e-13  2.84384758e+00  2.82373972e+00 
 1.05600000e-12  2.84637496e+00  2.80689928e+00 
 1.25600000e-12  2.84955315e+00  2.78151064e+00 
 1.45600000e-12  2.85340597e+00  2.74669695e+00 
 1.65600000e-12  2.85792026e+00  2.70226950e+00 
 1.85600000e-12  2.86304599e+00  2.64873401e+00 
 2.05600000e-12  2.86870027e+00  2.58718809e+00 
 2.25600000e-12  2.87478120e+00  2.51916294e+00 
 2.45600000e-12  2.88117675e+00  2.44643784e+00 
 2.65600000e-12  2.88777454e+00  2.37087520e+00 
 2.85600000e-12  2.89446515e+00  2.29428649e+00 
 3.05600000e-12  2.90114585e+00  2.21834156e+00 
 3.25600000e-12  2.90772079e+00  2.14451133e+00 
 3.45600000e-12  2.91410248e+00  2.07404063e+00 
 3.65600000e-12  2.92021182e+00  2.00793906e+00 
 3.85600000e-12  2.92597963e+00  1.94698542e+00 
 4.05600000e-12  2.93134748e+00  1.89173770e+00 
 4.25600000e-12  2.93626968e+00  1.84254709e+00 
 4.45600000e-12  2.94071411e+00  1.79957317e+00 
 4.65600000e-12  2.94466289e+00  1.76280223e+00 
 4.85600000e-12  2.94811130e+00  1.73206939e+00 
 5.05600000e-12  2.95106577e+00  1.70708622e+00 
 5.25600000e-12  2.95354089e+00  1.68747228e+00 
 5.45600000e-12  2.95555661e+00  1.67278837e+00 
 5.65600000e-12  2.95713580e+00  1.66256727e+00 
 5.85600000e-12  2.95830268e+00  1.65633931e+00 
 6.05600000e-12  2.95908174e+00  1.65365111e+00 
 6.25600000e-12  2.95949722e+00  1.65407782e+00 
 6.45600000e-12  2.95957281e+00  1.65722966e+00 
 6.65600000e-12  2.95933152e+00  1.66275451e+00 
 6.85600000e-12  2.95879563e+00  1.67033755e+00 
 7.05600000e-12  2.95798669e+00  1.67969937e+00 
 7.25600000e-12  2.95692555e+00  1.69059304e+00 
 7.45600000e-12  2.95563235e+00  1.70280090e+00 
 7.65600000e-12  2.95412656e+00  1.71613130e+00 
 7.85600000e-12  2.95242704e+00  1.73041542e+00 
 8.05600000e-12  2.95055201e+00  1.74550445e+00 
 8.25600000e-12  2.94851908e+00  1.76126699e+00 
 8.45600000e-12  2.94634532e+00  1.77758679e+00 
 8.65600000e-12  2.94404720e+00  1.79436078e+00 
 8.85600000e-12  2.94164072e+00  1.81149741e+00 
 9.05600000e-12  2.93914124e+00  1.82891505e+00 
 9.25600000e-12  2.93656372e+00  1.84654080e+00 
 9.45600000e-12  2.93392259e+00  1.86430964e+00 
 9.65600000e-12  2.93123183e+00  1.88216338e+00 
 9.85600000e-12  2.92850501e+00  1.90005017e+00 
 1.00560000e-11  2.92575532e+00  1.91792387e+00 
 1.02560000e-11  2.92299571e+00  1.93574381e+00 
 1.04560000e-11  2.92023897e+00  1.95347468e+00 
 1.06560000e-11  2.91749793e+00  1.97108663e+00 
 1.08560000e-11  2.91478581e+00  1.98855577e+00 
 1.10560000e-11  2.91211665e+00  2.00586499e+00 
 1.12560000e-11  2.90950597e+00  2.02300548e+00 
 1.14560000e-11  2.90697181e+00  2.03997896e+00 
 1.16560000e-11  2.90453617e+00  2.05680117e+00 
 1.18560000e-11  2.90222698e+00  2.07350669e+00 
 1.20560000e-11  2.90008052e+00  2.09015565e+00 
 1.22560000e-11  2.89814408e+00  2.10684204e+00 
 1.24560000e-11  2.89647778e+00  2.12370270e+00 
 1.26560000e-11  2.89515402e+00  2.14092465e+00 
 1.28560000e-11  2.89425231e+00  2.15874674e+00 
 1.30560000e-11  2.89384821e+00  2.17745150e+00 
 1.32560000e-11  2.89399829e+00  2.19734590e+00 
 1.34560000e-11  2.89472628e+00  2.21873355e+00 
 1.36560000e-11  2.89601599e+00  2.24188350e+00 
 1.38560000e-11  2.89781356e+00  2.26699797e+00 
 1.40560000e-11  2.90003677e+00  2.29417797e+00 
 1.42560000e-11  2.90258749e+00  2.32338522e+00 
 1.44560000e-11  2.90536395e+00  2.35440322e+00 
 1.46560000e-11  2.90827180e+00  2.38680452e+00 
 1.48560000e-11  2.91123390e+00  2.41993104e+00 
 1.50560000e-11  2.91419923e+00  2.45288819e+00 
 1.52560000e-11  2.91715022e+00  2.48454835e+00 
 1.54560000e-11  2.92010704e+00  2.51356186e+00 
 1.56560000e-11  2.92312660e+00  2.53838655e+00 
 1.58560000e-11  2.92629406e+00  2.55735896e+00 
 1.60560000e-11  2.92970674e+00  2.56882663e+00 
 1.62560000e-11  2.93345383e+00  2.57133440e+00 
 1.64560000e-11  2.93759803e+00  2.56382324e+00 
 1.66560000e-11  2.94216482e+00  2.54578442e+00 
 1.68560000e-11  2.94714142e+00  2.51732525e+00 
 1.70560000e-11  2.95248321e+00  2.47913658e+00 
 1.72560000e-11  2.95812361e+00  2.43238429e+00 
 1.74560000e-11  2.96398362e+00  2.37856203e+00 
 1.76560000e-11  2.96997942e+00  2.31933997e+00 
 1.78560000e-11  2.97602735e+00  2.25643262e+00 
 1.80560000e-11  2.98204702e+00  2.19149610e+00 
 1.82560000e-11  2.98796288e+00  2.12605645e+00 
 1.84560000e-11  2.99370505e+00  2.06146550e+00 
 1.86560000e-11  2.99920963e+00  1.99887903e+00 
 1.88560000e-11  3.00441891e+00  1.93925136e+00 
 1.90560000e-11  3.00928158e+00  1.88334120e+00 
 1.92560000e-11  3.01375295e+00  1.83172442e+00 
 1.94560000e-11  3.01779541e+00  1.78481036e+00 
 1.96560000e-11  3.02137885e+00  1.74285937e+00 
 1.98560000e-11  3.02448125e+00  1.70600010e+00 
 2.00560000e-11  3.02708893e+00  1.67424611e+00 
 2.02560000e-11  3.02919666e+00  1.64751174e+00 
 2.04560000e-11  3.03080725e+00  1.62562784e+00 
 2.06560000e-11  3.03193063e+00  1.60835784e+00 
 2.08560000e-11  3.03258268e+00  1.59541406e+00 
 2.10560000e-11  3.03278375e+00  1.58647413e+00 
 2.12560000e-11  3.03255732e+00  1.58119639e+00 
 2.14560000e-11  3.03192875e+00  1.57923560e+00 
 2.16560000e-11  3.03092430e+00  1.58024827e+00 
 2.18560000e-11  3.02957067e+00  1.58390494e+00 
 2.20560000e-11  3.02789429e+00  1.58989944e+00 
 2.22560000e-11  3.02592096e+00  1.59794663e+00 
 2.24560000e-11  3.02367590e+00  1.60778598e+00 
 2.26560000e-11  3.02118346e+00  1.61918130e+00 
 2.28560000e-11  3.01846712e+00  1.63192005e+00 
 2.30560000e-11  3.01554942e+00  1.64581181e+00 
 2.32560000e-11  3.01245200e+00  1.66068668e+00 
 2.34560000e-11  3.00919556e+00  1.67639337e+00 
 2.36560000e-11  3.00579988e+00  1.69279741e+00 
 2.38560000e-11  3.00228384e+00  1.70977948e+00 
 2.40560000e-11  2.99866543e+00  1.72723379e+00 
 2.42560000e-11  2.99496176e+00  1.74506666e+00 
 2.44560000e-11  2.99118909e+00  1.76319531e+00 
 2.46560000e-11  2.98736285e+00  1.78154671e+00 
 2.48560000e-11  2.98349763e+00  1.80005674e+00 
