 time            v(bufinp)       v(bufinn)       v(outp)         v(outn)        
 0.00000000e+00  1.80000000e+00  1.80000000e+00  3.01570958e+00  3.01570958e+00 
 5.00000000e-15  1.80000628e+00  1.79999372e+00  3.01571559e+00  3.01570356e+00 
 1.00000000e-14  1.80001257e+00  1.79998743e+00  3.01572149e+00  3.01569767e+00 
 2.00000000e-14  1.80002513e+00  1.79997487e+00  3.01573305e+00  3.01568610e+00 
 4.00000000e-14  1.80005027e+00  1.79994973e+00  3.01575487e+00  3.01566429e+00 
 8.00000000e-14  1.80010053e+00  1.79989947e+00  3.01579367e+00  3.01562548e+00 
 1.60000000e-13  1.80020106e+00  1.79979894e+00  3.01585504e+00  3.01556411e+00 
 3.20000000e-13  1.80040212e+00  1.79959788e+00  3.01593028e+00  3.01548887e+00 
 6.40000000e-13  1.80080425e+00  1.79919575e+00  3.01596749e+00  3.01545161e+00 
 1.14000000e-12  1.80143255e+00  1.79856745e+00  3.01586589e+00  3.01555257e+00 
 1.64000000e-12  1.80206085e+00  1.79793915e+00  3.01564998e+00  3.01576632e+00 
 2.14000000e-12  1.80268912e+00  1.79731088e+00  3.01534982e+00  3.01606206e+00 
 2.64000000e-12  1.80331737e+00  1.79668263e+00  3.01497831e+00  3.01642654e+00 
 3.14000000e-12  1.80394558e+00  1.79605442e+00  3.01454468e+00  3.01685037e+00 
 3.64000000e-12  1.80457376e+00  1.79542624e+00  3.01405582e+00  3.01732668e+00 
 4.14000000e-12  1.80520189e+00  1.79479811e+00  3.01351722e+00  3.01785009e+00 
 4.64000000e-12  1.80582997e+00  1.79417003e+00  3.01293347e+00  3.01841617e+00 
 5.14000000e-12  1.80645799e+00  1.79354201e+00  3.01230857e+00  3.01902111e+00 
 5.64000000e-12  1.80708595e+00  1.79291405e+00  3.01164609e+00  3.01966153e+00 
 6.14000000e-12  1.80771384e+00  1.79228616e+00  3.01094923e+00  3.02033443e+00 
 6.64000000e-12  1.80834165e+00  1.79165835e+00  3.01022090e+00  3.02103706e+00 
 7.14000000e-12  1.80896938e+00  1.79103062e+00  3.00946376e+00  3.02176692e+00 
 7.64000000e-12  1.80959702e+00  1.79040298e+00  3.00868023e+00  3.02252174e+00 
 8.14000000e-12  1.81022457e+00  1.78977543e+00  3.00787255e+00  3.02329941e+00 
 8.64000000e-12  1.81085201e+00  1.78914799e+00  3.00704277e+00  3.02409800e+00 
 9.14000000e-12  1.81147935e+00  1.78852065e+00  3.00619276e+00  3.02491574e+00 
 9.64000000e-12  1.81210658e+00  1.78789342e+00  3.00532427e+00  3.02575100e+00 
