 time            v(detp)         v(detn)        
 0.00000000e+00  3.21607260e+00  3.21607260e+00 
 2.00000000e-15  3.21607260e+00  3.21607260e+00 
 4.00000000e-15  3.21607260e+00  3.21607260e+00 
 8.00000000e-15  3.21607260e+00  3.21607260e+00 
 1.60000000e-14  3.21607260e+00  3.21607260e+00 
 3.20000000e-14  3.21607261e+00  3.21607261e+00 
 6.40000000e-14  3.21607269e+00  3.21607270e+00 
 1.28000000e-13  3.21607337e+00  3.21607347e+00 
 2.56000000e-13  3.21607707e+00  3.21607807e+00 
 4.56000000e-13  3.21608584e+00  3.21609259e+00 
 6.56000000e-13  3.21609217e+00  3.21611407e+00 
 8.56000000e-13  3.21608887e+00  3.21614083e+00 
 1.05600000e-12  3.21606857e+00  3.21617132e+00 
 1.25600000e-12  3.21602406e+00  3.21620426e+00 
 1.45600000e-12  3.21594842e+00  3.21623856e+00 
 1.65600000e-12  3.21583522e+00  3.21627338e+00 
 1.85600000e-12  3.21567864e+00  3.21630803e+00 
 2.05600000e-12  3.21547359e+00  3.21634198e+00 
 2.25600000e-12  3.21521574e+00  3.21637479e+00 
 2.45600000e-12  3.21490162e+00  3.21640616e+00 
 2.65600000e-12  3.21452866e+00  3.21643581e+00 
 2.85600000e-12  3.21409518e+00  3.21646357e+00 
 3.05600000e-12  3.21360046e+00  3.21648925e+00 
 3.25600000e-12  3.21304468e+00  3.21651274e+00 
 3.45600000e-12  3.21242892e+00  3.21653393e+00 
 3.65600000e-12  3.21175517e+00  3.21655272e+00 
 3.85600000e-12  3.21102627e+00  3.21656904e+00 
 4.05600000e-12  3.21024583e+00  3.21658281e+00 
 4.25600000e-12  3.20941826e+00  3.21659396e+00 
 4.45600000e-12  3.20854863e+00  3.21660245e+00 
 4.65600000e-12  3.20764264e+00  3.21660823e+00 
 4.85600000e-12  3.20670653e+00  3.21661126e+00 
 5.05600000e-12  3.20574702e+00  3.21661151e+00 
 5.25600000e-12  3.20477121e+00  3.21660898e+00 
 5.45600000e-12  3.20378648e+00  3.21660368e+00 
 5.65600000e-12  3.20280043e+00  3.21659562e+00 
 5.85600000e-12  3.20182076e+00  3.21658486e+00 
 6.05600000e-12  3.20085521e+00  3.21657145e+00 
 6.25600000e-12  3.19991143e+00  3.21655550e+00 
 6.45600000e-12  3.19899695e+00  3.21653712e+00 
 6.65600000e-12  3.19811905e+00  3.21651645e+00 
 6.85600000e-12  3.19728471e+00  3.21649367e+00 
 7.05600000e-12  3.19650051e+00  3.21646897e+00 
 7.25600000e-12  3.19577262e+00  3.21644258e+00 
 7.45600000e-12  3.19510669e+00  3.21641473e+00 
 7.65600000e-12  3.19450783e+00  3.21638571e+00 
 7.85600000e-12  3.19398053e+00  3.21635581e+00 
 8.05600000e-12  3.19352870e+00  3.21632533e+00 
 8.25600000e-12  3.19315556e+00  3.21629461e+00 
 8.45600000e-12  3.19286368e+00  3.21626398e+00 
 8.65600000e-12  3.19265495e+00  3.21623379e+00 
 8.85600000e-12  3.19253058e+00  3.21620439e+00 
 9.05600000e-12  3.19249109e+00  3.21617615e+00 
 9.25600000e-12  3.19253634e+00  3.21614941e+00 
