 time            v(inp)          v(inn)          v(out)         
 1.50002800e-02  1.75929095e-06 -1.75929095e-06 -5.40199025e-01 
 1.50012800e-02  8.04239046e-06 -8.04239046e-06 -5.20970483e-01 
 1.50022800e-02  1.43251725e-05 -1.43251725e-05 -5.01600590e-01 
 1.50032800e-02  2.06073890e-05 -2.06073890e-05 -4.82434294e-01 
 1.50042800e-02  2.68887919e-05 -2.68887919e-05 -4.63160630e-01 
 1.50052800e-02  3.31691333e-05 -3.31691333e-05 -4.44062673e-01 
 1.50062800e-02  3.94481653e-05 -3.94481653e-05 -4.24885140e-01 
 1.50072800e-02  4.57256399e-05 -4.57256399e-05 -4.05860940e-01 
 1.50082800e-02  5.20013093e-05 -5.20013093e-05 -3.86779944e-01 
 1.50092800e-02  5.82749258e-05 -5.82749258e-05 -3.67834364e-01 
 1.50102800e-02  6.45462417e-05 -6.45462417e-05 -3.48850713e-01 
 1.50112800e-02  7.08150095e-05 -7.08150095e-05 -3.29988158e-01 
 1.50122800e-02  7.70809816e-05 -7.70809816e-05 -3.11102968e-01 
 1.50132800e-02  8.33439106e-05 -8.33439106e-05 -2.92327466e-01 
 1.50142800e-02  8.96035494e-05 -8.96035494e-05 -2.73542095e-01 
 1.50152800e-02  9.58596508e-05 -9.58596508e-05 -2.54857355e-01 
 1.50162800e-02  1.02111968e-04 -1.02111968e-04 -2.36173348e-01 
 1.50172800e-02  1.08360254e-04 -1.08360254e-04 -2.17582813e-01 
 1.50182800e-02  1.14604262e-04 -1.14604262e-04 -1.99001852e-01 
 1.50192800e-02  1.20843745e-04 -1.20843745e-04 -1.80508743e-01 
 1.50202800e-02  1.27078458e-04 -1.27078458e-04 -1.62032613e-01 
 1.50212800e-02  1.33308154e-04 -1.33308154e-04 -1.43639958e-01 
 1.50222800e-02  1.39532587e-04 -1.39532587e-04 -1.25270517e-01 
 1.50232800e-02  1.45751512e-04 -1.45751512e-04 -1.06981180e-01 
 1.50242800e-02  1.51964683e-04 -1.51964683e-04 -8.87203365e-02 
 1.50252800e-02  1.58171854e-04 -1.58171854e-04 -7.05370369e-02 
 1.50262800e-02  1.64372781e-04 -1.64372781e-04 -5.23867288e-02 
 1.50272800e-02  1.70567219e-04 -1.70567219e-04 -3.43120614e-02 
 1.50282800e-02  1.76754923e-04 -1.76754923e-04 -1.62742428e-02 
 1.50292800e-02  1.82935649e-04 -1.82935649e-04  1.68930946e-03 
 1.50302800e-02  1.89109154e-04 -1.89109154e-04  1.96126818e-02 
 1.50312800e-02  1.95275192e-04 -1.95275192e-04  3.74627357e-02 
 1.50322800e-02  2.01433522e-04 -2.01433522e-04  5.52697122e-02 
 1.50332800e-02  2.07583899e-04 -2.07583899e-04  7.30039747e-02 
 1.50342800e-02  2.13726081e-04 -2.13726081e-04  9.06926204e-02 
 1.50352800e-02  2.19859825e-04 -2.19859825e-04  1.08308881e-01 
 1.50362800e-02  2.25984890e-04 -2.25984890e-04  1.25877282e-01 
 1.50372800e-02  2.32101034e-04 -2.32101034e-04  1.43373408e-01 
 1.50382800e-02  2.38208014e-04 -2.38208014e-04  1.60819677e-01 
 1.50392800e-02  2.44305590e-04 -2.44305590e-04  1.78193603e-01 
 1.50402800e-02  2.50393522e-04 -2.50393522e-04  1.95515883e-01 
 1.50412800e-02  2.56471568e-04 -2.56471568e-04  2.12765614e-01 
 1.50422800e-02  2.62539490e-04 -2.62539490e-04  2.29962080e-01 
 1.50432800e-02  2.68597047e-04 -2.68597047e-04  2.47085681e-01 
 1.50442800e-02  2.74644000e-04 -2.74644000e-04  2.64154546e-01 
 1.50452800e-02  2.80680110e-04 -2.80680110e-04  2.81150145e-01 
 1.50462800e-02  2.86705140e-04 -2.86705140e-04  2.98089657e-01 
 1.50472800e-02  2.92718851e-04 -2.92718851e-04  3.14955436e-01 
 1.50482800e-02  2.98721006e-04 -2.98721006e-04  3.31763884e-01 
 1.50492800e-02  3.04711369e-04 -3.04711369e-04  3.48498082e-01 
 1.50502800e-02  3.10689701e-04 -3.10689701e-04  3.65173794e-01 
 1.50512800e-02  3.16655768e-04 -3.16655768e-04  3.81774702e-01 
 1.50522800e-02  3.22609335e-04 -3.22609335e-04  3.98316048e-01 
 1.50532800e-02  3.28550165e-04 -3.28550165e-04  4.14782008e-01 
 1.50542800e-02  3.34478024e-04 -3.34478024e-04  4.31187399e-01 
 1.50552800e-02  3.40392679e-04 -3.40392679e-04  4.47516804e-01 
 1.50562800e-02  3.46293896e-04 -3.46293896e-04  4.63784691e-01 
 1.50572800e-02  3.52181441e-04 -3.52181441e-04  4.79975982e-01 
 1.50582800e-02  3.58055084e-04 -3.58055084e-04  4.96104859e-01 
 1.50592800e-02  3.63914590e-04 -3.63914590e-04  5.12156525e-01 
 1.50602800e-02  3.69759730e-04 -3.69759730e-04  5.28144927e-01 
 1.50612800e-02  3.75590273e-04 -3.75590273e-04  5.44055503e-01 
 1.50622800e-02  3.81405988e-04 -3.81405988e-04  5.59902006e-01 
 1.50632800e-02  3.87206645e-04 -3.87206645e-04  5.75670071e-01 
 1.50642800e-02  3.92992017e-04 -3.92992017e-04  5.91373294e-01 
 1.50652800e-02  3.98761873e-04 -3.98761873e-04  6.06997471e-01 
 1.50662800e-02  4.04515988e-04 -4.04515988e-04  6.22556073e-01 
 1.50672800e-02  4.10254132e-04 -4.10254132e-04  6.38035031e-01 
 1.50682800e-02  4.15976081e-04 -4.15976081e-04  6.53447710e-01 
 1.50692800e-02  4.21681607e-04 -4.21681607e-04  6.68780157e-01 
 1.50702800e-02  4.27370487e-04 -4.27370487e-04  6.84045653e-01 
 1.50712800e-02  4.33042494e-04 -4.33042494e-04  6.99230340e-01 
 1.50722800e-02  4.38697406e-04 -4.38697406e-04  7.14347432e-01 
 1.50732800e-02  4.44334998e-04 -4.44334998e-04  7.26218023e-01 
